galaxy,source_map,source_map_sha256,largest_component_pixels,source_r95_arcsec,beam_geometric_mean_arcsec,beams_per_source_radius,radial_capacity_j,minimum_independent_beams_per_block,minimum_occupied_blocks_per_zone,maximum_azimuth_gap_rad,support_gate
DDO126,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO126_R_X0_P_R.FITS,405a57eea144098055ff0389a30a3f39e2417a65b10e0b0b3ab2203c8eb58629,22151,166.2991671291627,6.216108107168021,26.75293998465005,5,105,8,0.7853981633974492,True
DDO133,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO133_R_X0_P_R.FITS,435fcfe7c0717c69d118463c2f427d5d89dfeb0beb4974fd59cd200085032a77,51611,182.58579843560338,11.572380913191546,15.777721093458895,5,77,8,0.7853981633974492,True
DDO154,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO154_R_X0_P_R.FITS,0dcda17b572e0582b1199aee1296c83f4f0d813f70d4fac38f6ecbdc23d46822,170565,531.6368656501857,7.0547856097829085,75.3583305087205,5,568,8,0.7853981633974492,True
DDO165,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO165_R_X0_P_R.FITS,486d57759d32058065664a9a23bbe8d2cf78ee4b0666d961b57b272d28f385b7,49151,241.76559334187968,8.717797887081348,27.73241551058956,5,23,4,0.7853981633974492,True
DDO168,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO168_R_X0_P_R.FITS,4694d19c827ff078df65db085fc45c04559c4a4af05d0def010b98273b9a5e0b,76088,233.28795552677985,6.726068688320094,34.684147060806474,5,251,8,0.7853981633974492,True
DDO187,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO187_R_X0_P_R.FITS,3ff3d993fb37f9897cba05203510010a57b05694dd18a6360d16d98e0530bd2e,11297,95.87738615892697,5.8395205282625735,16.418708641384512,5,67,8,0.7853981633974492,True
DDO216,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO216_R_X0_P_R.FITS,e1548c50f905f3ba78e7d7f6bb8652df35cdf04678c921eb9dd3090822205a1b,13242,342.22786705402774,15.79493589730582,21.666936116682965,5,45,6,0.7853981633974492,True
DDO47,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO47_R_X0_P_R.FITS,6026b5ab529dfae41d748713985cfa381baa4d32db83b23028ae2a083a44af50,92270,442.7521823029663,9.67470929795826,45.76387451728438,5,122,5,0.7853981633974492,True
DDO50,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO50_R_X0_P_R.FITS,1b7327728502984ef6107d6e8cc0ee08952c6fa22202ea4cbc3ebd35200cf461,221555,355.42688851029936,6.534523701081816,54.39216456609639,5,216,6,0.7853981633974492,True
DDO52,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO52_R_X0_P_R.FITS,342172c07e794382d5e5d6ff562ccceac401360574abd9de30391669422ebe41,16947,113.1595513919588,5.946427498927402,19.02983790054956,5,101,8,0.7853981633974492,True
DDO53,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO53_R_X0_P_R.FITS,9f1557ae2a6dfc5796d3c66ae322408d726abfe666e5aca250f2a942b56b474b,16767,170.32408384252375,5.9924953066314535,28.422898162980392,5,10,4,0.7853981633974492,True
DDO69,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO69_R_X0_P_R.FITS,97ccc46d51ff58e22e53becc7140d125471d3ab8b6b8ae7a2f9b1b538643386e,79152,288.4846444256118,5.596427431853289,51.54800056615376,5,493,8,0.7853981633974492,True
DDO70,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO70_R_X0_P_R.FITS,1b3815e3a96e01f1e85d1a8e0bfd0a763526961f57491282712c50a0c1c4a612,188000,487.8566616694434,13.49666625504239,36.146456647187144,5,155,7,0.7853981633974492,True
DDO75,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO75_R_X0_P_R.FITS,5f0a0bae3ce0d3e3a354d476f81a797aff555c7aaa95d2bc823adb2ce1a0c98e,233831,411.6368481130628,7.0285133563222315,58.56670212382688,5,966,8,0.7853981633974492,True
DDO87,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO87_R_X0_P_R.FITS,bae53e4599bad061247fa1509a05103cf1452373af9baca7a2f042be93ab61f9,32384,225.38735329790433,6.864400920692205,32.83423504861023,5,16,4,0.7853981633974492,True
F564-V3,data/external/literature/little_things_2d_morphology_population_v01/moment0/F564-V3_R_X0_P_R.FITS,0c1d8d355dbb6bdfae5f3008df6495f2058ba1bba0f4a9f07c4e0864f103b996,9289,76.55252832498064,10.062305898749054,7.607851430405992,3,26,8,0.7853981633974492,False
Haro36,data/external/literature/little_things_2d_morphology_population_v01/moment0/Haro36_R_X0_P_R.FITS,40ee707463bc22cd263648249bafecbca013ac191e168c438476010360b71829,6892,62.84321754759272,6.371812928829597,9.86269029701976,3,15,7,0.7853981633974492,False
IC10,data/external/literature/little_things_2d_morphology_population_v01/moment0/IC10_R_X0_P_R.FITS,5db3a3b4907d168ab11af51c89067f3c884e17e9078278d2c5cc96e9e8f0d6c0,838214,1157.0962659288616,5.6964901474504455,203.1244215259002,5,1294,2,0.7853981633974492,False
IC1613,data/external/literature/little_things_2d_morphology_population_v01/moment0/IC1613_R_X0_P_R.FITS,1e1965a6dd533f9bf8b96ffb5a418fa360e0a4728031aafc699c648c4f1398e5,572726,713.52095031905,7.074602462329597,100.85668475626184,5,2659,8,0.7853981633974492,True
M81dwA,data/external/literature/little_things_2d_morphology_population_v01/moment0/M81DWA_R_X0_P_R.FITS,ffb54c399b98631f226f7a4c80d16a29250503d4f8fba625abac85345644ff75,12606,107.35957340264659,7.009992867328753,15.315218636386048,5,6,4,0.7853981633974492,True
Mrk178,data/external/literature/little_things_2d_morphology_population_v01/moment0/Mrk178_R_X0_P_R.FITS,d481d526f4a9aef606f48aa11b18475e66baf4cb4adff154f864c7e18f645f14,4323,87.54621671737617,5.8395205282625735,14.992021398617071,5,10,6,0.7853981633974492,True
NGC1569,data/external/literature/little_things_2d_morphology_population_v01/moment0/NGC1569_R_X0_P_R.FITS,ab601716c6d092aedb1929c1202ac3ef341ad1ff8cbaae4333c91732c47487a1,99472,312.56327783509863,5.5389529696504916,56.43002920366399,5,282,7,0.7853981633974492,True
NGC4163,data/external/literature/little_things_2d_morphology_population_v01/moment0/NGC4163_R_X0_P_R.FITS,b7da5ef53652bf43637f099472810663e030bfa7e4e30c162628add80a16ce03,14629,134.5916612795231,7.565051222562872,17.791242560010904,5,28,6,0.7853981633974492,True
SagDIG,data/external/literature/little_things_2d_morphology_population_v01/moment0/SAGDIG_R_X0_P_R.FITS,bbcf990d7156b5fd25ad09b1233045d40473c3c2090e2ca588311655c41f8545,22591,427.10675598584106,21.830712310870663,19.56449015056472,5,29,6,0.7853981633974492,True
UGC8508,data/external/literature/little_things_2d_morphology_population_v01/moment0/UGC8508_R_X0_P_R.FITS,535277574248730c150af78ec7189f6f61e5c5a15678aba998a77d77583e810c,11895,115.02971084282696,5.376802023508026,21.393703978666725,5,41,6,0.7853981633974492,True
