galaxy,profile,zone,radius_min_arcsec,radius_max_arcsec,real,imag,amplitude,phase_rad
NGC1087,stellar_m1,0,0.11325615330813484,30.74255786468518,-0.041156066126887714,0.005697685805718549,0.04154859086156161,3.004026096585646
NGC1087,stellar_m1,1,30.74255786468518,44.547850552111235,0.09816148664266428,0.046746116965148875,0.10872385621940263,0.44444040126905127
NGC1087,stellar_m1,2,44.547850552111235,55.26136603019829,0.02689374013298503,-0.1124327247644788,0.11560445863506119,-1.336009323183901
NGC1087,stellar_m1,3,55.26136603019829,65.89437639416073,0.02972797439533705,-0.1385606473692022,0.14171381534988822,-1.3594517904523296
NGC1087,stellar_m1,4,65.89437639416073,92.99970362391383,-0.08316032821849172,-0.13794098412938344,0.16106941141008146,-2.1133226365539644
NGC1087,stellar_m2,0,0.11325615330813484,30.74255786468518,-0.10918644899681985,0.06268462449739443,0.12590092451175441,2.6204302982294743
NGC1087,stellar_m2,1,30.74255786468518,44.547850552111235,-0.09219536729210548,-0.10327322680348913,0.1384389581170385,-2.2995817020471416
NGC1087,stellar_m2,2,44.547850552111235,55.26136603019829,-0.009151760759252694,-0.1987396252064349,0.1989502283290693,-1.616812817802428
NGC1087,stellar_m2,3,55.26136603019829,65.89437639416073,0.09104806066031745,-0.1682453413016913,0.19130144855627057,-1.07476349504281
NGC1087,stellar_m2,4,65.89437639416073,92.99970362391383,0.10004757655828085,-0.05234540217635851,0.11291394379876113,-0.4820388863857155
NGC1087,co_m1,0,0.11325615330813484,30.74255786468518,-0.08093207197030658,-0.014072348544450731,0.08214640142430701,-2.969435353408143
NGC1087,co_m1,1,30.74255786468518,44.547850552111235,0.24629027427210046,0.007494502160629425,0.24640427505151397,0.0304201628352917
NGC1087,co_m1,2,44.547850552111235,55.26136603019829,-0.09373418084091276,-0.06687738266495963,0.1151463458822397,-2.5218774548480316
NGC1087,co_m1,3,55.26136603019829,65.89437639416073,-0.15441247155937485,-0.2864634501244822,0.325429746074781,-2.065178490300536
NGC1087,co_m1,4,65.89437639416073,92.99970362391383,-0.2895746649508612,-0.3118735880019403,0.42558033492468555,-2.3191360830668057
NGC1087,co_m2,0,0.11325615330813484,30.74255786468518,-0.22677604217196976,0.1108710806802855,0.25242775171204407,2.6868634371381863
NGC1087,co_m2,1,30.74255786468518,44.547850552111235,-0.08205326646001959,-0.3099893841705903,0.32066517870704453,-1.8295589374220418
NGC1087,co_m2,2,44.547850552111235,55.26136603019829,0.17676466035594424,-0.293632258398144,0.34273261928615245,-1.0289124332337476
NGC1087,co_m2,3,55.26136603019829,65.89437639416073,0.31759471890597,-0.026251280760371896,0.3186777921640006,-0.08246906909042834
NGC1087,co_m2,4,65.89437639416073,92.99970362391383,0.42517723566166976,-0.026989168323313686,0.4260329763430094,-0.06339240089614363
NGC1433,stellar_m1,0,0.12823311578978494,53.77295540763218,-0.001675354339009633,-0.041179570359847484,0.04121363642270441,-1.6114580164153345
NGC1433,stellar_m1,1,53.77295540763218,75.43553889514288,-0.033180992195186575,0.005394152329464728,0.03361658998783937,2.9804349457788275
NGC1433,stellar_m1,2,75.43553889514288,87.35184463026016,-0.008270241714197246,0.02285327862547635,0.024303687826025547,1.9180189776889895
NGC1433,stellar_m1,3,87.35184463026016,103.76312193607738,-0.003053555099307305,-0.023061569628547,0.02326285005060272,-1.7024393794597636
NGC1433,stellar_m1,4,103.76312193607738,151.28008419356001,-0.0364780266987455,-0.021937578088088338,0.042566462904560946,-2.600150561364376
NGC1433,stellar_m2,0,0.12823311578978494,53.77295540763218,-0.09295231444190816,-0.05430339116558387,0.10765217625384904,-2.6128666109199283
NGC1433,stellar_m2,1,53.77295540763218,75.43553889514288,-0.24105503193820021,-0.10869960072911247,0.2644298236231972,-2.7179633492231945
NGC1433,stellar_m2,2,75.43553889514288,87.35184463026016,-0.28304268767866264,-0.11828489978084156,0.30676453602808246,-2.7457470143024585
NGC1433,stellar_m2,3,87.35184463026016,103.76312193607738,-0.3954165245685098,-0.15040340571376407,0.4230548573792033,-2.7781249718560903
NGC1433,stellar_m2,4,103.76312193607738,151.28008419356001,-0.34770405935047893,-0.0787275593732353,0.3565054578736035,-2.918925935102256
NGC1433,co_m1,0,0.12823311578978494,53.77295540763218,0.06117330734883747,-0.027478954785298926,0.06706166183511884,-0.42218715580571936
NGC1433,co_m1,1,53.77295540763218,75.43553889514288,-0.08646922338102132,0.07984994646055402,0.1176985154616247,2.3959721382925463
NGC1433,co_m1,2,75.43553889514288,87.35184463026016,-0.005893330676198389,0.13752624013587386,0.13765245392788705,1.61362253418037
NGC1433,co_m1,3,87.35184463026016,103.76312193607738,-0.02107594283415604,-0.07567384067291867,0.07855396570854264,-1.8424230827427421
NGC1433,co_m1,4,103.76312193607738,151.28008419356001,0.026727242382222773,-0.2104753234481138,0.2121655185602651,-1.4444871942399335
NGC1433,co_m2,0,0.12823311578978494,53.77295540763218,0.10546920704020911,-0.12508453055276528,0.1636150769864934,-0.870272951887364
NGC1433,co_m2,1,53.77295540763218,75.43553889514288,0.11769925088256881,0.03426236100200446,0.12258475859481696,0.2832726439884683
NGC1433,co_m2,2,75.43553889514288,87.35184463026016,-0.20624675275852244,-0.09611555568475084,0.22754323340416768,-2.7054948787390476
NGC1433,co_m2,3,87.35184463026016,103.76312193607738,-0.6685826742804564,-0.3169345342671796,0.7398988385983323,-2.698928366792714
NGC1433,co_m2,4,103.76312193607738,151.28008419356001,-0.7912525267507116,-0.13075816541110596,0.8019839517790014,-2.9778181365833167
NGC1566,stellar_m1,0,0.20344471064442943,32.964360465699194,0.04216693355496027,0.05998086462472939,0.07331953632258287,0.9580554722227864
NGC1566,stellar_m1,1,32.964360465699194,47.300135410962454,-0.009398090545628204,-0.041745686737840085,0.04279049505576798,-1.792231858938738
NGC1566,stellar_m1,2,47.300135410962454,62.50818951457619,-0.008277421755509265,-0.03654225854507643,0.03746801796857941,-1.7935536544020458
NGC1566,stellar_m1,3,62.50818951457619,81.04549390962632,-0.03651409790440691,-0.023353145470752193,0.04334338183795453,-2.5725879963662286
NGC1566,stellar_m1,4,81.04549390962632,146.39846507344154,-0.03819563620106624,-0.0069591886858017165,0.03882443730395577,-2.9613710035077405
NGC1566,stellar_m2,0,0.20344471064442943,32.964360465699194,-0.0015876736328799873,0.07501603513559024,0.07503283437954782,1.5919576243216604
NGC1566,stellar_m2,1,32.964360465699194,47.300135410962454,0.007348241279898421,-0.020712215292512513,0.021977090622532194,-1.2298711677914869
NGC1566,stellar_m2,2,47.300135410962454,62.50818951457619,-0.3032679372461651,-0.056407303176625505,0.30846916476886904,-2.9576958522298225
NGC1566,stellar_m2,3,62.50818951457619,81.04549390962632,-0.2504931909353773,0.28418220889442386,0.37882234168156104,2.293269318263011
NGC1566,stellar_m2,4,81.04549390962632,146.39846507344154,0.13475030628031046,0.22267037673604648,0.260268595336453,1.0265942993657582
NGC1566,co_m1,0,0.20344471064442943,32.964360465699194,0.046966180997428685,0.17257718713095183,0.17885387240849665,1.3050854430780432
NGC1566,co_m1,1,32.964360465699194,47.300135410962454,-0.009433912336824798,0.00013975845991488536,0.00943494750414717,3.1267792620646024
NGC1566,co_m1,2,47.300135410962454,62.50818951457619,0.04186472304351201,0.006119841897366102,0.04230966202132467,0.14515325456289108
NGC1566,co_m1,3,62.50818951457619,81.04549390962632,-0.11756630699451456,-0.09295163714103113,0.14987275732275818,-2.4725903141951724
NGC1566,co_m1,4,81.04549390962632,146.39846507344154,-0.3097780695228355,-0.18638974413176038,0.36152951342151557,-2.599932908131391
NGC1566,co_m2,0,0.20344471064442943,32.964360465699194,0.13695332670791974,0.18883663538310536,0.23327127675557932,0.9433258244081186
NGC1566,co_m2,1,32.964360465699194,47.300135410962454,-0.14112278079120516,-0.48563796849073687,0.5057270762951619,-1.8536002542962309
NGC1566,co_m2,2,47.300135410962454,62.50818951457619,-0.7098225997465059,0.03346324121453818,0.7106109425159949,3.094484427033261
NGC1566,co_m2,3,62.50818951457619,81.04549390962632,-0.4871080636339275,0.5822953265428327,0.7591719916928038,2.267418756725903
NGC1566,co_m2,4,81.04549390962632,146.39846507344154,0.14364170202861615,0.6472350349862039,0.6629827517177731,1.3524046455022367
NGC1672,stellar_m1,0,0.23022695031246512,23.070742886501186,-0.028046973081707807,-0.006459026220084416,0.028781100026888832,-2.9152458469924936
NGC1672,stellar_m1,1,23.070742886501186,53.64323810944412,-0.014653730747253567,0.0005505540532034482,0.014664069509467803,3.1040394029744203
NGC1672,stellar_m1,2,53.64323810944412,75.66492901427335,-0.0415905482425453,0.015042543632175671,0.04422727463954112,2.794549041359356
