galaxy,r,velocity_km_s,velocity_error_km_s,v_gas_km_s,v_star_km_s,v_baryon_newton_km_s,figure_file,coordinate_calibration_uses_published_vobs,prospective_name_freeze,inclination_deg,gas_mass_1e7_msun,stellar_mass_kin_1e7_msun,r_median,r_max,gas_fraction,scale_radius_proxy_kpc,tail_inner_radius_proxy_kpc,tail_cutoff_radius_proxy_kpc,compact_support_radius_proxy_kpc,thickness_h_over_rs_proxy,kernel_K_exponential_disk,kernel_K_compact_finite,kernel_K_scale_tail_spiral,kernel_K_thick_flared,v_newton,v_tpg_v6,v_mond,v_K_compact_finite,v_K_scale_tail_spiral,v_K_exponential_disk,v_K_thick_flared
CVnIdwA,0.190000609551,3.969997781346,2.7299960788739996,3.873305652644957,0.5538453052230119,3.9127025571756593,rMD_DH_DM_profiles_cvnidwa.pdf,True,True,66.5,2.91,0.41,1.3900008672430002,2.589998687436,0.8765060240963856,0.8283676205262218,0.48650030353505,3.725073413405693,1.3900008672430002,0.47442771084337354,0.01970042819648863,0.013442027353588949,0.046628865958919075,0.008292847052617217,3.9127025571756593,9.334568030058337,10.569678167717948,25.87842793127001,9.636654210798287,8.69889581042734,9.159910699274487
CVnIdwA,0.370000160705,6.12000610173,2.270000048898,6.5823577414458505,1.179004377503975,6.68711333525503,rMD_DH_DM_profiles_cvnidwa.pdf,True,True,66.5,2.91,0.41,1.3900008672430002,2.589998687436,0.8765060240963856,0.8283676205262218,0.48650030353505,3.725073413405693,1.3900008672430002,0.47442771084337354,0.04924934427999984,0.05097516165904123,0.14429187887461634,0.02479916226034991,6.68711333525503,15.002979737240961,16.458548931169698,49.33844744371884,15.582800341097611,14.015419204706813,14.677524705354589
CVnIdwA,0.5600007702559999,7.540007284403999,2.0599966928519997,8.33938136202258,1.7400139499778886,8.518974706346254,rMD_DH_DM_profiles_cvnidwa.pdf,True,True,66.5,2.91,0.41,1.3900008672430002,2.589998687436,0.8765060240963856,0.8283676205262218,0.48650030353505,3.725073413405693,1.3900008672430002,0.47442771084337354,0.07983117195293575,0.11677020296118712,0.2536764377218354,0.04490008217918863,8.518974706346254,18.905838261127233,20.637458139712095,73.60767483682207,19.713166911837295,17.63457417036455,18.437500418902157
CVnIdwA,0.74000032141,9.040010877708,1.7900093599799998,8.2131217001103,1.955691985100155,8.442754242627679,rMD_DH_DM_profiles_cvnidwa.pdf,True,True,66.5,2.91,0.41,1.3900008672430002,2.589998687436,0.8765060240963856,0.8283676205262218,0.48650030353505,3.725073413405693,1.3900008672430002,0.47442771084337354,0.10472157539139341,0.20390064663616492,0.34265894763027316,0.06338535056073645,8.442754242627679,19.611933073568217,21.88646917705081,96.02812035817577,20.657748862454397,17.991444273347508,18.97204030001259
CVnIdwA,0.930000930961,10.20999561159,1.829998677864,8.002939279467693,1.955691985100155,8.238432390414566,rMD_DH_DM_profiles_cvnidwa.pdf,True,True,66.5,2.91,0.41,1.3900008672430002,2.589998687436,0.8765060240963856,0.8283676205262218,0.48650030353505,3.725073413405693,1.3900008672430002,0.47442771084337354,0.1255694959560623,0.32204870188686785,0.41750742716949724,0.08066087931105333,8.238432390414566,19.942141780084455,22.77226735737948,119.81166172901025,21.189690364372783,18.017271908700295,19.138190062209556
CVnIdwA,1.1100004821149998,12.00999041361,1.610009879778,8.139341534485702,2.0253461862622912,8.387544801025582,rMD_DH_DM_profiles_cvnidwa.pdf,True,True,66.5,2.91,0.41,1.3900008672430002,2.589998687436,0.8765060240963856,0.8283676205262218,0.48650030353505,3.725073413405693,1.3900008672430002,0.47442771084337354,0.140207120117872,0.4587764549313708,0.47252894505332954,0.09426340985047768,8.387544801025582,20.72131559882864,23.959389226221887,142.52055948736356,22.078254601678452,18.649090678631406,19.81554484417389
CVnIdwA,1.300001091666,13.609991076486,1.6300045387199995,7.719696434870126,1.955266467669284,7.963465326485602,rMD_DH_DM_profiles_cvnidwa.pdf,True,True,66.5,2.91,0.41,1.3900008672430002,2.589998687436,0.8765060240963856,0.8283676205262218,0.48650030353505,3.725073413405693,1.3900008672430002,0.47442771084337354,0.1507895085180535,0.629277524130631,0.5171244823761154,0.1055543065441002,7.963465326485602,20.412960016739348,24.189401289971904,166.39923794121847,21.914524397164655,18.136892590385617,19.379727797212965
CVnIdwA,1.48000064282,17.320010741862,1.680003073506,7.44183834963306,1.885806362694261,7.677058268610931,rMD_DH_DM_profiles_cvnidwa.pdf,True,True,66.5,2.91,0.41,1.3900008672430002,2.589998687436,0.8765060240963856,0.8283676205262218,0.48650030353505,3.725073413405693,1.3900008672430002,0.47442771084337354,0.15687141619435738,0.675675382204291,0.549284134864444,0.11348400789353784,7.677058268610931,20.233051299427487,24.465291005755255,172.31428497069348,21.83772895594135,17.835227327713405,19.109488022780358
CVnIdwA,1.6699988148719995,21.180002236734,1.6999977324479998,7.370484328573539,1.955035084867748,7.625365658170891,rMD_DH_DM_profiles_cvnidwa.pdf,True,True,66.5,2.91,0.41,1.3900008672430002,2.589998687436,0.8765060240963856,0.8283676205262218,0.48650030353505,3.725073413405693,1.3900008672430002,0.47442771084337354,0.15988005477720935,0.5988028201544844,0.5748647088526012,0.11923435919545095,7.625365658170891,20.461792490924598,25.08803067736578,162.38833359072777,22.12100780339703,18.045864928250808,19.29355503622241
CVnIdwA,1.8500008035249995,24.059993919965997,2.20000685517,8.003503733249925,2.096500983738266,8.273535422234017,rMD_DH_DM_profiles_cvnidwa.pdf,True,True,66.5,2.91,0.41,1.3900008672430002,2.589998687436,0.8765060240963856,0.8283676205262218,0.48650030353505,3.725073413405693,1.3900008672430002,0.47442771084337354,0.16015642017553852,0.540540305763433,0.5928079111833924,0.12253916895517027,8.273535422234017,22.02172885368234,26.829978415295127,154.6325505634761,23.618126391607007,19.793029532036783,20.9099397308964
