galaxy,inclination_deg,distance_mpc,hi_beam_fwhm_kpc,n_points,rmse_tpg_v6,rmse_mond,rmse_v02,rmse_capacity_0p01,rmse_capacity_0p05,rmse_capacity_0p1
CVnIdwA,66.5,3.6,0.1918518518518518,14,6.505135061379994,8.69554413247,6.6462805398849385,6.645311214096299,6.641674790814925,6.63738393639413
DDO_126,65.0,4.9,0.1641975308641975,29,3.39331745475732,6.844852871291544,3.857041566458249,3.854438498814813,3.8446189304529326,3.83291982039543
DDO_133,43.4,3.5,0.2109090909090909,18,5.321804018496601,2.6963872462670646,4.850338719387886,4.853110398595005,4.862808724160661,4.874374130564492
DDO_210,66.7,0.9,0.0516666666666666,7,1.2322391882346,2.396950423047397,1.3905384918626391,1.3891915530186016,1.3859627575693434,1.3821090197633774
DDO_216,63.7,1.1,0.0861538461538461,12,4.003625721808804,5.655362068210084,4.234166396263621,4.23297103372396,4.228411791221833,4.2229606187266215
DDO_46,27.9,6.1,0.1859872611464968,23,28.65202160245353,26.35056604552727,28.1974051949885,28.200093704712394,28.20967512642216,28.22108941686731
DDO_47,45.5,5.2,0.2631399317406143,33,13.209804173379558,9.767308291405287,12.72972467561436,12.732195557528406,12.741655127235088,12.752964083552184
DDO_50,49.7,3.4,0.1162322274881516,64,26.194163818563048,30.442165749491657,27.169970198750722,27.16493275016371,27.145352107834146,27.121961146951506
DDO_52,43.0,10.3,0.3415094339622641,15,11.333532111742878,6.920308732682193,10.722671637045615,10.726096325984466,10.738713031922448,10.753759200326199
DDO_53,27.0,3.6,0.1106870229007633,12,5.714254784083218,7.108837919869776,6.113668090652748,6.111481515852705,6.1029214119397865,6.092729842693473
DDO_70,50.0,1.3,0.0873362445414847,23,6.548007656636344,4.369610069931376,6.222529503682434,6.224189019467907,6.230659448560703,6.2383905630286165
DDO_87,55.5,7.7,0.2831417624521072,33,7.5601000836730075,2.1928195962976798,7.038674315107463,7.041502461806416,7.052116839681043,7.064783185930242
F564-V3,56.5,8.7,0.53,10,11.303771795386076,7.446315140754394,11.034652279005353,11.036582696504654,11.042200023104881,11.048896142028966
HARO_36,70.0,9.3,0.316,9,5.55818885748822,5.86561487957756,5.666751934830135,5.665418349866248,5.661937798192605,5.657857821747534
NGC_1569,69.1,3.4,0.0968253968253968,22,10.054036272677939,11.660493910394173,10.719388985834469,10.715748030538885,10.701602890491536,10.684755696869896
NGC_3738,22.6,4.9,0.1495726495726495,11,62.360623399220614,61.61148426802678,61.62019229659667,61.62434947195514,61.6395297942079,61.65764099157271
UGC_8508,82.5,2.6,0.0744,24,13.443424060823963,10.19636335157316,13.186672908679526,13.188007483350198,13.193123698940344,13.199237185482486
