galaxy,split,coarse_formula_family,dominant_intake_family,weight_intake_status,n_points,rmse_l2_weight_intake,rmse_single_matched_family,rmse_tpg_v6,rmse_mond,claim_boundary,rmse_mixture_proxy,intake_minus_old_l2_proxy,intake_minus_single_matched,intake_minus_tpg_v6,intake_minus_mond,intake_beats_old_l2_proxy,intake_beats_single_matched,intake_beats_tpg_v6,intake_beats_mond,dominant_intake_matches_coarse_family
CamB,holdout,K_scale_tail_spiral,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,9,15.773375142407723,19.721962031071975,13.63779853730796,15.623524086441458,l2_weight_intake_endpoint_preflight_not_validation,41.34713054835143,-25.573755405943707,-3.948586888664252,2.1355766050997627,0.14985105596626447,True,True,False,False,False
ESO116-G012,holdout,K_exponential_disk,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,15,10.754558922826295,13.446279755293979,11.508201668011028,9.108666488881621,l2_weight_intake_endpoint_preflight_not_validation,9.914510077634636,0.8400488451916583,-2.6917208324676842,-0.7536427451847327,1.6458924339446739,False,True,True,False,False
F561-1,holdout,K_scale_tail_spiral,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,6,30.72961132456212,30.72961132456212,28.55685188052471,32.526019723976546,l2_weight_intake_endpoint_preflight_not_validation,32.81474646274271,-2.08513513818059,0.0,2.1727594440374105,-1.7964083994144247,True,False,False,True,True
F563-1,holdout,K_scale_tail_spiral,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,17,24.353860854926513,22.617853241287115,24.695833689633552,18.44568739642176,l2_weight_intake_endpoint_preflight_not_validation,22.440942185209032,1.912918669717481,1.7360076136393978,-0.34197283470703965,5.908173458504752,False,False,True,False,True
F568-1,holdout,K_thick_flared,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,12,31.176877091120875,34.955430288199395,33.500610533676024,29.974188853658532,l2_weight_intake_endpoint_preflight_not_validation,30.28243549193633,0.894441599184546,-3.7785531970785193,-2.323733442555149,1.2026882374623433,False,True,True,False,False
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,34,25.05305541471972,10.566965630734453,7.5138151552258,13.51316984455882,l2_weight_intake_endpoint_preflight_not_validation,11.914818481303511,13.138236933416207,14.486089783985266,17.53924025949392,11.539885570160898,False,False,False,False,False
IC4202,holdout,K_compact_finite,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,32,26.05888267438966,25.94895537395008,26.101514959176914,26.12803028857914,l2_weight_intake_endpoint_preflight_not_validation,25.82365271448953,0.2352299599001313,0.10992730043957977,-0.04263228478725267,-0.0691476141894789,False,False,True,True,False
NGC0024,holdout,K_thick_flared,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,29,21.692224929876502,22.660175260822907,22.157814084096987,20.65262257294937,l2_weight_intake_endpoint_preflight_not_validation,12.372056070443607,9.320168859432895,-0.9679503309464046,-0.46558915422048486,1.0396023569271335,False,True,True,False,False
NGC2683,holdout,K_thick_flared,K_compact_finite,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,11,11.450848580050405,9.441655141326386,10.314830339812675,14.151015414510422,l2_weight_intake_endpoint_preflight_not_validation,10.59617743375434,0.8546711462960648,2.0091934387240187,1.1360182402377301,-2.700166834460017,False,False,False,True,False
NGC3726,holdout,K_thick_flared,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,12,26.51090685077883,22.32780920265615,23.631876746434497,26.325344741169783,l2_weight_intake_endpoint_preflight_not_validation,22.98251398182168,3.5283928689571518,4.183097648122679,2.8790301043443343,0.18556210960904806,False,False,False,False,False
NGC3949,holdout,K_thick_flared,K_compact_finite,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,7,24.44325259103885,8.55319084358932,8.950158230683527,11.297904622428334,l2_weight_intake_endpoint_preflight_not_validation,10.950671563982567,13.492581027056282,15.89006174744953,15.493094360355322,13.145347968610515,False,False,False,False,False
NGC3972,holdout,K_thick_flared,K_compact_finite,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,10,13.92630563477123,8.593962113335323,7.806428086864266,6.774747860896815,l2_weight_intake_endpoint_preflight_not_validation,6.266471836974784,7.659833797796447,5.332343521435908,6.119877547906964,7.151557773874416,False,False,False,False,False
NGC4013,holdout,K_compact_finite,K_compact_finite,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,36,12.507084507992706,16.99356852880305,12.273912532057183,14.334222058319126,l2_weight_intake_endpoint_preflight_not_validation,15.260410364871282,-2.7533258568785755,-4.486484020810343,0.23317197593552308,-1.8271375503264196,True,True,False,True,True
NGC4088,holdout,K_thick_flared,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,12,42.56348032525069,37.811387707787695,38.98773649865968,42.18384581680386,l2_weight_intake_endpoint_preflight_not_validation,38.70894315682372,3.8545371684269654,4.752092617462992,3.575743826591008,0.3796345084468271,False,False,False,False,False
NGC4183,holdout,K_exponential_disk,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,23,9.741644276499994,6.224581287933666,6.489693491114096,10.354993594406714,l2_weight_intake_endpoint_preflight_not_validation,6.170265873085838,3.5713784034141556,3.5170629885663276,3.2519507853858975,-0.6133493179067209,False,False,False,True,True
NGC4214,holdout,K_scale_tail_spiral,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,14,24.67008828870912,15.405984093871057,17.991047303306434,15.27888150484993,l2_weight_intake_endpoint_preflight_not_validation,10.919711713891596,13.750376574817524,9.264104194838064,6.679040985402686,9.391206783859191,False,False,False,False,False
NGC4389,holdout,K_thick_flared,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,6,46.27429572913639,45.987913835499185,46.55692853885728,48.50110279830857,l2_weight_intake_endpoint_preflight_not_validation,50.97240947396256,-4.698113744826166,0.28638189363720556,-0.2826328097208872,-2.2268070691721817,True,False,True,True,False
NGC5907,holdout,K_thick_flared,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,19,16.72953347222077,16.383392586061934,16.785509985459306,18.59536481497724,l2_weight_intake_endpoint_preflight_not_validation,16.493230967433664,0.2363025047871048,0.3461408861588353,-0.05597651323853725,-1.865831342756472,False,False,True,True,False
NGC5985,holdout,K_compact_finite,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,33,71.09345366054956,66.20241092491683,72.28739039126062,69.40357999391347,l2_weight_intake_endpoint_preflight_not_validation,67.77722423034764,3.316229430201915,4.891042735632723,-1.1939367307110587,1.689873666636089,False,False,True,False,False
NGC6789,holdout,K_scale_tail_spiral,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,4,14.089331192642511,11.536643562882814,15.897752239176857,15.396246199577478,l2_weight_intake_endpoint_preflight_not_validation,34.90590005866092,-20.816568866018407,2.5526876297596974,-1.8084210465343453,-1.3069150069349664,True,False,True,True,False
NGC6946,holdout,K_compact_finite,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,58,20.948752064502973,27.872527807879194,15.025447425206579,17.728143095419597,l2_weight_intake_endpoint_preflight_not_validation,24.079718854313754,-3.130966789810781,-6.923775743376222,5.9233046392963935,3.2206089690833757,True,True,False,False,False
NGC7331,holdout,K_thick_flared,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,36,26.764221798862284,24.522570438330455,25.485065060071012,29.311675230419702,l2_weight_intake_endpoint_preflight_not_validation,25.42735018986565,1.3368716089966348,2.2416513605318293,1.2791567387912721,-2.547453431557418,False,False,False,True,False
UGC00731,holdout,K_scale_tail_spiral,K_thick_flared,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,12,12.523488983592612,11.310048467799863,12.845453066903099,11.466827035781066,l2_weight_intake_endpoint_preflight_not_validation,11.034722729741045,1.4887662538515674,1.2134405157927493,-0.32196408331048687,1.0566619478115467,False,False,True,False,False
UGC00891,holdout,K_scale_tail_spiral,K_exponential_disk,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,5,5.812976613743893,7.225333270873022,5.958365558298525,7.682081654505746,l2_weight_intake_endpoint_preflight_not_validation,8.66676298769668,-2.8537863739527873,-1.4123566571291288,-0.14538894455463236,-1.8691050407618528,True,True,True,True,False
UGC02023,holdout,K_scale_tail_spiral,K_scale_tail_spiral,SOURCE_INFORMATIVE_WEIGHT_CANDIDATE,5,15.300264315382941,15.300264315382941,12.198048884046239,13.979836766957423,l2_weight_intake_endpoint_preflight_not_validation,24.895483231211234,-9.595218915828292,0.0,3.1022154313367025,1.3204275484255188,True,False,False,False,True
