annulus,r_mid_arcsec,n_train,n_test,observed_even_contrast_km_s,predicted_even_contrast_km_s,residual_even_km_s,sigma_residual_even_km_s
0,10.0,85,47,2373.3103848796327,2373.5131059118985,-0.20272103226547677,0.5480004792274886
1,20.0,160,84,2374.5953707599474,2373.2142230582285,1.3811477017183407,0.5216151547763332
2,30.0,236,125,2373.8322975537503,2372.232441878572,1.599855675177988,0.3747937331494936
3,40.0,307,145,2374.4604199401483,2372.8791117913943,1.581308148753961,0.47800750268135217
4,50.0,377,166,2374.074585383848,2371.1717045765226,2.9028808073253995,0.5561978347261274
5,60.0,388,191,2373.6300685792485,2377.895551450078,-4.265482870829633,0.5582060640474913
