galaxy,split,formula_family,path_disturbance_class,source_disturbance_class,observation_disturbance_class,kernel_gain_vs_tpg,kernel_gain_vs_wrong,matched_beats_tpg_v6
IC2574,holdout,K_scale_tail_spiral,P0,S1,O0,-3.0531504755086525,16.185973267278385,False
NGC0024,holdout,K_thick_flared,P0,S0,O0,-0.5987559471004076,26.49450961836119,False
NGC0055,train,K_scale_tail_spiral,P1,S1,O1,-1.861058456689726,8.9558886864695,False
NGC0100,train,K_exponential_disk,P0,S1,O3,-1.3184705640535688,15.271389139699021,False
NGC0247,train,K_exponential_disk,P0,S2,O0,-2.6954832707814234,8.64140085429236,False
NGC0289,train,K_thick_flared,P0,S1,O0,2.190970487615081,2.425346987181536,True
NGC0300,train,K_exponential_disk,P0,S1,O0,-3.7835509080206826,6.384604154021202,False
NGC1090,train,K_thick_flared,P0,S2,O0,1.4937584567328734,3.918841555996119,True
NGC1705,train,K_scale_tail_spiral,P0,S0,O3,3.245256977142059,23.531264200625984,True
NGC2683,holdout,K_thick_flared,P0,S0,O1,-0.017028692547265578,2.5015539940137117,False
NGC2841,train,K_compact_finite,P0,S3,O1,4.21283230278916,4.962680658601897,True
NGC2903,train,K_thick_flared,P0,S2,O0,-0.1113170804056054,0.7797398928504435,False
NGC2976,train,K_thick_flared,P0,S3,O0,0.325123224226326,63.17083523978636,True
NGC3198,train,K_thick_flared,P0,S3,O0,0.023606723869502133,5.506124662265268,True
NGC3521,train,K_thick_flared,P2,S3,O0,-0.13699549995194893,8.88058709417761,False
NGC3726,holdout,K_thick_flared,P2,S3,O0,0.8343215222636076,4.2489919946240775,True
NGC3769,train,K_thick_flared,P0,S3,O0,0.7423851007292761,5.3051641976407975,True
NGC3877,train,K_thick_flared,P0,S3,O1,0.33207799138573435,6.9670360645068605,True
NGC3893,train,K_thick_flared,P0,S3,O0,-0.8466613674569938,1.574653336934599,False
NGC3917,train,K_exponential_disk,P0,S1,O1,-1.7314341260575157,4.940669675974702,False
NGC3949,holdout,K_thick_flared,P0,S1,O0,0.2719421036593097,14.04918723050234,True
NGC3953,train,K_thick_flared,P0,S3,O0,-0.10384073601302113,3.0192284093678285,False
NGC3972,holdout,K_thick_flared,P0,S2,O1,-0.6584783780738901,11.433774504911902,False
NGC3992,train,K_thick_flared,P0,S2,O0,-2.008836566694651,-1.5444565352422934,False
NGC4010,train,K_exponential_disk,P0,S3,O3,1.3576028018273156,13.51537906561654,True
NGC4013,holdout,K_compact_finite,P0,S3,O3,-4.719655996745866,-5.325027735377471,False
NGC4051,train,K_thick_flared,P0,S1,O2,0.8415011198028672,8.44593993968185,True
NGC4068,train,K_scale_tail_spiral,P0,S0,O0,-4.253165354277378,53.386842282341775,False
NGC4085,train,K_thick_flared,P0,S0,O2,0.46259380856230337,17.093777198873102,True
NGC4088,holdout,K_thick_flared,P0,S1,O0,0.5323585622647542,4.536743086703886,True
NGC4100,train,K_thick_flared,P0,S3,O0,-0.9776655411592046,0.5385634536658319,False
NGC4138,train,K_compact_finite,P0,S1,O0,-10.21896566383405,-9.970290926753666,False
NGC4157,train,K_thick_flared,P0,S3,O2,1.3356494739227358,3.2730841202072654,True
NGC4183,holdout,K_exponential_disk,P0,S3,O2,0.26511220318043005,7.535629576581786,True
NGC4214,holdout,K_scale_tail_spiral,P3,S2,O3,2.2457288271190254,22.517813880483835,True
NGC4217,train,K_compact_finite,P1,S1,O3,-3.390524005297486,-3.8068601453608153,False
NGC4389,holdout,K_thick_flared,P0,S0,O0,0.5819767323100749,21.063615371136443,True
NGC4559,train,K_exponential_disk,P0,S0,O0,3.608681996782966,9.883997440812623,True
NGC5005,train,K_compact_finite,P0,S1,O0,-8.862250780518647,-8.893300121960994,False
NGC5033,train,K_compact_finite,P1,S3,O0,1.2655085226852947,2.4008565080766626,True
NGC5055,train,K_thick_flared,P1,S0,O0,1.1965011185056902,2.4728898413066283,True
NGC5371,train,K_thick_flared,P0,S3,O0,1.4497116542703807,2.268836596379998,True
NGC5585,train,K_exponential_disk,P0,S0,O0,0.6489834059501867,20.015303849280286,True
NGC5907,holdout,K_thick_flared,P0,S3,O3,-0.23979067915143304,0.8032630773312981,False
NGC5985,holdout,K_compact_finite,P0,S3,O0,22.254896835410186,23.260917438406544,True
NGC6015,train,K_exponential_disk,P0,S3,O0,-2.2914297028210875,-1.764014056537933,False
NGC6503,train,K_exponential_disk,P0,S0,O0,-4.7886150900838444,-1.4383571443969156,False
NGC7793,train,K_exponential_disk,P0,S1,O0,-0.03846378785138249,28.974063017415357,False
UGC00191,train,K_scale_tail_spiral,P0,S0,O0,1.3772051211360345,42.17942024867123,True
UGC00634,train,K_scale_tail_spiral,P0,S0,O0,1.705750708875045,8.225170978855452,True
UGC00891,holdout,K_scale_tail_spiral,P0,S2,O0,-0.6109251296591225,23.477395697162716,False
UGC04305,holdout,K_scale_tail_spiral,P0,S2,O0,-2.8084410778293893,28.168326416069807,False
UGC04483,train,K_scale_tail_spiral,P0,S1,O0,-6.255789296632186,83.1633491443977,False
UGC04499,holdout,K_scale_tail_spiral,P0,S1,O0,-1.601831541406014,19.57227803918656,False
UGC05764,train,K_scale_tail_spiral,P0,S0,O0,3.709102433034598,44.276247306441654,True
UGC05829,holdout,K_scale_tail_spiral,P0,S3,O0,-0.7498861501234924,26.809034317357636,False
UGC05918,train,K_scale_tail_spiral,P0,S2,O0,0.031517470062574215,40.601536000784314,True
UGC06399,train,K_scale_tail_spiral,P0,S1,O0,2.073815148553657,22.314606914231856,True
UGC06446,train,K_scale_tail_spiral,P0,S1,O0,1.9925223626765103,16.725443601530216,True
UGC06628,train,K_scale_tail_spiral,P0,S1,O2,-2.2381575869586534,18.830818973491468,False
UGC06667,train,K_scale_tail_spiral,P0,S1,O3,3.5237921140076587,17.677576305737265,True
UGC06818,holdout,K_scale_tail_spiral,P0,S1,O0,-1.5154293163795387,21.420074599349753,False
UGC06917,holdout,K_scale_tail_spiral,P0,S2,O0,0.6225078851345538,13.562450870804732,True
UGC06930,train,K_exponential_disk,P0,S0,O0,0.3595226285277011,8.549290506808426,True
UGC06983,holdout,K_scale_tail_spiral,P0,S1,O0,0.6584127675031635,6.8359244440037035,True
UGC07089,train,K_exponential_disk,P0,S1,O1,3.5074313303916895,21.562721047229097,True
UGC07125,train,K_scale_tail_spiral,P0,S0,O3,-1.9897626864766416,5.446913179070126,False
UGC07559,train,K_scale_tail_spiral,P0,S3,O0,-4.7575916302085375,52.476539101995115,False
UGC07577,holdout,K_scale_tail_spiral,P0,S2,O0,-6.522575928251117,69.53452680606681,False
UGC07608,train,K_scale_tail_spiral,P0,S2,O2,3.640997210891636,35.5602969283881,True
UGC07690,train,K_scale_tail_spiral,P0,S0,O0,-2.123502961622715,34.797014623706026,False
UGC08837,train,K_scale_tail_spiral,P0,S3,O1,-3.70153305898042,34.99007958381488,False
UGC09992,train,K_scale_tail_spiral,P0,S0,O0,-3.5605828095802217,37.47181912576471,False
UGC10310,train,K_scale_tail_spiral,P0,S3,O0,-0.9368734740707838,20.915399467429836,False
UGC12732,train,K_scale_tail_spiral,P0,S2,O0,1.454563805758391,12.773312794755611,True
