radius_arcsec,inclination_deg,inclination_digitization_p05_deg,inclination_digitization_p95_deg,position_angle_receding_deg,position_angle_digitization_p05_deg,position_angle_digitization_p95_deg,position_angle_approaching_deg
15.0,63.333,62.222,66.038,286.341,284.762,287.317,106.341
18.0,63.333,62.222,64.444,286.283,284.390,287.000,106.283
21.0,63.333,62.222,65.000,285.366,284.390,286.341,105.366
24.0,63.333,62.222,65.283,285.366,284.390,286.341,105.366
27.0,63.333,62.222,65.283,285.366,284.390,286.341,105.366
30.0,63.333,62.222,65.283,285.366,284.390,286.341,105.366
33.0,63.333,62.222,65.000,285.366,284.390,286.341,105.366
36.0,63.333,62.222,64.444,285.366,283.816,286.341,105.366
39.0,63.333,62.222,64.444,285.366,284.390,286.341,105.366
42.0,64.444,62.851,65.556,285.366,284.390,286.341,105.366
45.0,64.444,63.333,65.556,285.366,284.390,286.341,105.366
48.0,64.444,63.333,65.556,285.366,284.390,286.341,105.366
51.0,64.444,63.333,65.556,285.366,284.390,286.341,105.366
54.0,64.444,63.333,65.556,285.366,284.215,286.341,105.366
57.0,64.444,63.333,65.556,285.366,284.000,286.341,105.366
60.0,64.444,63.333,65.556,285.366,284.390,286.341,105.366
63.0,64.444,63.333,65.556,285.366,283.980,286.341,105.366
66.0,64.444,63.333,65.556,285.366,284.390,286.341,105.366
69.0,64.189,62.822,67.808,284.390,283.415,285.540,104.390
72.0,63.333,62.222,69.689,284.390,283.415,285.366,104.390
75.0,63.611,62.545,69.615,284.390,283.415,285.641,104.390
78.0,64.444,63.333,66.058,284.390,283.415,285.366,104.390
81.0,64.444,63.333,65.556,284.390,283.415,285.366,104.390
84.0,64.444,63.333,65.556,284.390,283.415,285.366,104.390
87.0,64.122,62.731,65.556,284.390,283.415,285.366,104.390
90.0,64.444,63.206,65.556,284.390,283.415,285.366,104.390
93.0,64.444,63.333,65.556,284.390,283.256,285.366,104.390
96.0,64.444,63.019,65.556,284.390,283.415,285.366,104.390
99.0,64.444,63.333,65.556,284.712,283.737,286.000,104.712
102.0,64.444,63.333,65.556,285.366,284.390,286.341,105.366
105.0,64.444,63.333,65.556,285.366,284.390,286.341,105.366
108.0,64.444,63.333,65.556,285.366,284.390,286.713,105.366
111.0,64.444,63.333,65.556,285.366,284.390,287.317,105.366
114.0,64.022,62.545,65.283,285.366,284.390,286.341,105.366
117.0,64.633,62.545,67.494,285.746,284.762,287.000,105.746
120.0,67.778,63.929,68.889,286.341,285.366,287.317,106.341
123.0,67.778,63.485,68.889,286.741,285.714,288.000,106.741
126.0,68.711,62.857,70.629,287.727,286.667,289.000,107.727
129.0,68.889,62.857,70.000,288.712,287.619,290.000,108.712
132.0,68.889,62.857,70.000,289.268,288.293,290.244,109.268
135.0,66.278,62.857,68.865,289.268,288.293,290.244,109.268
138.0,63.844,62.545,65.260,289.268,288.293,290.244,109.268
141.0,64.444,62.857,65.556,290.244,289.268,291.220,110.244
144.0,64.444,62.857,65.556,290.244,289.268,291.220,110.244
147.0,64.444,62.857,65.556,290.244,289.268,291.220,110.244
150.0,64.444,62.857,65.556,290.244,289.268,291.482,110.244
153.0,64.444,62.545,65.556,290.741,289.524,292.000,110.741
156.0,62.267,61.067,64.444,291.220,289.767,293.885,111.220
159.0,63.333,62.222,64.444,291.220,288.000,292.195,111.220
162.0,63.933,62.545,65.283,290.693,289.268,291.980,110.693
165.0,64.444,63.333,65.556,290.244,289.268,291.220,110.244
168.0,63.333,62.222,64.444,290.244,289.268,291.220,110.244
171.0,65.233,62.222,67.469,290.244,289.268,291.220,110.244
174.0,67.778,63.333,68.889,289.678,288.571,291.000,109.678
177.0,68.889,62.545,69.811,289.268,288.293,290.244,109.268
180.0,65.778,62.857,68.222,289.268,288.293,290.244,109.268
183.0,64.444,63.333,65.556,289.268,288.293,290.244,109.268
186.0,64.444,62.857,65.556,289.268,288.293,290.244,109.268
189.0,64.444,63.019,65.556,288.293,287.317,289.268,108.293
192.0,64.444,63.333,65.556,288.293,287.317,289.268,108.293
195.0,65.167,63.667,66.755,288.293,287.317,289.268,108.293
198.0,66.667,65.556,67.778,287.317,286.341,288.293,107.317
201.0,66.667,65.556,67.932,287.317,286.341,288.293,107.317
204.0,67.778,66.414,68.889,287.317,286.321,289.000,107.317
207.0,65.900,64.819,67.778,286.341,285.366,289.524,106.341
210.0,67.778,65.818,68.889,286.341,285.366,287.317,106.341
213.0,66.200,64.021,68.462,286.341,285.366,287.317,106.341
216.0,64.756,63.333,66.311,286.341,285.366,287.317,106.341
219.0,65.256,63.636,66.415,286.341,285.005,287.317,106.341
222.0,65.556,64.444,66.667,286.341,285.000,287.317,106.341
225.0,65.556,64.444,66.981,286.341,285.366,287.317,106.341
228.0,67.511,65.818,68.679,286.341,285.366,287.317,106.341
231.0,67.778,66.667,68.889,286.341,285.366,287.317,106.341
234.0,67.778,66.667,68.889,286.341,285.366,287.317,106.341
237.0,65.144,63.333,68.462,286.341,285.366,287.317,106.341
240.0,64.444,63.032,65.556,286.341,285.366,287.317,106.341
243.0,64.444,63.333,65.985,286.341,285.366,287.317,106.341
246.0,65.556,64.029,66.667,286.341,285.366,287.317,106.341
249.0,64.444,63.333,65.556,286.341,285.366,287.317,106.341
252.0,64.444,63.333,65.556,286.341,285.116,287.317,106.341
255.0,64.444,63.333,65.556,286.341,285.366,287.317,106.341
258.0,64.444,63.333,65.556,286.341,285.029,287.317,106.341
261.0,64.444,63.333,65.556,285.366,284.390,286.341,105.366
264.0,64.444,62.986,65.556,285.366,284.390,286.341,105.366
267.0,63.333,62.222,65.283,285.366,284.390,286.753,105.366
270.0,63.333,62.222,65.283,286.341,284.762,287.317,106.341
273.0,63.333,62.222,65.283,286.341,284.654,287.295,106.341
276.0,63.333,62.222,65.283,285.366,284.390,286.341,105.366
279.0,64.367,62.857,65.556,285.366,284.390,286.341,105.366
282.0,64.444,63.333,65.556,284.449,283.473,286.000,104.449
285.0,64.444,63.333,65.556,284.390,283.415,285.366,104.390
