radius_arcsec,vrot_app_kms,e_app_kms,vrot_rec_kms,e_rec_kms,vrot_ave_kms,e_ave_kms,inclination_deg,pa_deg,radius_kpc,x_R_over_RHI,delta_pa_deg,delta_i_deg,twist_kernel_sin2_delta_pa,inclination_kernel_sin2_delta_i,uses_vobs_or_residual,source_id,extraction_status,orientation_kernel_upper,gamma_profile_bound,max_fractional_v2_attenuation_bound
10,47.0,10.0,38,15,47,10,82,346,0.8726646259971648,0.0546448087431694,0.0,0.0,0.0,0.0,False,VERHEIJEN_SANCISI_2001_URSA_MAJOR_HI_TABLE4_OCR,OCR_TRANSCRIPTION_REVIEW_REQUIRED,0.0,0.0,0.0
20,71.0,7.0,61,12,66,10,82,346,1.7453292519943295,0.1092896174863388,0.0,0.0,0.0,0.0,False,VERHEIJEN_SANCISI_2001_URSA_MAJOR_HI_TABLE4_OCR,OCR_TRANSCRIPTION_REVIEW_REQUIRED,0.0,0.0,0.0
30,78.0,7.0,74,10,76,7,82,346,2.6179938779914944,0.1639344262295082,0.0,0.0,0.0,0.0,False,VERHEIJEN_SANCISI_2001_URSA_MAJOR_HI_TABLE4_OCR,OCR_TRANSCRIPTION_REVIEW_REQUIRED,0.0,0.0,0.0
40,88.0,7.0,84,10,86,7,82,346,3.490658503988659,0.2185792349726776,0.0,0.0,0.0,0.0,False,VERHEIJEN_SANCISI_2001_URSA_MAJOR_HI_TABLE4_OCR,OCR_TRANSCRIPTION_REVIEW_REQUIRED,0.0,0.0,0.0
50,97.0,7.0,97,7,97,7,82,346,4.363323129985823,0.273224043715847,0.0,0.0,0.0,0.0,False,VERHEIJEN_SANCISI_2001_URSA_MAJOR_HI_TABLE4_OCR,OCR_TRANSCRIPTION_REVIEW_REQUIRED,0.0,0.0,0.0
60,100.0,7.0,99,7,99,7,82,346,5.235987755982989,0.3278688524590165,0.0,0.0,0.0,0.0,False,VERHEIJEN_SANCISI_2001_URSA_MAJOR_HI_TABLE4_OCR,OCR_TRANSCRIPTION_REVIEW_REQUIRED,0.0,0.0,0.0
70,103.0,7.0,103,7,103,7,82,346,6.1086523819801535,0.3825136612021859,0.0,0.0,0.0,0.0,False,VERHEIJEN_SANCISI_2001_URSA_MAJOR_HI_TABLE4_OCR,OCR_TRANSCRIPTION_REVIEW_REQUIRED,0.0,0.0,0.0
80,106.0,7.0,107,7,107,7,82,346,6.981317007977318,0.4371584699453553,0.0,0.0,0.0,0.0,False,VERHEIJEN_SANCISI_2001_URSA_MAJOR_HI_TABLE4_OCR,OCR_TRANSCRIPTION_REVIEW_REQUIRED,0.0,0.0,0.0
90,110.0,7.0,113,7,111,7,82,346,7.853981633974482,0.4918032786885246,0.0,0.0,0.0,0.0,False,VERHEIJEN_SANCISI_2001_URSA_MAJOR_HI_TABLE4_OCR,OCR_TRANSCRIPTION_REVIEW_REQUIRED,0.0,0.0,0.0
100,112.0,7.0,117,10,114,10,82,346,8.726646259971647,0.546448087431694,0.0,0.0,0.0,0.0,False,VERHEIJEN_SANCISI_2001_URSA_MAJOR_HI_TABLE4_OCR,OCR_TRANSCRIPTION_REVIEW_REQUIRED,0.0,0.0,0.0
