galaxy,split,formula_family,sparc_hi_ready,sparc_mhi_1e9_msun,sparc_rhi_kpc,s4g_scale_ready,s4g_bar_ready,s4g_compact_component_ready,dustpedia_any_match,dustpedia_hi_match,dustpedia_physical_match,dustpedia_dust_profile_match,phangs_sample_match,phangs_muse_ready,phangs_alma_ready,q_tail_candidate,q_expdisk_scale_candidate,q_bar_candidate,q_compact_candidate,q_memory_candidate,l4_velocity_field_candidate,source_expansion_status,accepted_label_output_allowed,endpoint_scores_computed,claim_boundary
CamB,holdout,K_scale_tail_spiral,True,0.012,1.21,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
D512-2,train,K_scale_tail_spiral,False,0.081,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
D564-8,train,K_scale_tail_spiral,False,0.029,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
D631-7,train,K_scale_tail_spiral,False,0.29,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
DDO064,train,K_scale_tail_spiral,True,0.211,3.49,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
DDO154,train,K_scale_tail_spiral,True,0.275,4.96,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
DDO161,train,K_scale_tail_spiral,True,1.378,10.69,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
DDO168,train,K_scale_tail_spiral,True,0.413,4.3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
DDO170,train,K_scale_tail_spiral,True,0.735,9.14,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
ESO079-G014,train,K_thick_flared,True,3.14,17.67,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
ESO116-G012,holdout,K_exponential_disk,True,1.083,9.58,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
ESO444-G084,train,K_scale_tail_spiral,True,0.135,2.95,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
ESO563-G021,train,K_thick_flared,True,24.298,55.71,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
F561-1,holdout,K_scale_tail_spiral,True,1.622,10.69,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
F563-1,holdout,K_scale_tail_spiral,True,3.2,23.47,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
F563-V1,train,K_scale_tail_spiral,True,0.61,6.83,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
F563-V2,train,K_scale_tail_spiral,True,2.169,11.37,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
F565-V2,train,K_scale_tail_spiral,True,0.699,7.31,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
F567-2,train,K_scale_tail_spiral,True,2.449,14.94,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
F568-1,holdout,K_thick_flared,True,4.498,16.31,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
F568-3,train,K_exponential_disk,True,3.195,16.14,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
F568-V1,train,K_exponential_disk,True,2.491,14.38,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
F571-8,train,K_thick_flared,True,1.782,24.55,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
F571-V1,train,K_scale_tail_spiral,True,1.217,10.1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
F574-1,train,K_exponential_disk,True,3.524,16.19,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
F574-2,train,K_scale_tail_spiral,True,1.701,12.61,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,RESIDUAL_BLIND_SOURCE_CANDIDATE,False,False,source_expansion_not_label_not_endpoint
