baryonic_sensitivity,radius_kpc,radius_over_bar,inside_source_support,q_required,q_morph_prefrozen,q_response_fraction,q_post_open_scaled_diagnostic
vbar_alpha3.20_h0.1_km_s,3.839720747581994,1.060696339111048,True,0.38853297378800944,0.1948407983258244,0.5014781536460611,0.8663987373878497
vbar_alpha3.20_h0.1_km_s,4.079703294305869,1.1269898603054886,True,0.5987354977057815,0.1954079802767588,0.3263677884901059,0.8689208258332941
vbar_alpha3.20_h0.1_km_s,4.319685841029743,1.193283381499929,True,0.6877185640587395,0.1959538693642558,0.2849332264753565,0.8713482312854638
vbar_alpha3.20_h0.1_km_s,4.559668387753618,1.2595769026943695,True,0.511956883453826,0.1962237128995601,0.3832817161784636,0.8725481447547617
vbar_alpha3.20_h0.1_km_s,4.7996509344774925,1.32587042388881,True,0.6280039282012122,0.1964935564348643,0.3128858715863125,0.8737480582240592
vbar_alpha3.20_h0.1_km_s,5.039633481201367,1.3921639450832506,True,0.7859049283755368,0.1966917549579629,0.25027423528762466,0.8746293877589424
vbar_alpha3.20_h0.1_km_s,5.2796160279252415,1.458457466277691,True,0.9822173768110112,0.1968591148216046,0.2004231644330625,0.8753735870015779
vbar_alpha3.20_h0.1_km_s,5.519598574649116,1.5247509874721314,True,0.9054294077039655,0.1970327443410862,0.2176124860365779,0.8761456655279682
vbar_alpha3.20_h0.1_km_s,5.7595811213729915,1.591044508666572,True,0.761313510871342,0.1972218516845706,0.25905471119098533,0.87698656930702
vbar_alpha3.20_h0.1_km_s,5.999563668096866,1.6573380298610128,True,1.0147588656860709,0.1974109590280551,0.1945397726528726,0.8778274730860723
vbar_alpha3.20_h0.1_km_s,6.239546214820741,1.7236315510554532,True,1.1439555538079946,0.1977450905615264,0.17286081605467393,0.8793132560494376
vbar_alpha3.20_h0.1_km_s,6.479528761544615,1.7899250722498936,True,1.0601455309607482,0.1981078530270057,0.18686854515858034,0.8809263522015965
vbar_alpha3.20_h0.1_km_s,6.71951130826849,1.856218593444334,False,1.0571966055064692,0.1983492473126655,0.1876181272996452,0.8819997603692153
vbar_alpha3.20_h0.1_km_s,6.959493854992364,1.9225121146387745,False,1.203812250516545,0.1983492473126655,0.16476759330830504,0.8819997603692153
vbar_alpha3.20_h0.1_km_s,7.199476401716239,1.9888056358332151,False,1.0396705969836977,0.1983492473126655,0.1907808568291902,0.8819997603692153
vbar_alpha3.20_h0.1_km_s,7.439458948440113,2.0550991570276556,False,1.031700851810521,0.1983492473126655,0.1922546123370786,0.8819997603692153
vbar_alpha3.20_h0.1_km_s,7.679441495163988,2.121392678222096,False,0.8087881007012425,0.1983492473126655,0.2452425389798527,0.8819997603692153
vbar_alpha3.20_h0.1_km_s,7.919424041887862,2.1876861994165364,False,0.8971553313851119,0.1983492473126655,0.22108685126625227,0.8819997603692153
vbar_alpha3.20_h0.1_km_s,8.159406588611738,2.2539797206109773,False,0.9241043787426355,0.1983492473126655,0.21463944103646118,0.8819997603692153
vbar_alpha3.20_h0.1_km_s,8.399389135335612,2.3202732418054177,False,1.0994933671296714,0.1983492473126655,0.18040058561742348,0.8819997603692153
vbar_alpha3.20_h0.3_km_s,3.839720747581994,1.060696339111048,True,0.4028954238250233,0.1948407983258244,0.48360141814478236,0.8641395006430886
vbar_alpha3.20_h0.3_km_s,4.079703294305869,1.1269898603054886,True,0.5881077689902539,0.1954079802767588,0.33226559923236976,0.8666550124458816
vbar_alpha3.20_h0.3_km_s,4.319685841029743,1.193283381499929,True,0.6122305442377898,0.1959538693642558,0.320065490375383,0.8690760881524557
vbar_alpha3.20_h0.3_km_s,4.559668387753618,1.2595769026943695,True,0.6048392056612155,0.1962237128995601,0.3244229392918513,0.8702728727060669
vbar_alpha3.20_h0.3_km_s,4.7996509344774925,1.32587042388881,True,0.6616877839542243,0.1964935564348643,0.2969581140830881,0.8714696572596777
vbar_alpha3.20_h0.3_km_s,5.039633481201367,1.3921639450832506,True,0.7809706038712849,0.1966917549579629,0.2518555166903318,0.8723486886240033
vbar_alpha3.20_h0.3_km_s,5.2796160279252415,1.458457466277691,True,0.9062626736858328,0.1968591148216046,0.21722081305739427,0.8730909472794681
vbar_alpha3.20_h0.3_km_s,5.519598574649116,1.5247509874721314,True,0.9582664060513375,0.1970327443410862,0.2056137448801795,0.8738610125201721
vbar_alpha3.20_h0.3_km_s,5.7595811213729915,1.591044508666572,True,0.8174616743235719,0.1972218516845706,0.24126128218520645,0.8746997235435856
vbar_alpha3.20_h0.3_km_s,5.999563668096866,1.6573380298610128,True,1.0216072211113785,0.1974109590280551,0.1932356731125071,0.8755384345669996
vbar_alpha3.20_h0.3_km_s,6.239546214820741,1.7236315510554532,True,1.0995640395407444,0.1977450905615264,0.179839539536159,0.8770203431763051
vbar_alpha3.20_h0.3_km_s,6.479528761544615,1.7899250722498936,True,1.0221834588779743,0.1981078530270057,0.19380850991705914,0.8786292329902706
vbar_alpha3.20_h0.3_km_s,6.71951130826849,1.856218593444334,False,1.1236474687236284,0.1983492473126655,0.17652266643556278,0.8796998421196756
vbar_alpha3.20_h0.3_km_s,6.959493854992364,1.9225121146387745,False,1.214838842573294,0.1983492473126655,0.1632720656943422,0.8796998421196756
vbar_alpha3.20_h0.3_km_s,7.199476401716239,1.9888056358332151,False,1.0155392670843377,0.1983492473126655,0.19531420767424953,0.8796998421196756
vbar_alpha3.20_h0.3_km_s,7.439458948440113,2.0550991570276556,False,0.9501562153746963,0.1983492473126655,0.20875435439260484,0.8796998421196756
vbar_alpha3.20_h0.3_km_s,7.679441495163988,2.121392678222096,False,0.8691304482858313,0.1983492473126655,0.22821573873503775,0.8796998421196756
vbar_alpha3.20_h0.3_km_s,7.919424041887862,2.1876861994165364,False,0.9086317334787306,0.1983492473126655,0.2182944310708564,0.8796998421196756
vbar_alpha3.20_h0.3_km_s,8.159406588611738,2.2539797206109773,False,0.910135721940599,0.1983492473126655,0.21793370211834295,0.8796998421196756
vbar_alpha3.20_h0.3_km_s,8.399389135335612,2.3202732418054177,False,1.017309807494578,0.1983492473126655,0.19497428005845965,0.8796998421196756
vbar_alpha3.20_h0.5_km_s,3.839720747581994,1.060696339111048,True,0.41034467091437077,0.1948407983258244,0.47482229485681093,0.8669315900936867
vbar_alpha3.20_h0.5_km_s,4.079703294305869,1.1269898603054886,True,0.581123564597742,0.1954079802767588,0.33625891665918184,0.8694552296744162
vbar_alpha3.20_h0.5_km_s,4.319685841029743,1.193283381499929,True,0.5939853508233772,0.1959538693642558,0.32989680484986084,0.8718841280299197
vbar_alpha3.20_h0.5_km_s,4.559668387753618,1.2595769026943695,True,0.6159181453436466,0.1962237128995601,0.3185873226548288,0.8730847794702132
vbar_alpha3.20_h0.5_km_s,4.7996509344774925,1.32587042388881,True,0.6792003346888207,0.1964935564348643,0.2893013245125812,0.8742854309105065
vbar_alpha3.20_h0.5_km_s,5.039633481201367,1.3921639450832506,True,0.7786436657214069,0.1966917549579629,0.2526081744667243,0.8751673024808372
vbar_alpha3.20_h0.5_km_s,5.2796160279252415,1.458457466277691,True,0.8841598118614562,0.1968591148216046,0.22265105491183704,0.8759119594210235
vbar_alpha3.20_h0.5_km_s,5.519598574649116,1.5247509874721314,True,0.9666272187206799,0.1970327443410862,0.2038352950601337,0.8766845127912867
vbar_alpha3.20_h0.5_km_s,5.7595811213729915,1.591044508666572,True,0.844535436522067,0.1972218516845706,0.23352702936511696,0.8775259337431305
vbar_alpha3.20_h0.5_km_s,5.999563668096866,1.6573380298610128,True,1.029614967671367,0.1974109590280551,0.19173279840184376,0.8783673546949748
vbar_alpha3.20_h0.5_km_s,6.239546214820741,1.7236315510554532,True,1.085936640236819,0.1977450905615264,0.1820963426728124,0.8798540514448429
vbar_alpha3.20_h0.5_km_s,6.479528761544615,1.7899250722498936,True,1.0231512311128927,0.1981078530270057,0.1936251914700055,0.8814681396836848
vbar_alpha3.20_h0.5_km_s,6.71951130826849,1.856218593444334,False,1.15032039752719,0.1983492473126655,0.17242956635303613,0.8825422080189861
vbar_alpha3.20_h0.5_km_s,6.959493854992364,1.9225121146387745,False,1.225344889894199,0.1983492473126655,0.1618721789665208,0.8825422080189861
vbar_alpha3.20_h0.5_km_s,7.199476401716239,1.9888056358332151,False,1.0071297038991354,0.1983492473126655,0.19694508715684778,0.8825422080189861
vbar_alpha3.20_h0.5_km_s,7.439458948440113,2.0550991570276556,False,0.9455781888185881,0.1983492473126655,0.20976504075298566,0.8825422080189861
vbar_alpha3.20_h0.5_km_s,7.679441495163988,2.121392678222096,False,0.8880944309372629,0.1983492473126655,0.22334251899692115,0.8825422080189861
vbar_alpha3.20_h0.5_km_s,7.919424041887862,2.1876861994165364,False,0.9180679101936893,0.1983492473126655,0.21605073558318666,0.8825422080189861
vbar_alpha3.20_h0.5_km_s,8.159406588611738,2.2539797206109773,False,0.9049140694509112,0.1983492473126655,0.21919125142238197,0.8825422080189861
vbar_alpha3.20_h0.5_km_s,8.399389135335612,2.3202732418054177,False,1.009159042078541,0.1983492473126655,0.19654904632686068,0.8825422080189861
vbar_alpha4.35_h0.1_km_s,3.839720747581994,1.060696339111048,True,0.37625914965014684,0.1948407983258244,0.5178367051193074,0.8463319488941079
vbar_alpha4.35_h0.1_km_s,4.079703294305869,1.1269898603054886,True,0.5976607659605571,0.1954079802767588,0.32695467296184344,0.8487956228783888
vbar_alpha4.35_h0.1_km_s,4.319685841029743,1.193283381499929,True,0.7089182789997315,0.1959538693642558,0.2764124937513849,0.8511668068361181
vbar_alpha4.35_h0.1_km_s,4.559668387753618,1.2595769026943695,True,0.4756580040991967,0.1962237128995601,0.41253108579801884,0.8523389289331988
vbar_alpha4.35_h0.1_km_s,4.7996509344774925,1.32587042388881,True,0.6010902923668275,0.1964935564348643,0.326895241746726,0.8535110510302792
vbar_alpha4.35_h0.1_km_s,5.039633481201367,1.3921639450832506,True,0.7738375400642497,0.1966917549579629,0.2541770653070567,0.8543719679622735
vbar_alpha4.35_h0.1_km_s,5.2796160279252415,1.458457466277691,True,0.9945535785186521,0.1968591148216046,0.19793716404380987,0.8550989306968731
vbar_alpha4.35_h0.1_km_s,5.519598574649116,1.5247509874721314,True,0.8701945021344253,0.1970327443410862,0.22642379819431346,0.8558531269990393
vbar_alpha4.35_h0.1_km_s,5.7595811213729915,1.591044508666572,True,0.718229942556889,0.1972218516845706,0.27459430469086743,0.8566745544820744
vbar_alpha4.35_h0.1_km_s,5.999563668096866,1.6573380298610128,True,0.9846184023150397,0.1974109590280551,0.20049489077585944,0.85749598196511
vbar_alpha4.35_h0.1_km_s,6.239546214820741,1.7236315510554532,True,1.1305638812392402,0.1977450905615264,0.17490837434570516,0.8589473524908909
vbar_alpha4.35_h0.1_km_s,6.479528761544615,1.7899250722498936,True,1.0418594730222157,0.1981078530270057,0.19014834356915372,0.8605230874859884
vbar_alpha4.35_h0.1_km_s,6.71951130826849,1.856218593444334,False,1.009963873548625,0.1983492473126655,0.19639241809287938,0.8615716342892751
vbar_alpha4.35_h0.1_km_s,6.959493854992364,1.9225121146387745,False,1.1694676792964418,0.1983492473126655,0.169606437889753,0.8615716342892751
vbar_alpha4.35_h0.1_km_s,7.199476401716239,1.9888056358332151,False,1.0205265056893071,0.1983492473126655,0.19435972138586638,0.8615716342892751
vbar_alpha4.35_h0.1_km_s,7.439458948440113,2.0550991570276556,False,1.0238689262744223,0.1983492473126655,0.1937252339851781,0.8615716342892751
vbar_alpha4.35_h0.1_km_s,7.679441495163988,2.121392678222096,False,0.7683884098977103,0.1983492473126655,0.25813669852083043,0.8615716342892751
vbar_alpha4.35_h0.1_km_s,7.919424041887862,2.1876861994165364,False,0.8668238669865211,0.1983492473126655,0.2288230110716942,0.8615716342892751
vbar_alpha4.35_h0.1_km_s,8.159406588611738,2.2539797206109773,False,0.9025384327938863,0.1983492473126655,0.21976820056145213,0.8615716342892751
vbar_alpha4.35_h0.1_km_s,8.399389135335612,2.3202732418054177,False,1.0898385039742449,0.1983492473126655,0.1819987517318923,0.8615716342892751
vbar_alpha4.35_h0.3_km_s,3.839720747581994,1.060696339111048,True,0.39454229464191193,0.1948407983258244,0.4938400799403842,0.8434563837762327
vbar_alpha4.35_h0.3_km_s,4.079703294305869,1.1269898603054886,True,0.5841048892515557,0.1954079802767588,0.33454262046521355,0.8459116869847438
vbar_alpha4.35_h0.3_km_s,4.319685841029743,1.193283381499929,True,0.610847888042896,0.1959538693642558,0.3207899596609478,0.8482748144182147
vbar_alpha4.35_h0.3_km_s,4.559668387753618,1.2595769026943695,True,0.5911511975436432,0.1962237128995601,0.3319348987448738,0.849442954019514
vbar_alpha4.35_h0.3_km_s,4.7996509344774925,1.32587042388881,True,0.6432329234391303,0.1964935564348643,0.3054780768749917,0.8506110936208129
vbar_alpha4.35_h0.3_km_s,5.039633481201367,1.3921639450832506,True,0.7677357824818536,0.1966917549579629,0.2561971962829699,0.8514690854325841
vbar_alpha4.35_h0.3_km_s,5.2796160279252415,1.458457466277691,True,0.8973938616861992,0.1968591148216046,0.21936757451372263,0.8521935781804554
vbar_alpha4.35_h0.3_km_s,5.519598574649116,1.5247509874721314,True,0.9356678671704453,0.1970327443410862,0.21057979145627095,0.8529452119649458
vbar_alpha4.35_h0.3_km_s,5.7595811213729915,1.591044508666572,True,0.7872962395727368,0.1972218516845706,0.2505052631670161,0.853763848500268
vbar_alpha4.35_h0.3_km_s,5.999563668096866,1.6573380298610128,True,0.9937323248738732,0.1974109590280551,0.1986560707412944,0.8545824850355908
vbar_alpha4.35_h0.3_km_s,6.239546214820741,1.7236315510554532,True,1.0772434902212766,0.1977450905615264,0.1835658255135128,0.856028924268795
vbar_alpha4.35_h0.3_km_s,6.479528761544615,1.7899250722498936,True,0.9962392560388262,0.1981078530270057,0.1988556983938855,0.8575993054206483
