galaxy,disposition,n_rows,radial_edge_rows,median_cosi,inclination_gate,minimum_radial_edge_rows_gate,source_sector_gate,profile_support_gate,body_rank,standard_rank,combined_rank,complement_dimension,rank_gate,source_sector_counts,radial_edges_arcsec
NGC4149,SOURCE_ONLY_GATE_FAILED,1849,69,0.10219034552574158,False,False,False,False,,,,,False,,
NGC4185,SOURCE_ONLY_GATE_FAILED,1849,53,0.6704103946685791,True,False,False,False,,,,,False,,
NGC4210,SOURCE_ONLY_GATE_FAILED,1849,258,0.7043709754943848,True,True,False,False,,,,,False,"[6, 6, 6, 6, 5]","[0.14388678967952728, 14.482272720336915, 20.9692985534668, 25.326991653442384, 30.082419204711915, 47.245750427246094]"
NGC4211NED02,SOURCE_ONLY_GATE_FAILED,1849,25,0.629252552986145,True,False,False,False,,,,,False,,
NGC4470,SOURCE_ONLY_GATE_FAILED,1849,124,0.6563241481781006,True,True,False,False,,,,,False,"[6, 6, 6, 6, 4]","[0.32214128971099854, 10.099578285217286, 15.169944000244142, 19.11067695617676, 24.349549102783204, 34.72560119628906]"
NGC4644,HISTORICAL_LEVY_2018_KSS_EXCLUDED,1849,99,0.3824220299720764,True,False,False,False,,,,,False,,
NGC4676A,SOURCE_ONLY_GATE_FAILED,1849,48,0.5304482579231262,True,False,False,False,,,,,False,,
NGC4711,HISTORICAL_LEVY_2018_KSS_EXCLUDED,1849,126,0.5443130135536194,True,True,True,True,8.0,8.0,16.0,4.0,True,"[6, 6, 6, 6, 6]","[0.7858276963233948, 11.287694931030273, 16.295761108398438, 20.001840591430664, 23.530073165893555, 32.55039596557617]"
NGC4961,SOURCE_ONLY_GATE_FAILED,1849,71,0.784017026424408,True,False,False,False,,,,,False,,
NGC5000,SOURCE_ONLY_GATE_FAILED,1849,115,0.7893340587615967,True,False,False,False,,,,,False,,
NGC5016,HISTORICAL_LEVY_2018_KSS_EXCLUDED,1849,163,0.719325840473175,True,True,True,True,8.0,8.0,16.0,4.0,True,"[6, 6, 6, 6, 6]","[0.3368566930294037, 11.436407279968261, 15.936601829528808, 19.7344970703125, 22.960015869140626, 34.32149887084961]"
NGC5056,SOURCE_ONLY_GATE_FAILED,1849,119,0.4901767373085022,True,False,False,False,,,,,False,,
NGC5205,SOURCE_ONLY_GATE_FAILED,1849,95,0.5743524432182312,True,False,False,False,,,,,False,,
NGC5218,SOURCE_ONLY_GATE_FAILED,1849,161,0.6426762342453003,True,True,False,False,,,,,False,"[6, 6, 6, 5, 4]","[0.11646994203329086, 12.039022445678711, 17.195911407470703, 21.283126831054695, 27.71942901611328, 41.48618698120117]"
NGC5394,SOURCE_ONLY_GATE_FAILED,1849,59,0.37164416909217834,True,False,False,False,,,,,False,,
NGC5406,SOURCE_ONLY_GATE_FAILED,1849,238,0.7094709873199463,True,True,False,False,,,,,False,"[6, 6, 5, 6, 5]","[0.22951824963092804, 17.558494949340822, 23.49035110473633, 28.166948318481445, 32.62165679931641, 46.72892761230469]"
NGC5480,HISTORICAL_LEVY_2018_KSS_EXCLUDED,1849,259,0.7556177973747253,True,True,True,True,8.0,8.0,16.0,4.0,True,"[6, 6, 6, 6, 6]","[0.28487923741340637, 14.231671524047853, 19.915898513793945, 24.37583351135254, 28.447904586791992, 40.36316680908203]"
NGC5485,SOURCE_ONLY_GATE_FAILED,1849,0,0.6583468317985535,True,False,False,False,,,,,False,,
NGC5520,HISTORICAL_LEVY_2018_KSS_EXCLUDED,1849,105,0.46983054280281067,True,False,False,False,,,,,False,,
NGC5614,SOURCE_ONLY_GATE_FAILED,1849,148,0.8170635104179382,True,True,False,False,,,,,False,"[6, 6, 6, 5, 3]","[0.17105720937252045, 10.397052764892578, 14.253521347045899, 18.255733489990238, 24.707748794555666, 44.013492584228516]"
NGC5633,HISTORICAL_LEVY_2018_KSS_EXCLUDED,1849,169,0.6478153467178345,True,True,True,True,8.0,8.0,16.0,4.0,True,"[6, 6, 6, 6, 6]","[0.5090602040290833, 12.277189826965332, 17.504320907592774, 21.477800750732424, 24.69466896057129, 36.76594924926758]"
NGC5657,SOURCE_ONLY_GATE_FAILED,1849,53,0.3663249611854553,True,False,False,False,,,,,False,,
NGC5682,SOURCE_ONLY_GATE_FAILED,1849,0,0.33026596903800964,False,False,False,False,,,,,False,,
NGC5732,SOURCE_ONLY_GATE_FAILED,1849,64,0.5074660181999207,True,False,False,False,,,,,False,,
NGC5784,SOURCE_ONLY_GATE_FAILED,1849,71,0.9047863483428955,False,False,False,False,,,,,False,,
NGC5876,SOURCE_ONLY_GATE_FAILED,1849,0,0.4278143346309662,True,False,False,False,,,,,False,,
NGC5908,SOURCE_ONLY_GATE_FAILED,1849,165,0.4494982063770294,True,True,False,False,,,,,False,"[6, 6, 6, 5, 4]","[0.28376999497413635, 15.06306037902832, 20.436275482177734, 25.098020553588867, 30.707114028930665, 44.62778091430664]"
NGC5930,SOURCE_ONLY_GATE_FAILED,1849,54,0.3855099081993103,True,False,False,False,,,,,False,,
NGC5934,SOURCE_ONLY_GATE_FAILED,1849,69,0.42906779050827026,True,False,False,False,,,,,False,,
NGC5947,SOURCE_ONLY_GATE_FAILED,1849,61,0.6904362440109253,True,False,False,False,,,,,False,,
NGC5953,SOURCE_ONLY_GATE_FAILED,1849,116,0.7456578016281128,True,False,False,False,,,,,False,,
NGC5980,HISTORICAL_LEVY_2018_KSS_EXCLUDED,1849,169,0.27589666843414307,False,True,False,False,,,,,False,,
NGC6004,CONFIRMATORY_UNTOUCHED,1849,249,0.7831195592880249,True,True,True,True,8.0,8.0,16.0,4.0,True,"[6, 6, 6, 6, 6]","[0.2879466116428375, 13.205151176452636, 19.23183937072754, 23.929360961914064, 28.636393356323243, 38.899986267089844]"
NGC6021,SOURCE_ONLY_GATE_FAILED,1849,0,0.48232850432395935,True,False,False,False,,,,,False,,
NGC6027,SOURCE_ONLY_GATE_FAILED,1849,0,0.5049858093261719,True,False,False,False,,,,,False,,
NGC6060,CONFIRMATORY_UNTOUCHED,1849,254,0.5222687125205994,True,True,True,True,8.0,8.0,16.0,4.0,True,"[6, 6, 6, 6, 6]","[0.21861052513122559, 16.708346557617187, 23.61597557067871, 28.779003143310547, 33.76295928955078, 46.80720138549805]"
NGC6063,SOURCE_ONLY_GATE_FAILED,1849,0,0.5075057148933411,True,False,False,False,,,,,False,,
NGC6081,SOURCE_ONLY_GATE_FAILED,1849,0,0.20878678560256958,False,False,False,False,,,,,False,,
NGC6125,SOURCE_ONLY_GATE_FAILED,1849,0,1.0,False,False,False,False,,,,,False,,
NGC6146,SOURCE_ONLY_GATE_FAILED,1849,0,0.6986463665962219,True,False,False,False,,,,,False,,
NGC6155,SOURCE_ONLY_GATE_FAILED,1849,209,0.6283499598503113,True,True,False,False,,,,,False,"[6, 6, 6, 6, 5]","[0.3344002962112427, 13.421813774108887, 19.757552337646484, 23.831141662597656, 28.139775848388673, 42.299808502197266]"
NGC6168,SOURCE_ONLY_GATE_FAILED,1849,84,0.26792365312576294,False,False,False,False,,,,,False,,
