scenario,radial_index,radius_lo_arcsec,radius_hi_arcsec,baseline_q_shape_proxy,q_mean,q_std,q_p025,q_p16,q_median,q_p84,q_p975,positive_probability,baseline_sign_probability,conditional_sign_stable_95,v03_systematic_equal_weight_std,measurement_to_v03_systematic_std_ratio,mean_star_clipped_fraction,mean_h2_clipped_fraction,mean_hi_clipped_fraction,n_draws
co_independent_only,0,5,15,-0.06029140892,-0.06019419534,0.002217610631,-0.06422112806,-0.06237488131,-0.06032020395,-0.05777573677,-0.05572232389,0,1,True,0.03442097744,0.06442613766,0,0.002894671315,0,256
co_independent_only,1,15,25,-0.03613661107,-0.035587458,0.002800914762,-0.04197227549,-0.03849005116,-0.03565707421,-0.0327822918,-0.03003165808,0,1,True,0.03137915301,0.08926036855,0,0.002894671315,0,256
co_independent_only,2,25,35,0.03472632034,0.03398202037,0.004322109137,0.02566806061,0.02980823115,0.03402686314,0.03818522144,0.0416544387,1,1,True,0.03218840634,0.1342753379,0,0.002894671315,0,256
co_independent_only,3,35,45,0.0246084571,0.02474754984,0.004378276571,0.01733203569,0.02008010747,0.02431108562,0.02899786632,0.03297241054,1,1,True,0.02379352876,0.1840112333,0,0.002894671315,0,256
co_independent_only,4,45,55,-0.03995552359,-0.04086245883,0.004271451396,-0.04869489596,-0.04504612591,-0.04129377767,-0.03665419915,-0.03207320943,0,1,True,0.02408441543,0.1773533349,0,0.002894671315,0,256
co_independent_only,5,55,65,-0.09911625705,-0.1001931977,0.006047606118,-0.1118401292,-0.1064307025,-0.09944571384,-0.09382263848,-0.08878965701,0,1,True,0.02866274089,0.2109918986,0,0.002894671315,0,256
star_co_plus_hi_ctl01,0,5,15,-0.06029140892,-0.05960926723,0.002729525921,-0.0641510732,-0.06250215918,-0.05968138537,-0.05699102599,-0.05377570018,0,1,True,0.03442097744,0.0792983269,0.006914307057,0.002894671315,0,256
star_co_plus_hi_ctl01,1,15,25,-0.03613661107,-0.0351166002,0.004783142369,-0.04487298316,-0.03956106186,-0.03486089313,-0.03059447553,-0.02624538239,0,1,True,0.03137915301,0.152430576,0.006914307057,0.002894671315,0,256
star_co_plus_hi_ctl01,2,25,35,0.03472632034,0.03330373854,0.004419870338,0.02453819855,0.0291309952,0.0334436313,0.03775858797,0.04156805503,1,1,True,0.03218840634,0.1373124936,0.006914307057,0.002894671315,0,256
star_co_plus_hi_ctl01,3,35,45,0.0246084571,0.02699837673,0.01258943943,0.004648336374,0.01619157422,0.02681529944,0.03922706433,0.05129371946,0.98046875,0.98046875,True,0.02379352876,0.5291119094,0.006914307057,0.002894671315,0,256
star_co_plus_hi_ctl01,4,45,55,-0.03995552359,-0.0418542261,0.06153899138,-0.13465162,-0.09188230093,-0.05182732036,0.007551615823,0.142598733,0.1796875,0.8203125,False,0.02408441543,2.555137432,0.006914307057,0.002894671315,0,256
star_co_plus_hi_ctl01,5,55,65,-0.09911625705,-0.08471748221,0.08461515949,-0.2179325691,-0.1605411021,-0.09556496927,-0.003309877036,0.0911577099,0.1484375,0.8515625,False,0.02866274089,2.952095888,0.006914307057,0.002894671315,0,256
star_co_plus_hi_ctl10,0,5,15,-0.06029140892,-0.059562063,0.002882911974,-0.06464615521,-0.06245338725,-0.0596704547,-0.05692411964,-0.05352829145,0,1,True,0.03442097744,0.08375450638,0.006914307057,0.002894671315,0,256
star_co_plus_hi_ctl10,1,15,25,-0.03613661107,-0.03504071095,0.004877916671,-0.04500408098,-0.03934073546,-0.03499885523,-0.03050577993,-0.02580164096,0,1,True,0.03137915301,0.1554508711,0.006914307057,0.002894671315,0,256
star_co_plus_hi_ctl10,2,25,35,0.03472632034,0.03325383494,0.004758400833,0.02377998149,0.0284060674,0.0333764534,0.03818149256,0.04212092863,1,1,True,0.03218840634,0.1478296497,0.006914307057,0.002894671315,0,256
star_co_plus_hi_ctl10,3,35,45,0.0246084571,0.02715847646,0.01271115363,0.005195424486,0.01629040184,0.0267147234,0.03932313641,0.05206077653,0.98046875,0.98046875,True,0.02379352876,0.534227342,0.006914307057,0.002894671315,0,256
star_co_plus_hi_ctl10,4,45,55,-0.03995552359,-0.04185407518,0.06147072761,-0.1324750945,-0.09230915784,-0.05191786835,0.008736253831,0.143483064,0.1875,0.8125,False,0.02408441543,2.552303077,0.006914307057,0.002894671315,0,256
star_co_plus_hi_ctl10,5,55,65,-0.09911625705,-0.08461293451,0.08458924289,-0.2145926465,-0.1635783088,-0.09593220309,-0.003231942193,0.08919665866,0.15234375,0.84765625,False,0.02866274089,2.951191696,0.006914307057,0.002894671315,0,256
star_co_plus_hi_ctl49,0,5,15,-0.06029140892,-0.05948167159,0.003415768499,-0.06598360776,-0.0628371597,-0.05949223765,-0.05638753587,-0.05265711448,0,1,True,0.03442097744,0.09923508143,0.006914307057,0.002894671315,0,256
star_co_plus_hi_ctl49,1,15,25,-0.03613661107,-0.03484356332,0.005388802018,-0.04616274966,-0.03914276702,-0.03515320585,-0.02982171608,-0.02545479021,0,1,True,0.03137915301,0.1717319144,0.006914307057,0.002894671315,0,256
star_co_plus_hi_ctl49,2,25,35,0.03472632034,0.03312158512,0.006055180136,0.02212922781,0.02718304302,0.03260532929,0.03987683818,0.04490879611,1,1,True,0.03218840634,0.1881168043,0.006914307057,0.002894671315,0,256
star_co_plus_hi_ctl49,3,35,45,0.0246084571,0.02744013791,0.01344018526,0.002091609842,0.01575704447,0.02627055955,0.04068237409,0.05344460661,0.98046875,0.98046875,True,0.02379352876,0.5648672543,0.006914307057,0.002894671315,0,256
star_co_plus_hi_ctl49,4,45,55,-0.03995552359,-0.04203981475,0.06142958748,-0.132209842,-0.09268183567,-0.05351351363,0.006613985707,0.1428027293,0.1875,0.8125,False,0.02408441543,2.550594913,0.006914307057,0.002894671315,0,256
star_co_plus_hi_ctl49,5,55,65,-0.09911625705,-0.08451187869,0.08476661735,-0.2155175174,-0.164586315,-0.09512029672,-0.005160170251,0.0878689656,0.15234375,0.84765625,False,0.02866274089,2.957380025,0.006914307057,0.002894671315,0,256
star_only,0,5,15,-0.06029140892,-0.05970542572,0.001576674469,-0.06113684111,-0.06103737723,-0.06022145347,-0.05843766071,-0.05583208238,0,1,True,0.03442097744,0.04580562746,0.006914307057,0,0,256
star_only,1,15,25,-0.03613661107,-0.03570983882,0.004342620596,-0.04314964414,-0.04013174235,-0.03573976445,-0.03188272536,-0.02799528869,0,1,True,0.03137915301,0.1383918997,0.006914307057,0,0,256
star_only,2,25,35,0.03472632034,0.03401149091,0.001249417195,0.03098398151,0.03350596265,0.03447502304,0.03469398294,0.03472401374,1,1,True,0.03218840634,0.03881575192,0.006914307057,0,0,256
star_only,3,35,45,0.0246084571,0.02661865347,0.01151449653,0.004571587987,0.01699356964,0.0263276987,0.03848021613,0.04769402681,0.98046875,0.98046875,True,0.02379352876,0.4839339575,0.006914307057,0,0,256
