geometry_variant,geometry_variant_class,stellar_psf_scenario,h2_conversion_factor,radial_index,radius_lo_arcsec,radius_hi_arcsec,n_pixels_total,delta_uv,q_shape_proxy
s4g_global_thin_primary,photometric_primary,psf_4arcsec_control,1.3,3,35,45,79,0.998665391254,0.0247515389594
s4g_global_thin_primary,photometric_primary,psf_4arcsec_control,1.3,4,45,55,103,0.935299081646,-0.0452674338992
s4g_global_thin_primary,photometric_primary,psf_4arcsec_control,1.3,5,55,65,116,0.976908098836,-0.109020978214
s4g_global_pa_minus_1sigma,photometric_control,psf_0arcsec_primary,0.7,0,5,15,17,0.793661720543,-0.0628378229577
s4g_global_pa_minus_1sigma,photometric_control,psf_0arcsec_primary,0.7,1,15,25,43,0.939190763947,-0.00787962562618
s4g_global_pa_minus_1sigma,photometric_control,psf_0arcsec_primary,0.7,2,25,35,60,0.818782295272,0.0580861533258
s4g_global_pa_minus_1sigma,photometric_control,psf_0arcsec_primary,0.7,3,35,45,76,0.933668930464,0.0163386235093
s4g_global_pa_minus_1sigma,photometric_control,psf_0arcsec_primary,0.7,4,45,55,105,0.986693221539,-0.0189372188089
s4g_global_pa_minus_1sigma,photometric_control,psf_0arcsec_primary,0.7,5,55,65,121,0.96275273887,-0.0684804564322
s4g_global_pa_minus_1sigma,photometric_control,psf_0arcsec_primary,1,0,5,15,17,0.793661720543,-0.0615417966271
s4g_global_pa_minus_1sigma,photometric_control,psf_0arcsec_primary,1,1,15,25,43,0.939190763947,-0.00840093102838
s4g_global_pa_minus_1sigma,photometric_control,psf_0arcsec_primary,1,2,25,35,60,0.818782295272,0.0580106935967
s4g_global_pa_minus_1sigma,photometric_control,psf_0arcsec_primary,1,3,35,45,76,0.933668930464,0.0195010393655
s4g_global_pa_minus_1sigma,photometric_control,psf_0arcsec_primary,1,4,45,55,105,0.986693221539,-0.0220561819366
s4g_global_pa_minus_1sigma,photometric_control,psf_0arcsec_primary,1,5,55,65,121,0.96275273887,-0.0780293189252
s4g_global_pa_minus_1sigma,photometric_control,psf_0arcsec_primary,1.3,0,5,15,17,0.793661720543,-0.0608119910716
s4g_global_pa_minus_1sigma,photometric_control,psf_0arcsec_primary,1.3,1,15,25,43,0.939190763947,-0.00818471726949
s4g_global_pa_minus_1sigma,photometric_control,psf_0arcsec_primary,1.3,2,25,35,60,0.818782295272,0.0582750203086
s4g_global_pa_minus_1sigma,photometric_control,psf_0arcsec_primary,1.3,3,35,45,76,0.933668930464,0.0218795620422
s4g_global_pa_minus_1sigma,photometric_control,psf_0arcsec_primary,1.3,4,45,55,105,0.986693221539,-0.0238693537307
s4g_global_pa_minus_1sigma,photometric_control,psf_0arcsec_primary,1.3,5,55,65,121,0.96275273887,-0.0851052978936
s4g_global_pa_minus_1sigma,photometric_control,psf_2arcsec_control,0.7,0,5,15,17,0.793582170376,-0.0628294583433
s4g_global_pa_minus_1sigma,photometric_control,psf_2arcsec_control,0.7,1,15,25,43,0.938669104831,-0.00797569046671
s4g_global_pa_minus_1sigma,photometric_control,psf_2arcsec_control,0.7,2,25,35,60,0.818634727489,0.0581201367838
s4g_global_pa_minus_1sigma,photometric_control,psf_2arcsec_control,0.7,3,35,45,76,0.933858023479,0.0163336815287
s4g_global_pa_minus_1sigma,photometric_control,psf_2arcsec_control,0.7,4,45,55,105,0.986334633764,-0.0193875443743
