variant_id,split,n_galaxies,median_rmse_tau_source_normalized_l2,beats_old_l2_intake_fraction,beats_tpg_v6_fraction,beats_mond_fraction,median_source_norm_minus_old_l2_intake,median_source_norm_minus_tpg_v6,median_source_norm_minus_mond,claim_boundary
primary_proxy_gate_0p35,holdout,44,14.150824141186282,0.5681818181818182,0.45454545454545453,0.5454545454545454,-0.2716479649483574,0.06988448985832396,-0.3162405767580303,tau_side_source_normalization_sensitivity_not_model_selection
primary_proxy_gate_0p35,train,131,11.786042668864171,0.5419847328244275,0.45038167938931295,0.48854961832061067,-0.08993715443317818,0.29230778046926353,0.1485748289567157,tau_side_source_normalization_sensitivity_not_model_selection
no_proxy_gate_0p00,holdout,44,14.339888802884452,0.5454545454545454,0.45454545454545453,0.5,-0.4167481571459395,0.3912373138509442,0.054885414047533665,tau_side_source_normalization_sensitivity_not_model_selection
no_proxy_gate_0p00,train,131,11.86153946110635,0.5572519083969466,0.44274809160305345,0.4961832061068702,-0.19182659859161433,0.27495951729658774,0.0212614900329271,tau_side_source_normalization_sensitivity_not_model_selection
weak_proxy_gate_0p20,holdout,44,14.242003954893477,0.5909090909090909,0.45454545454545453,0.5227272727272727,-0.3105269107560442,0.20400864552255227,-0.13613138352667153,tau_side_source_normalization_sensitivity_not_model_selection
weak_proxy_gate_0p20,train,131,11.676625703999145,0.5572519083969466,0.45038167938931295,0.48854961832061067,-0.15971387573850038,0.3785556019228551,0.062412710881393885,tau_side_source_normalization_sensitivity_not_model_selection
strong_proxy_gate_0p50,holdout,44,14.263790545972139,0.5454545454545454,0.4772727272727273,0.5454545454545454,-0.22402438504883104,0.004460017378103753,-0.4073377368152129,tau_side_source_normalization_sensitivity_not_model_selection
strong_proxy_gate_0p50,train,131,11.938208244590017,0.5190839694656488,0.44274809160305345,0.48091603053435117,-0.09589293971382684,0.11254749254842444,0.07532173056021252,tau_side_source_normalization_sensitivity_not_model_selection
full_proxy_gate_1p00,holdout,44,14.077413122666474,0.5227272727272727,0.5227272727272727,0.5227272727272727,-0.2874453615502026,-0.01876762812415622,-0.141903584449651,tau_side_source_normalization_sensitivity_not_model_selection
full_proxy_gate_1p00,train,131,12.474669158354388,0.4732824427480916,0.42748091603053434,0.4732824427480916,0.07637689297241224,0.3116501207810316,0.16620310965602947,tau_side_source_normalization_sensitivity_not_model_selection
all_positive_orientation,holdout,44,14.681017129721214,0.4772727272727273,0.4090909090909091,0.45454545454545453,0.3176249390754504,1.3957239814566744,0.4265047913354958,tau_side_source_normalization_sensitivity_not_model_selection
all_positive_orientation,train,131,14.316918039238262,0.44274809160305345,0.3893129770992366,0.3969465648854962,0.6560562024283385,1.5858587528915642,0.898803497566675,tau_side_source_normalization_sensitivity_not_model_selection
all_negative_orientation,holdout,44,17.22458426048313,0.4318181818181818,0.36363636363636365,0.45454545454545453,1.1511559158462426,1.9973952077516302,2.547763806497073,tau_side_source_normalization_sensitivity_not_model_selection
all_negative_orientation,train,131,15.39833516908188,0.42748091603053434,0.3511450381679389,0.4732824427480916,1.5887991991601504,1.6790900418204213,1.7101053735678207,tau_side_source_normalization_sensitivity_not_model_selection
