galaxy,ra_deg,dec_deg,target_redshift,cone_radius_arcmin,foreground_candidate_count,foreground_inverse_angle_weight,background_redshift_control_count,stellar_crowding_control_count,path_disturbance_class,query_status
IC2574,157.09839534642,68.41206667021,0.00016012358547623506,10.0,0,0.0,0,23,P0,OK
NGC0024,2.485591666666666,-24.963130555555555,0.001836956854180949,10.0,0,0.0,0,6,P0,OK
NGC0055,3.7233416666666663,-39.19662777777777,0.00043039030070257667,10.0,1,0.024530142415847726,18,293,P1,OK
NGC0100,6.011820833333334,16.48638888888889,0.0028292903121893698,10.0,0,0.0,5,6,P0,OK
NGC0247,11.785641666666667,-20.760400000000004,0.0005405199150889661,10.0,0,0.0,5,35,P0,OK
NGC0289,13.176520833333335,-31.205830555555554,0.005447931743701062,10.0,0,0.0,8,3,P0,OK
NGC0300,13.722694015959998,-37.68421344511,0.0004871222230051764,10.0,0,0.0,10,1301,P0,OK
NGC1090,41.64139959041,-0.24711881935000002,0.009279778669414984,10.0,0,0.0,35,27,P0,OK
NGC1705,73.55610895561,-53.36096433123,0.0021123574883359364,10.0,0,0.0,2,19,P0,OK
NGC2683,133.17211034566,33.42183268931,0.001371889470740184,10.0,0,0.0,25,8,P0,OK
NGC2841,140.51115779654,50.97659363413,0.0021136945699924414,10.0,0,0.0,15,104,P0,OK
NGC2903,143.04212916666668,21.500830555555552,0.001789504711258827,10.0,0,0.0,10,79,P0,OK
NGC2976,146.81440833333332,67.91638055555556,1.0006972925635793e-05,10.0,0,0.0,1,5,P0,OK
NGC3198,154.979125,45.54968888888889,0.002203951724023101,10.0,0,0.0,18,162,P0,OK
NGC3521,166.45236707974,-0.03590141015,0.0026627179879272767,10.0,2,0.2541273156516371,35,84,P2,OK
NGC3726,173.33806981069,47.02924450623,0.0028895040228358315,10.0,1,0.6636040825370075,21,8,P2,OK
NGC3769,174.43363659842,47.89299522471,0.002427958454552348,10.0,0,0.0,14,7,P0,OK
NGC3877,176.532425,47.4945,0.0029798314071227683,10.0,0,0.0,24,10,P0,OK
NGC3893,177.15919583333334,48.7107888888889,0.0032341302133742644,10.0,0,0.0,15,14,P0,OK
NGC3917,177.6893674424,51.82442207641,0.0030296822456070682,10.0,0,0.0,22,5,P0,OK
NGC3949,178.42387960079,47.85872262541001,0.0026821165461219376,10.0,0,0.0,17,10,P0,OK
NGC3953,178.45420274273,52.32679872092001,0.0035085780216956852,10.0,0,0.0,16,18,P0,OK
NGC3972,178.93787699999996,55.320735,0.002825945212649783,10.0,0,0.0,22,116,P0,OK
NGC3992,179.39984644985,53.37472391176001,0.003501883273441919,10.0,0,0.0,15,16,P0,OK
NGC4010,179.65829583333334,47.26131111111112,0.0030400542098139027,10.0,0,0.0,21,13,P0,OK
NGC4013,179.63090416666668,43.94702222222221,0.002779114997260912,10.0,0,0.0,27,12,P0,OK
NGC4051,180.79004222387996,44.53130072258,0.0020431,10.0,0,0.0,19,9,P0,OK
