galaxy,split,formula_family,s4g_scale_ready,q_expdisk_scale_candidate,rmse_matched_family,rmse_wrong_family_mean,rmse_tpg_v6,rmse_mond,matched_beats_wrong_mean,matched_beats_tpg_v6,matched_beats_mond,matched_family_rank,rmse_tau_source_normalized_l2,source_norm_beats_old_l2_intake,source_norm_beats_tpg_v6,source_norm_beats_mond,source_norm_minus_tpg_v6,source_norm_minus_mond,repair_status,projection_reason,inclusion_lane,allowed_use,matched_minus_wrong_mean
IC2574,holdout,K_scale_tail_spiral,True,True,10.566965630734453,26.75293889801284,7.5138151552258,13.51316984455882,True,False,True,3,7.617807621326818,True,False,True,0.103992466101018,-5.895362223232002,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-16.185973267278385
NGC0024,holdout,K_thick_flared,True,True,22.660175260822907,49.1700589416922,22.157814084096987,20.65262257294937,True,False,False,2,23.451231947000664,False,False,False,1.2934178629036772,2.7986093740512956,NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,-26.50988368086929
NGC0055,train,K_scale_tail_spiral,True,True,15.50707161929844,24.46296030576794,13.646013162608714,17.518196226309797,True,False,True,3,11.779890092381107,True,True,True,-1.8661230702276068,-5.73830613392869,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-8.9558886864695
NGC0100,train,K_exponential_disk,True,True,8.856389899016648,24.12777903871567,7.537919334963079,6.061732881040405,True,False,False,3,7.554756798181018,True,False,False,0.0168374632179393,1.4930239171406132,REPAIRABLE_WITH_EXISTING_SCALE_SOURCE_PLUS_DISTANCE_AUDIT,large_distance_error,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-15.271389139699021
NGC0247,train,K_exponential_disk,True,True,6.561795274843639,15.203196129135998,3.866312004062215,5.475417572666649,True,False,False,3,4.644726565792979,False,False,True,0.7784145617307638,-0.8306910068736704,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-8.64140085429236
NGC0289,train,K_thick_flared,True,True,11.25730085922346,13.682647846404995,13.44827134683854,23.595309185371484,True,True,True,2,17.84069255435745,False,False,True,4.392421207518909,-5.754616631014034,NEEDS_VERTICAL_GEOMETRY_SOURCE,large_distance_error;vertical_geometry_proxy_only,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-2.425346987181536
NGC0300,train,K_exponential_disk,True,True,13.615448943697162,20.000053097718364,9.83189803567648,5.607034629923943,True,False,False,3,8.81638797940889,True,True,False,-1.0155100562675887,3.209353349484948,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",CAUTION_READY_PROXY_SUPPORTED,support_lane_memory_history_proxy,-6.384604154021202
NGC1090,train,K_thick_flared,True,True,13.765926902112865,17.684768458108984,15.259685358845738,18.76400943928791,True,True,True,2,20.91670306413508,False,False,False,5.657017705289343,2.152693624847167,NEEDS_VERTICAL_GEOMETRY_SOURCE,large_distance_error;vertical_geometry_proxy_only,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,-3.918841555996119
NGC1705,train,K_scale_tail_spiral,True,True,17.353386930958422,40.884651131584405,20.59864390810048,16.95201559286103,True,True,False,1,19.934776532628323,True,True,False,-0.663867375472158,2.9827609397672923,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-23.531264200625984
NGC2683,holdout,K_thick_flared,True,True,9.441655141326386,12.426749788320713,10.314830339812676,14.151015414510422,True,True,True,2,13.776757043754774,False,False,True,3.4619267039420993,-0.3742583707556477,NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-2.9850946469943267
NGC2841,train,K_compact_finite,True,True,54.87724264138518,59.83992329998708,59.09007494417434,53.02346081870857,True,True,False,1,50.027357504591215,True,True,True,-9.062717439583125,-2.996103314117356,NO_PROJECTION_SCALE_REPAIR_REQUIRED,"manifest confidence, inclination, and distance/projection caveats pass",ACQUISITION_REQUIRED,source_acquisition_or_review_queue,-4.962680658601897
NGC2903,train,K_thick_flared,True,True,24.47346324263098,25.253203135481424,24.362146162225375,24.96300377208502,True,False,True,2,24.99168285585633,False,False,False,0.6295366936309534,0.0286790837713084,NEEDS_VERTICAL_GEOMETRY_SOURCE,large_distance_error;vertical_geometry_proxy_only,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,-0.7797398928504435
NGC2976,train,K_thick_flared,True,True,4.791806857705614,67.96264209749198,5.11693008193194,5.678104979086942,True,True,True,2,5.495485683854795,True,False,True,0.3785556019228551,-0.1826192952321461,NEEDS_VERTICAL_GEOMETRY_SOURCE,vertical_geometry_proxy_only,CAUTION_READY_PROXY_SUPPORTED,support_lane_projection_caveat,-63.17083523978636
