galaxy,r,vobs,errv,vn,v_v6,v_mond,v_K_exponential_disk,mixed_kernel,mixed_attenuation,v_mixed_population,endpoint_scores_allowed,construction_used_vobs,scoring_used_vobs,claim_boundary
NGC5907,5.03,214.0,6.0,126.46604781521404,161.6229909937617,164.37400251901263,159.5067357894428,0.0,0.0,159.5067357894428,True,False,True,ngc5907_expdisk_projection_mixed_accepted_endpoint_preliminary_control
NGC5907,7.55,220.0,6.0,146.66101748590182,190.6306834445936,193.73030876776076,188.4348783517028,0.0,0.0,188.4348783517028,True,False,True,ngc5907_expdisk_projection_mixed_accepted_endpoint_preliminary_control
NGC5907,10.07,235.0,4.0,160.5556657362175,212.26654213448657,215.55701860167673,210.23235887689714,0.0,0.0,210.23235887689714,True,False,True,ngc5907_expdisk_projection_mixed_accepted_endpoint_preliminary_control
NGC5907,12.58,235.0,4.0,165.48979711752625,224.6834576868467,227.91606160968783,222.85675815522404,0.0,0.0,222.85675815522404,True,False,True,ngc5907_expdisk_projection_mixed_accepted_endpoint_preliminary_control
NGC5907,15.1,230.0,2.0,160.7081856969333,227.36393445306896,230.32301879850743,225.7194198219553,0.04577565353600669,0.0031304201503105917,225.36584458523626,True,False,True,ngc5907_expdisk_projection_mixed_accepted_endpoint_preliminary_control
NGC5907,17.61,231.0,2.0,156.73541798202473,229.85745315937857,232.6989805415634,228.4059872439307,0.2586628509403413,0.017688953366520672,226.37684241613226,True,False,True,ngc5907_expdisk_projection_mixed_accepted_endpoint_preliminary_control
NGC5907,20.13,232.0,2.0,153.661250971089,232.47567979957643,235.34551917823083,231.20657121763753,0.6133650156013284,0.041945664474755,226.30557010365538,True,False,True,ngc5907_expdisk_projection_mixed_accepted_endpoint_preliminary_control
NGC5907,22.65,225.0,7.0,150.19248017127887,234.0745129315577,237.0938666139261,232.96069082615355,0.9384972540917403,0.06418020253733847,225.3609993171879,True,False,True,ngc5907_expdisk_projection_mixed_accepted_endpoint_preliminary_control
NGC5907,25.16,224.0,7.0,141.6895341936023,229.93289266420095,233.3132426168066,228.9263950607293,1.0,0.0683861377937124,220.96009119818484,True,False,True,ngc5907_expdisk_projection_mixed_accepted_endpoint_preliminary_control
NGC5907,27.68,229.0,2.0,137.05893057367695,229.0819380720924,232.9499906637435,228.1798371534189,1.0,0.0683861377937124,220.2395124145969,True,False,True,ngc5907_expdisk_projection_mixed_accepted_endpoint_preliminary_control
NGC5907,30.2,218.0,2.0,135.9406033898629,231.5275966238275,235.85693328859335,230.72441959697696,1.0,0.0683861377937124,222.6955471092451,True,False,True,ngc5907_expdisk_projection_mixed_accepted_endpoint_preliminary_control
NGC5907,32.71,214.0,2.0,130.19747635803083,228.5058717009564,233.6092326334268,227.7673358529192,1.0,0.0683861377937124,219.84136555628635,True,False,True,ngc5907_expdisk_projection_mixed_accepted_endpoint_preliminary_control
NGC5907,35.23,213.0,2.0,127.72858744227932,228.7414341844729,234.53349162577376,228.06697015488186,1.0,0.0683861377937124,220.13057302259978,True,False,True,ngc5907_expdisk_projection_mixed_accepted_endpoint_preliminary_control
NGC5907,37.75,211.0,2.0,122.46015086549582,225.36401527865476,232.1484879706559,224.73363775209626,1.0,0.0683861377937124,216.91323571416933,True,False,True,ngc5907_expdisk_projection_mixed_accepted_endpoint_preliminary_control
NGC5907,40.26,217.0,2.0,119.73971897411484,224.63462986524263,232.27847877443844,224.0483289874923,1.0,0.0683861377937124,216.25177469266663,True,False,True,ngc5907_expdisk_projection_mixed_accepted_endpoint_preliminary_control
NGC5907,42.78,216.0,3.0,115.40623055104088,221.6291435522813,230.37298317156615,221.07520880952433,1.0,0.0683861377937124,213.3821147502528,True,False,True,ngc5907_expdisk_projection_mixed_accepted_endpoint_preliminary_control
NGC5907,45.29,215.0,3.0,112.60664345410532,220.23728973669077,229.97373377607803,219.7149160899284,1.0,0.0683861377937124,212.06915822857954,True,False,True,ngc5907_expdisk_projection_mixed_accepted_endpoint_preliminary_control
NGC5907,47.81,217.0,5.0,109.9054944031462,218.745683309751,229.51115795182355,218.25077044546856,1.0,0.0683861377937124,210.65596271199678,True,False,True,ngc5907_expdisk_projection_mixed_accepted_endpoint_preliminary_control
NGC5907,50.33,214.0,5.0,109.03524246774523,219.49054012344249,231.05972266187916,219.0246053841867,1.0,0.0683861377937124,211.40286932617792,True,False,True,ngc5907_expdisk_projection_mixed_accepted_endpoint_preliminary_control
