galaxy,r,vobs,errv,vn,v_v6,v_mond,v_K_thick_flared,projection_kernel,projection_attenuation,delta_v2_projection,v_projection_accepted,endpoint_scores_allowed,claim_boundary,radial_zone,projection_minus_tpg,projection_residual,tpg_residual
NGC5907,5.03,214.0,6.0,126.46604781521404,161.6229909937617,164.37400251901263,160.71239656097794,0.0,0.0,0.0,161.6229909937617,True,ngc5907_projection_accepted_endpoint_preliminary_control,inner_pre_projection_window,0.0,-52.377009006238296,-52.377009006238296
NGC5907,7.55,220.0,6.0,146.66101748590182,190.6306834445936,193.73030876776076,189.6354546571411,0.0,0.0,0.0,190.6306834445936,True,ngc5907_projection_accepted_endpoint_preliminary_control,inner_pre_projection_window,0.0,-29.369316555406414,-29.369316555406414
NGC5907,10.07,235.0,4.0,160.5556657362175,212.26654213448657,215.55701860167673,211.31267922240076,0.0,0.0,0.0,212.26654213448657,True,ngc5907_projection_accepted_endpoint_preliminary_control,inner_pre_projection_window,0.0,-22.73345786551343,-22.73345786551343
NGC5907,12.58,235.0,4.0,165.48979711752625,224.6834576868467,227.91606160968783,223.80561301823397,0.0,0.0,0.0,224.6834576868467,True,ngc5907_projection_accepted_endpoint_preliminary_control,inner_pre_projection_window,0.0,-10.316542313153292,-10.316542313153292
NGC5907,15.1,230.0,2.0,160.7081856969333,227.36393445306896,230.32301879850743,226.55870348992232,0.0457756535360066,0.0031304201503105,-161.82506210049905,227.0077831878875,True,ngc5907_projection_accepted_endpoint_preliminary_control,transition_projection_window,-0.35615126518146667,-2.9922168121125026,-2.636065546931036
NGC5907,17.61,231.0,2.0,156.73541798202473,229.85745315937857,232.6989805415634,229.13630006727564,0.2586628509403413,0.0176889533665206,-934.5861004899344,227.8154135971181,True,ngc5907_projection_accepted_endpoint_preliminary_control,transition_projection_window,-2.04203956226047,-3.184586402881905,-1.142546840621435
NGC5907,20.13,232.0,2.0,153.661250971089,232.47567979957643,235.34551917823083,231.83783542983613,0.6133650156013284,0.041945664474755,-2266.9509910335473,227.54777675741337,True,ngc5907_projection_accepted_endpoint_preliminary_control,transition_projection_window,-4.927903042163052,-4.452223242586626,0.4756797995764259
NGC5907,22.65,225.0,7.0,150.19248017127887,234.0745129315577,237.0938666139261,233.50968147496476,0.9384972540917405,0.0641802025373384,-3516.4896218326103,226.43848608907751,True,ngc5907_projection_accepted_endpoint_preliminary_control,transition_projection_window,-7.636026842480192,1.4384860890775144,9.074512931557706
NGC5907,25.16,224.0,7.0,141.6895341936023,229.93289266420095,233.3132426168066,229.41899867124795,1.0,0.0683861377937124,-3615.5159599612016,221.93156415653397,True,ngc5907_projection_accepted_endpoint_preliminary_control,outer_full_projection_window,-8.001328507666983,-2.068435843466034,5.932892664200949
NGC5907,27.68,229.0,2.0,137.05893057367695,229.0819380720924,232.9499906637435,228.61894210040316,1.0,0.0683861377937124,-3588.804281330391,221.11022154015313,True,ngc5907_projection_accepted_endpoint_preliminary_control,outer_full_projection_window,-7.971716531939279,-7.889778459846866,0.081938072092413
NGC5907,30.2,218.0,2.0,135.9406033898629,231.5275966238275,235.85693328859335,231.1137624090719,1.0,0.0683861377937124,-3665.840831134789,223.47077474978911,True,ngc5907_projection_accepted_endpoint_preliminary_control,outer_full_projection_window,-8.056821874038377,5.470774749789115,13.527596623827492
NGC5907,32.71,214.0,2.0,130.19747635803083,228.5058717009564,233.6092326334268,228.1242732937413,1.0,0.0683861377937124,-3570.777630505967,220.55420143653572,True,ngc5907_projection_accepted_endpoint_preliminary_control,outer_full_projection_window,-7.95167026442067,6.55420143653572,14.50587170095639
NGC5907,35.23,213.0,2.0,127.72858744227932,228.7414341844729,234.53349162577376,228.39222343896384,1.0,0.0683861377937124,-3578.143522672777,220.78156669001325,True,ngc5907_projection_accepted_endpoint_preliminary_control,outer_full_projection_window,-7.959867494459644,7.78156669001325,15.741434184472894
NGC5907,37.75,211.0,2.0,122.46015086549582,225.36401527865476,232.1484879706559,225.03715593301428,1.0,0.0683861377937124,-3473.259407009362,217.5216770244023,True,ngc5907_projection_accepted_endpoint_preliminary_control,outer_full_projection_window,-7.842338254252468,6.521677024402294,14.364015278654762
NGC5907,40.26,217.0,2.0,119.73971897411484,224.63462986524263,232.27847877443844,224.33030900151675,1.0,0.0683861377937124,-3450.8135414655408,216.81767315703075,True,ngc5907_projection_accepted_endpoint_preliminary_control,outer_full_projection_window,-7.816956708211876,-0.18232684296924617,7.63462986524263
NGC5907,42.78,216.0,3.0,115.40623055104088,221.6291435522813,230.37298317156615,221.34141531207968,1.0,0.0683861377937124,-3359.091341058811,213.9167733738028,True,ngc5907_projection_accepted_endpoint_preliminary_control,outer_full_projection_window,-7.712370178478494,-2.083226626197188,5.629143552281306
