galaxy,split,source_disturbance_class,source_disturbance_basis,theta1,main_disturber,asymmetry_3p6,observation_disturbance_class,observation_disturbance_basis,inclination_deg,missing_source_fields,endpoint_blind,dark_discrepancy_used,foreground_candidate_count,foreground_inverse_angle_weight,background_redshift_control_count,stellar_crowding_control_count,path_disturbance_class,query_status,path_disturbance_basis,combined_class
IC2574,train,S1,0<Theta1<=1,1.0,,0.4900000095367431,O0,inclination=75;missing_fields=1,75.0,1,True,False,0,0.0,0,23,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S1-P0-O0
NGC0024,train,S0,Theta1<=0,-1.0,,0.2199999988079071,O0,inclination=64;missing_fields=0,64.0,0,True,False,0,0.0,0,6,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S0-P0-O0
NGC0055,train,S1,0<Theta1<=1,0.1000000014901161,,0.9700000286102296,O1,inclination=77;missing_fields=1,77.0,1,True,False,1,0.0245301424158477,18,293,P1,OK,SIMBAD 10arcmin cone; foreground_n=1; inverse_angle_weight=0.024530,S1-P1-O1
NGC0100,train,S1,0.2<=A3.6<0.4 proxy,,,0.3000000119209289,O3,inclination=89;missing_fields=1,89.0,1,True,False,0,0.0,5,6,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S1-P0-O3
NGC0247,train,S2,1<Theta1<=2,1.2000000476837158,,0.4900000095367431,O0,inclination=74;missing_fields=0,74.0,0,True,False,0,0.0,5,35,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S2-P0-O0
NGC0289,train,S1,0.2<=A3.6<0.4 proxy,,,0.2399999946355819,O0,inclination=46;missing_fields=0,46.0,0,True,False,0,0.0,8,3,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S1-P0-O0
NGC0300,holdout,S1,0<Theta1<=1,0.1000000014901161,,0.6100000143051147,O0,inclination=42;missing_fields=1,42.0,1,True,False,0,0.0,10,1301,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S1-P0-O0
NGC1090,train,S2,0.4<=A3.6<0.6 proxy,,,0.5400000214576721,O0,inclination=64;missing_fields=1,64.0,1,True,False,0,0.0,35,27,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S2-P0-O0
NGC1705,train,S0,Theta1<=0,-1.7999999523162842,,0.449999988079071,O3,inclination=80;missing_fields=5,80.0,5,True,False,0,0.0,2,19,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S0-P0-O3
NGC2683,holdout,S0,Theta1<=0,0.0,,0.4600000083446502,O1,inclination=80;missing_fields=0,80.0,0,True,False,0,0.0,25,8,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S0-P0-O1
NGC2841,train,S3,A3.6>=0.6 proxy,,,0.9200000166893004,O1,inclination=76;missing_fields=1,76.0,1,True,False,0,0.0,15,104,P0,OK,SIMBAD 10arcmin cone; foreground_n=0; inverse_angle_weight=0.000000,S3-P0-O1
