split,n_galaxies,promoted_improves_old_matched_rmse_fraction,promoted_improves_old_vs_tpg_fraction,promoted_improves_old_vs_mond_fraction,promoted_improves_filled_matched_rmse_fraction,median_promoted_minus_filled_matched_rmse,median_promoted_minus_filled_vs_tpg,median_promoted_minus_filled_vs_mond,claim_boundary
all,75,0.09333333333333334,0.12,0.14666666666666667,0.04,0.0,0.0,0.0,s4g75_promoted_kernel_endpoint_stress_test_not_validation
holdout,21,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.09523809523809523,0.0,0.0,0.0,s4g75_promoted_kernel_endpoint_stress_test_not_validation
train,54,0.018518518518518517,0.05555555555555555,0.09259259259259259,0.018518518518518517,0.0,0.0,0.0,s4g75_promoted_kernel_endpoint_stress_test_not_validation
