galaxy,zone,mode,co_minus_halpha_relativistic_km_s,n_terminal_rows,occupied_macrosectors,radius_min_arcsec,radius_max_arcsec
IC4566,0,m1_cos,-23.919241003736026,26,6,0.6311495304107666,11.887312889099121
IC4566,0,m1_sin,18.504725686584713,26,6,0.6311495304107666,11.887312889099121
IC4566,0,m2_cos,-10.278357865471516,26,6,0.6311495304107666,11.887312889099121
IC4566,0,m2_sin,-21.320124756118243,26,6,0.6311495304107666,11.887312889099121
IC4566,1,m1_cos,-9.82865149228959,27,6,11.887312889099121,15.967484474182129
IC4566,1,m1_sin,1.7621480896330781,27,6,11.887312889099121,15.967484474182129
IC4566,1,m2_cos,7.431168820682277,27,6,11.887312889099121,15.967484474182129
IC4566,1,m2_sin,0.650798438782695,27,6,11.887312889099121,15.967484474182129
IC4566,2,m1_cos,-11.364687762023532,29,6,15.967484474182129,19.91585922241211
IC4566,2,m1_sin,-4.375059562494423,29,6,15.967484474182129,19.91585922241211
IC4566,2,m2_cos,5.925853110609976,29,6,15.967484474182129,19.91585922241211
IC4566,2,m2_sin,4.208012652933696,29,6,15.967484474182129,19.91585922241211
IC4566,3,m1_cos,-11.42353468396488,27,6,19.91585922241211,23.021331787109375
IC4566,3,m1_sin,0.6419353244406109,27,6,19.91585922241211,23.021331787109375
IC4566,3,m2_cos,8.845615984025164,27,6,19.91585922241211,23.021331787109375
IC4566,3,m2_sin,-1.3446097162968955,27,6,19.91585922241211,23.021331787109375
IC4566,4,m1_cos,-26.550685425609757,20,5,23.021331787109375,31.880165100097656
IC4566,4,m1_sin,-3.4149884203231577,20,5,23.021331787109375,31.880165100097656
IC4566,4,m2_cos,0.5974214303696492,20,5,23.021331787109375,31.880165100097656
IC4566,4,m2_sin,6.201133651910957,20,5,23.021331787109375,31.880165100097656
NGC2730,0,m1_cos,14.419717702013772,34,6,0.2961964011192322,13.130596733093261
NGC2730,0,m1_sin,-9.88896126158592,34,6,0.2961964011192322,13.130596733093261
NGC2730,0,m2_cos,-0.6007629008403336,34,6,0.2961964011192322,13.130596733093261
NGC2730,0,m2_sin,4.444104402403779,34,6,0.2961964011192322,13.130596733093261
NGC2730,1,m1_cos,3.2430825744117713,32,6,13.130596733093261,18.86705093383789
NGC2730,1,m1_sin,-0.5025825345817176,32,6,13.130596733093261,18.86705093383789
NGC2730,1,m2_cos,-4.359260390610426,32,6,13.130596733093261,18.86705093383789
NGC2730,1,m2_sin,7.743306446530454,32,6,13.130596733093261,18.86705093383789
NGC2730,2,m1_cos,0.18233322392716755,35,6,18.86705093383789,24.07969970703125
