galaxy,zone,mode,co_minus_halpha_relativistic_km_s,n_terminal_rows,occupied_macrosectors,radius_min_arcsec,radius_max_arcsec
NGC2730,2,m1_sin,0.0539336499523369,35,6,18.86705093383789,24.07969970703125
NGC2730,2,m2_cos,1.0149085806297495,35,6,18.86705093383789,24.07969970703125
NGC2730,2,m2_sin,4.420448612811304,35,6,18.86705093383789,24.07969970703125
NGC2730,3,m1_cos,3.3583892117575282,27,6,24.07969970703125,30.329146575927734
NGC2730,3,m1_sin,-2.6656660602344617,27,6,24.07969970703125,30.329146575927734
NGC2730,3,m2_cos,1.4647505784977521,27,6,24.07969970703125,30.329146575927734
NGC2730,3,m2_sin,2.146677352774342,27,6,24.07969970703125,30.329146575927734
NGC2730,4,m1_cos,7.9719412325282475,24,6,30.329146575927734,39.3045768737793
NGC2730,4,m1_sin,-3.0873049218036055,24,6,30.329146575927734,39.3045768737793
NGC2730,4,m2_cos,0.03450725539982258,24,6,30.329146575927734,39.3045768737793
NGC2730,4,m2_sin,-0.6637257584151887,24,6,30.329146575927734,39.3045768737793
NGC3811,0,m1_cos,24.353982345529996,46,6,0.571639358997345,13.340135955810547
NGC3811,0,m1_sin,1.0665700000611382,46,6,0.571639358997345,13.340135955810547
NGC3811,0,m2_cos,-1.4038086200951223,46,6,0.571639358997345,13.340135955810547
NGC3811,0,m2_sin,-0.8943296469950799,46,6,0.571639358997345,13.340135955810547
NGC3811,1,m1_cos,19.0112533651674,44,6,13.340135955810547,19.511553955078128
NGC3811,1,m1_sin,-1.9138782378904586,44,6,13.340135955810547,19.511553955078128
NGC3811,1,m2_cos,-0.9609356724019805,44,6,13.340135955810547,19.511553955078128
NGC3811,1,m2_sin,-0.5651123402020634,44,6,13.340135955810547,19.511553955078128
NGC3811,2,m1_cos,10.068265728466052,43,6,19.511553955078128,24.096303176879886
NGC3811,2,m1_sin,4.317410450208239,43,6,19.511553955078128,24.096303176879886
NGC3811,2,m2_cos,-6.043413049875802,43,6,19.511553955078128,24.096303176879886
NGC3811,2,m2_sin,-2.0522086191189493,43,6,19.511553955078128,24.096303176879886
NGC3811,3,m1_cos,7.50966395628179,36,6,24.096303176879886,28.729777526855468
NGC3811,3,m1_sin,6.900688280579421,36,6,24.096303176879886,28.729777526855468
NGC3811,3,m2_cos,-5.235632832496643,36,6,24.096303176879886,28.729777526855468
NGC3811,3,m2_sin,-0.8863709796837738,36,6,24.096303176879886,28.729777526855468
NGC3811,4,m1_cos,3.048514499974248,22,5,28.729777526855468,44.1586799621582
NGC3811,4,m1_sin,-11.881295070278528,22,5,28.729777526855468,44.1586799621582
NGC3811,4,m2_cos,-0.26005613025529234,22,5,28.729777526855468,44.1586799621582
NGC3811,4,m2_sin,-8.902518384982983,22,5,28.729777526855468,44.1586799621582
NGC6004,0,m1_cos,5.384107786806002,48,6,0.2879466116428375,13.205151176452636
NGC6004,0,m1_sin,8.32468153168913,48,6,0.2879466116428375,13.205151176452636
NGC6004,0,m2_cos,1.81065795198371,48,6,0.2879466116428375,13.205151176452636
NGC6004,0,m2_sin,-4.787195692450053,48,6,0.2879466116428375,13.205151176452636
NGC6004,1,m1_cos,10.767105467902567,50,6,13.205151176452636,19.23183937072754
NGC6004,1,m1_sin,1.1718727134732956,50,6,13.205151176452636,19.23183937072754
NGC6004,1,m2_cos,-1.2116487189190608,50,6,13.205151176452636,19.23183937072754
NGC6004,1,m2_sin,0.7387000248631705,50,6,13.205151176452636,19.23183937072754
NGC6004,2,m1_cos,10.703943600549843,43,6,19.23183937072754,23.929360961914064
NGC6004,2,m1_sin,-1.2707234182223386,43,6,19.23183937072754,23.929360961914064
NGC6004,2,m2_cos,-0.8824074152768926,43,6,19.23183937072754,23.929360961914064
NGC6004,2,m2_sin,7.445748030127742,43,6,19.23183937072754,23.929360961914064
NGC6004,3,m1_cos,8.28189870737264,38,6,23.929360961914064,28.636393356323243
NGC6004,3,m1_sin,2.732390219056326,38,6,23.929360961914064,28.636393356323243
NGC6004,3,m2_cos,-0.9075030486787192,38,6,23.929360961914064,28.636393356323243
NGC6004,3,m2_sin,3.412439367270814,38,6,23.929360961914064,28.636393356323243
NGC6004,4,m1_cos,10.768992091868366,32,6,28.636393356323243,38.899986267089844
NGC6004,4,m1_sin,4.359524255351063,32,6,28.636393356323243,38.899986267089844
NGC6004,4,m2_cos,-4.879595449788761,32,6,28.636393356323243,38.899986267089844
NGC6004,4,m2_sin,-11.839998076798933,32,6,28.636393356323243,38.899986267089844
NGC6060,0,m1_cos,-23.44476783758826,51,6,0.21861052513122559,16.708346557617187
NGC6060,0,m1_sin,7.077806447455653,51,6,0.21861052513122559,16.708346557617187
NGC6060,0,m2_cos,-2.313326373198187,51,6,0.21861052513122559,16.708346557617187
NGC6060,0,m2_sin,-9.69673394395099,51,6,0.21861052513122559,16.708346557617187
NGC6060,1,m1_cos,-7.8708236900486455,51,6,16.708346557617187,23.61597557067871
NGC6060,1,m1_sin,3.3266366870703794,51,6,16.708346557617187,23.61597557067871
NGC6060,1,m2_cos,1.1492253596679574,51,6,16.708346557617187,23.61597557067871
NGC6060,1,m2_sin,-2.199252700527203,51,6,16.708346557617187,23.61597557067871
NGC6060,2,m1_cos,-7.78788815591481,50,6,23.61597557067871,28.779003143310547
NGC6060,2,m1_sin,0.4024959529068437,50,6,23.61597557067871,28.779003143310547
NGC6060,2,m2_cos,-7.576775548025361,50,6,23.61597557067871,28.779003143310547
NGC6060,2,m2_sin,-4.45497212687237,50,6,23.61597557067871,28.779003143310547
NGC6060,3,m1_cos,-8.294474209647646,47,6,28.779003143310547,33.76295928955078
NGC6060,3,m1_sin,-3.2161373576444867,47,6,28.779003143310547,33.76295928955078
NGC6060,3,m2_cos,-10.274879728005699,47,6,28.779003143310547,33.76295928955078
NGC6060,3,m2_sin,-1.1590593408825145,47,6,28.779003143310547,33.76295928955078
NGC6060,4,m1_cos,-6.269110558841535,37,6,33.76295928955078,46.80720138549805
NGC6060,4,m1_sin,5.764996412458421,37,6,33.76295928955078,46.80720138549805
NGC6060,4,m2_cos,-2.8025374282125157,37,6,33.76295928955078,46.80720138549805
NGC6060,4,m2_sin,1.9791507071619463,37,6,33.76295928955078,46.80720138549805
NGC6186,0,m1_cos,-1.379381095023366,36,6,0.17692428827285767,15.534080314636231
NGC6186,0,m1_sin,-2.979402308658851,36,6,0.17692428827285767,15.534080314636231
NGC6186,0,m2_cos,1.0087360844267306,36,6,0.17692428827285767,15.534080314636231
NGC6186,0,m2_sin,3.9869390227662915,36,6,0.17692428827285767,15.534080314636231
NGC6186,1,m1_cos,-6.905573251864004,34,6,15.534080314636231,23.61197509765625
NGC6186,1,m1_sin,-6.322823017025515,34,6,15.534080314636231,23.61197509765625
NGC6186,1,m2_cos,-2.485865135059746,34,6,15.534080314636231,23.61197509765625
NGC6186,1,m2_sin,-0.7426786932609624,34,6,15.534080314636231,23.61197509765625
NGC6186,2,m1_cos,-2.057533766797771,33,6,23.61197509765625,28.455991363525392
NGC6186,2,m1_sin,-4.1916464292232405,33,6,23.61197509765625,28.455991363525392
NGC6186,2,m2_cos,-2.663180132341897,33,6,23.61197509765625,28.455991363525392
NGC6186,2,m2_sin,3.1636539480633483,33,6,23.61197509765625,28.455991363525392
NGC6186,3,m1_cos,2.4876901256657824,29,6,28.455991363525392,33.254400634765624
NGC6186,3,m1_sin,-4.706851659235835,29,6,28.455991363525392,33.254400634765624
NGC6186,3,m2_cos,3.1945306484172695,29,6,28.455991363525392,33.254400634765624
NGC6186,3,m2_sin,7.588438928784949,29,6,28.455991363525392,33.254400634765624
NGC6186,4,m1_cos,6.460399774504385,20,5,33.254400634765624,47.03640365600586
NGC6186,4,m1_sin,9.973129065246582,20,5,33.254400634765624,47.03640365600586
NGC6186,4,m2_cos,-13.170806568914454,20,5,33.254400634765624,47.03640365600586
NGC6186,4,m2_sin,6.78793738756528,20,5,33.254400634765624,47.03640365600586
NGC6301,0,m1_cos,10.205392046779622,39,6,0.6854753494262695,14.054043388366699
NGC6301,0,m1_sin,4.243786004025024,39,6,0.6854753494262695,14.054043388366699
NGC6301,0,m2_cos,3.5106878921351514,39,6,0.6854753494262695,14.054043388366699
NGC6301,0,m2_sin,3.6329411580856497,39,6,0.6854753494262695,14.054043388366699
NGC6301,1,m1_cos,12.231500515441235,37,6,14.054043388366699,20.045242309570312
NGC6301,1,m1_sin,5.085776783088816,37,6,14.054043388366699,20.045242309570312
NGC6301,1,m2_cos,2.0682903425923005,37,6,14.054043388366699,20.045242309570312
NGC6301,1,m2_sin,-1.0404604024100568,37,6,14.054043388366699,20.045242309570312
NGC6301,2,m1_cos,19.66636787087242,38,6,20.045242309570312,25.06645278930664
NGC6301,2,m1_sin,3.3110342867084737,38,6,20.045242309570312,25.06645278930664
NGC6301,2,m2_cos,-0.8621020293068308,38,6,20.045242309570312,25.06645278930664
NGC6301,2,m2_sin,-6.302421287055924,38,6,20.045242309570312,25.06645278930664
NGC6301,3,m1_cos,19.270368585798522,33,6,25.06645278930664,29.28717956542969
NGC6301,3,m1_sin,-5.665786794595514,33,6,25.06645278930664,29.28717956542969
NGC6301,3,m2_cos,-7.246569358258592,33,6,25.06645278930664,29.28717956542969
NGC6301,3,m2_sin,-12.008700499308976,33,6,25.06645278930664,29.28717956542969
NGC6301,4,m1_cos,16.5593303582197,22,6,29.28717956542969,43.43307113647461
NGC6301,4,m1_sin,-8.739051562387424,22,6,29.28717956542969,43.43307113647461
NGC6301,4,m2_cos,2.004561380478374,22,6,29.28717956542969,43.43307113647461
NGC6301,4,m2_sin,-9.521570258427234,22,6,29.28717956542969,43.43307113647461
