annulus,r_mid_arcsec,n_train,n_test,observed_even_contrast_km_s,predicted_even_contrast_km_s,residual_even_km_s,sigma_residual_even_km_s
0,10.0,86,43,2373.264795377878,2372.166922156198,1.0978732216795817,0.5189084039010734
1,20.0,155,88,2374.4996471547474,2373.5268088360026,0.9728383187450824,0.47420098673190036
2,30.0,241,123,2373.8327918122495,2372.3394833417387,1.4933084705105575,0.38208521643332793
3,40.0,310,144,2374.4190506387877,2373.6378646064186,0.781186032369047,0.4773407765548645
4,50.0,375,165,2374.4504233235966,2370.1243087960847,4.326114527511273,0.5682768998926654
5,60.0,383,189,2373.5127114970637,2377.027850727089,-3.5151392300254436,0.5538144385355656
