galaxy,budget_factor,source_budget,capacity_bits_per_profile_use,active_modes,sampled_modes,water_level,max_whitened_gain,min_whitened_gain
CVnIdwA,0.5,0.09100925173966361,0.16976165075537497,2,14,0.4172079642200368,1.6971583323540835,0.424443784381802
CVnIdwA,1.0,0.18201850347932721,0.32094671854212825,3,14,0.4497470035088642,1.6971583323540835,0.424443784381802
CVnIdwA,2.0,0.36403700695865443,0.6004761695562255,5,14,0.4884174795878454,1.6971583323540835,0.424443784381802
DDO_126,0.5,0.08964426455670987,0.68154087537778,4,29,0.11439185766817783,3.8581516782805836,0.26669765111567717
DDO_126,1.0,0.17928852911341975,1.198288348670295,5,29,0.1356630244678771,3.8581516782805836,0.26669765111567717
DDO_126,2.0,0.3585770582268395,2.052802227317314,7,29,0.1660108285383945,3.8581516782805836,0.26669765111567717
DDO_133,0.5,0.0905961807803206,0.7758841477734977,4,18,0.10083521338153759,4.106185083829501,0.5474614157430949
DDO_133,1.0,0.1811923615606412,1.3669714283023136,5,18,0.12000993102083982,4.106185083829501,0.5474614157430949
DDO_133,2.0,0.3623847231212824,2.335319379689623,7,18,0.14976332628247468,4.106185083829501,0.5474614157430949
DDO_210,0.5,0.10134811836028375,0.15177923146467892,1,7,0.5341179089146342,1.5200978031252343,0.3683609331419342
DDO_210,1.0,0.2026962367205675,0.2771076018413651,1,7,0.635466027274918,1.5200978031252343,0.3683609331419342
DDO_210,2.0,0.405392473441135,0.48877138374815093,2,7,0.7429112723761344,1.5200978031252343,0.3683609331419342
DDO_216,0.5,0.09367750104726967,0.06663334469426122,2,12,1.0603114162885001,1.0163849059756085,3.7406301119546065e-07
DDO_216,1.0,0.18735500209453934,0.1289962076684542,2,12,1.107150166812135,1.0163849059756085,3.7406301119546065e-07
DDO_216,2.0,0.3747100041890787,0.24690262735371937,3,12,1.1793296694845488,1.0163849059756085,3.7406301119546065e-07
DDO_46,0.5,0.08956932615142633,0.28740292755853675,3,23,0.25949339843524544,2.3296336349089968,3.710857888253865e-07
DDO_46,1.0,0.17913865230285267,0.5230784458237571,3,23,0.2893498404857209,2.3296336349089968,3.710857888253865e-07
DDO_46,2.0,0.35827730460570534,0.9316697116535284,5,23,0.3393232926757149,2.3296336349089968,3.710857888253865e-07
DDO_47,0.5,0.08918376895927745,1.2698883323048156,7,33,0.05861964398365899,5.174655547023697,4.764790607622544e-07
DDO_47,1.0,0.1783675379185549,2.2744701832382193,10,33,0.06920736926234042,5.174655547023697,4.764790607622544e-07
DDO_47,2.0,0.3567350758371098,3.941594147594073,12,33,0.08510761608292611,5.174655547023697,4.764790607622544e-07
DDO_50,0.5,0.0965820414104028,1.7687921487460025,15,64,0.044157720825156094,5.683966080864265,0.847666202794956
DDO_50,1.0,0.1931640828208056,3.2478605330148618,20,64,0.04983939918978508,5.683966080864265,0.847666202794956
DDO_50,2.0,0.3863281656416112,5.82994037905191,28,64,0.05779088616454578,5.683966080864265,0.847666202794956
DDO_52,0.5,0.0948006342910834,0.21011125694826882,2,15,0.35684821471177575,1.8729996702843068,0.36517769150988505
DDO_52,1.0,0.1896012685821668,0.3919085819694665,3,15,0.3928327138443417,1.8729996702843068,0.36517769150988505
DDO_52,2.0,0.3792025371643336,0.7163013604727517,4,15,0.4476507812721934,1.8729996702843068,0.36517769150988505
DDO_53,0.5,0.09624947533434541,0.13616069522437205,1,12,0.5595450452227444,1.4691661931848543,0.6028638120080374
DDO_53,1.0,0.19249895066869083,0.25065549987426855,2,12,0.6556861091597845,1.4691661931848543,0.6028638120080374
