galaxy,inclination_deg,distance_mpc,hi_beam_fwhm_kpc,n_points,rmse_oscc_v02,rmse_v02,rmse_tpg_v6,rmse_mond,rmse_full_smoothing_control,chi2_oscc_v02,chi2_v02,chi2_tpg_v6,capacity_bits,active_modes
CVnIdwA,66.5,3.6,0.1918518518518518,14,6.6460951668660515,6.6462805398849385,6.505135061379994,8.69554413247,6.629242993613588,12.488746633189056,12.490462105190574,11.860219303217779,0.32094671854212825,3
DDO_126,65.0,4.9,0.1641975308641975,29,3.856728575121359,3.857041566458249,3.39331745475732,6.844852871291544,3.8362382165337214,2.301665064853942,2.3019780814528144,1.7761910353921315,1.198288348670295,5
DDO_133,43.4,3.5,0.2109090909090909,18,4.850692709212715,4.850338719387886,5.321804018496601,2.6963872462670646,4.882533461396469,8.681284369208427,8.679764321705974,10.458388339002932,1.3669714283023136,5
DDO_210,66.7,0.9,0.0516666666666666,7,1.3891092574022468,1.3905384918626391,1.2322391882346,2.396950423047397,1.333994998844189,4.021014135101187,4.027725698826349,3.1924796465576057,0.2771076018413651,1
DDO_216,63.7,1.1,0.0861538461538461,12,4.233578813064091,4.234166396263621,4.003625721808804,5.655362068210084,4.210016099754377,2.7788685675332285,2.7794231798064657,2.470353441502385,0.1289962076684542,2
DDO_46,27.9,6.1,0.1859872611464968,23,28.196871363892264,28.1974051949885,28.65202160245353,26.35056604552727,28.17025619898288,65.67035069600561,65.67421679158693,67.61232330478948,0.5230784458237571,3
DDO_47,45.5,5.2,0.2631399317406143,33,12.729005314547393,12.72972467561436,13.209804173379558,9.767308291405287,12.66497152111236,33.96252723120661,33.9686794103642,36.67979436752309,2.2744701832382193,10
DDO_50,49.7,3.4,0.1162322274881516,64,27.169853135581754,27.169970198750722,26.194163818563048,30.442165749491657,27.162168198732253,49.30280192729465,49.30327673955215,45.84235015818648,3.2478605330148618,20
DDO_52,43.0,10.3,0.3415094339622641,15,10.72280158546121,10.722671637045615,11.333532111742878,6.920308732682193,10.723101788936772,8.490380870746378,8.49020731027384,9.441602828503289,0.3919085819694665,3
DDO_53,27.0,3.6,0.1106870229007633,12,6.1134268650935715,6.113668090652748,5.714254784083218,7.108837919869776,6.099075336475236,4.5377479972671795,4.537834050169124,4.01407839657891,0.25065549987426855,2
DDO_70,50.0,1.3,0.0873362445414847,23,6.222515429154464,6.222529503682434,6.548007656636344,4.369610069931376,6.220575215782386,5.134610095147103,5.135366519238989,5.641315988549279,0.3566410730298384,4
DDO_87,55.5,7.7,0.2831417624521072,33,7.038411545798274,7.038674315107463,7.5601000836730075,2.1928195962976798,7.029600470081325,4.7782149997461625,4.778625288137201,5.497567051727907,0.9608382872263107,5
F564-V3,56.5,8.7,0.53,10,11.035413982893484,11.034652279005353,11.303771795386076,7.446315140754394,11.080627842597371,12.322157965848708,12.326117717346401,12.829875152215502,0.059903405836718486,1
HARO_36,70.0,9.3,0.316,9,5.665591234108796,5.666751934830135,5.55818885748822,5.86561487957756,5.603674237751125,0.658856569753147,0.6592084344425719,0.5995286160720767,0.08560019401821094,1
NGC_1569,69.1,3.4,0.0968253968253968,22,10.7193716371524,10.719388985834469,10.054036272677939,11.660493910394173,10.71853495676332,1.3223872978397897,1.3223812197436036,1.1778007152885992,0.14709199955479113,3
NGC_3738,22.6,4.9,0.1495726495726495,11,61.62051308348429,61.62019229659667,62.360623399220614,61.61148426802678,61.63102686660676,152.71716686770588,152.717178449148,156.3276241351978,0.2485279150385201,1
UGC_8508,82.5,2.6,0.0744,24,13.186708816164701,13.186672908679526,13.443424060823963,10.19636335157316,13.18708412046545,26.427793920892025,26.427586355957292,27.441398023326798,0.2486161733119716,3
