galaxy,lsrk_to_heliocentric_subtract_km_s
IC4566,2.05000000
NGC2639,4.13000000
NGC2730,-0.55000000
NGC3811,3.32000000
NGC6004,-1.83000000
NGC6060,-1.49000000
NGC6186,-1.59000000
NGC6301,1.59000000
