galaxy,model_id,model_family,branch_id,epsilon_cross,lambda_multiplier,scenario_role,endpoint_selected,r_kpc,x_R_over_RHI,vobs_kms,vpred_kms,residual_kms,uses_vobs_for_generation,uses_vobs_for_scoring,validation_claim_allowed,claim_boundary
NGC4088,NEWTONIAN_vn,Newtonian,,,,baseline,False,1.74,0.0781918474999724,84.9,96.9584818362994,12.058481836299393,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
NGC4088,NEWTONIAN_vn,Newtonian,,,,baseline,False,3.5,0.1572824518677605,136.0,127.47013944449893,-8.529860555501074,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
NGC4088,NEWTONIAN_vn,Newtonian,,,,baseline,False,5.24,0.235474299367733,162.0,171.20843495575795,9.208434955757951,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
NGC4088,NEWTONIAN_vn,Newtonian,,,,baseline,False,6.98,0.3136661468677054,179.0,189.42448284210784,10.424482842107835,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
NGC4088,NEWTONIAN_vn,Newtonian,,,,baseline,False,8.72,0.3918579943676778,182.0,177.32038475595525,-4.679615244044754,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
NGC4088,NEWTONIAN_vn,Newtonian,,,,baseline,False,10.47,0.4704992203015581,179.0,169.962064296713,-9.03793570328699,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
NGC4088,NEWTONIAN_vn,Newtonian,,,,baseline,False,12.19,0.5477923109337147,174.0,163.9399321397932,-10.0600678602068,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
NGC4088,NEWTONIAN_vn,Newtonian,,,,baseline,False,13.94,0.626433536867595,171.0,151.08550178624023,-19.91449821375977,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
NGC4088,NEWTONIAN_vn,Newtonian,,,,baseline,False,15.68,0.7046253843675674,168.0,141.2326654850074,-26.767334514992598,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
NGC4088,NEWTONIAN_vn,Newtonian,,,,baseline,False,17.42,0.7828172318675399,165.0,133.5799586390114,-31.42004136098859,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
NGC4088,NEWTONIAN_vn,Newtonian,,,,baseline,False,19.28,0.866401620574407,171.0,126.40514981597862,-44.59485018402138,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
NGC4088,NEWTONIAN_vn,Newtonian,,,,baseline,False,21.48,0.965264876034142,174.0,118.91604265194836,-55.08395734805164,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
NGC4088,TPG_V6_v_v6,TPG_v6_proxy,,,,baseline,False,1.74,0.0781918474999724,84.9,115.17799165769352,30.27799165769352,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
NGC4088,TPG_V6_v_v6,TPG_v6_proxy,,,,baseline,False,3.5,0.1572824518677605,136.0,154.38204559171825,18.382045591718253,False,True,False,s4g75_ngc4088_endpoint_fit_diagnostic_not_validation
