split,winner_tau_tpg_mond,n_galaxies,mean_manifest_confidence,mean_gas,mean_bulge,mean_log_sbdisk,mean_inclination_deg,current_memory_match_fraction,low_inclination_fraction,large_distance_error_fraction
holdout,mond,12,0.8624999999999999,0.2379754628400954,0.0,1.110622996774315,56.75,0.3333333333333333,0.25,0.4166666666666667
holdout,tau_matched,16,0.859375,0.1753444650109689,0.11211997316976763,1.3615580162734386,65.625,0.5625,0.0625,0.3125
holdout,tpg_v6,16,0.8,0.30651688554917655,0.05326771098343939,0.906736247856269,53.625,0.0,0.3125,0.5
train,mond,43,0.9023255813953488,0.25924594463617545,0.023142928807491806,0.8863803631678214,63.48837209302326,0.4418604651162791,0.09302325581395349,0.27906976744186046
train,tau_matched,40,0.84375,0.21449995867884394,0.07529767240970021,1.2206241928620098,59.275,0.7,0.15,0.525
train,tpg_v6,48,0.8385416666666666,0.31354746081923446,0.1248343917036427,0.9900257797964901,55.291666666666664,0.041666666666666664,0.1875,0.3125
