radius_inner_kpc,radius_outer_kpc,radius_kpc,hi_plus_helium_mass_msun,cumulative_hi_plus_helium_mass_msun,surface_density_msun_kpc2,n_signal_pixels
0.0,1.0,0.5,2330169.8151138476,2330169.8151138476,741716.0886377934,3
1.0,2.0,1.5,12841395.293037293,15171565.108151142,1362514.3580559222,12
2.0,3.0,2.5,22529215.187024698,37700780.295175835,1434254.384398392,16
3.0,4.0,3.5,61551454.24823993,99252234.54341576,2798919.4851720072,30
4.0,5.0,4.5,92536493.41123308,191788727.95464885,3272808.9650640776,36
5.0,6.0,5.5,112673012.11136024,304461740.0660091,3260448.514650177,42
6.0,7.0,6.5,136521610.23089918,440983350.29690826,3342782.9395557963,54
7.0,8.0,7.5,115246553.15965594,556229903.4565642,2445607.814621618,54
8.0,9.0,8.5,110753032.31141312,666982935.7679774,2073752.0652679766,68
9.0,10.0,9.5,81330493.61157334,748313429.3795507,1362542.1139353383,72
10.0,11.0,10.5,59333281.37754228,807646710.757093,899350.9543903004,86
11.0,12.0,11.5,33662958.1683523,841309668.9254452,465880.53839904035,94
12.0,13.0,12.5,16070464.783062663,857380133.7085079,204615.5126406917,71
13.0,14.0,13.5,4317700.834764457,861697834.5432724,50902.47634405676,38
14.0,15.0,14.5,82416.9041387161,861780251.4474111,904.624668138452,3
15.0,16.0,15.5,0.0,861780251.4474111,0.0,0
16.0,17.0,16.5,0.0,861780251.4474111,0.0,0
17.0,18.0,17.5,0.0,861780251.4474111,0.0,0
18.0,19.0,18.5,0.0,861780251.4474111,0.0,0
19.0,20.0,19.5,0.0,861780251.4474111,0.0,0
20.0,21.0,20.5,59244.04755892442,861839495.49497,459.95039111093456,1
21.0,22.0,21.5,204418.45441479975,862043913.9493848,1513.2189525265421,3
22.0,23.0,22.5,0.0,862043913.9493848,0.0,0
23.0,24.0,23.5,0.0,862043913.9493848,0.0,0
24.0,25.0,24.5,0.0,862043913.9493848,0.0,0
25.0,26.0,25.5,0.0,862043913.9493848,0.0,0
26.0,27.0,26.5,0.0,862043913.9493848,0.0,0
27.0,28.0,27.5,0.0,862043913.9493848,0.0,0
