geometry_variant,stellar_psf_scenario,h2_conversion_factor,harmonic,q_shape_proxy,delta_uv,determinant_norm,minimum_role_pixels,role_0_pixels,role_1_pixels,role_2_pixels,role_3_pixels,phase_anchor_deg,phase_amplitude,flux_phase_anchor_deg,phase_estimator_difference_deg
s4g_global_thin_primary,psf_0arcsec_primary,0.7,1,-0.03572833996,0.9941338315,0.04275017603,103,103,107,103,105,3.324266351,0.3059391657,24.25103506,20.92676871
s4g_global_thin_primary,psf_0arcsec_primary,0.7,2,0.08386711814,0.9870676417,0.03987086278,104,106,104,104,104,84.69729254,0.5406907208,84.33190025,0.3653922809
s4g_global_thin_primary,psf_0arcsec_primary,1,1,-0.04341723285,0.9941338315,0.04275017603,103,103,107,103,105,3.324266351,0.3059391657,24.25103506,20.92676871
s4g_global_thin_primary,psf_0arcsec_primary,1,2,0.09129505312,0.9870676417,0.03987086278,104,106,104,104,104,84.69729254,0.5406907208,84.33190025,0.3653922809
s4g_global_thin_primary,psf_0arcsec_primary,1.3,1,-0.0482258111,0.9941338315,0.04275017603,103,103,107,103,105,3.324266351,0.3059391657,24.25103506,20.92676871
s4g_global_thin_primary,psf_0arcsec_primary,1.3,2,0.09595566606,0.9870676417,0.03987086278,104,106,104,104,104,84.69729254,0.5406907208,84.33190025,0.3653922809
s4g_global_thin_primary,psf_2arcsec_control,0.7,1,-0.0359085205,0.9940861768,0.04276900208,103,103,107,103,105,3.319709237,0.3060584896,24.27795771,20.95824847
s4g_global_thin_primary,psf_2arcsec_control,0.7,2,0.08398542643,0.9870170014,0.03990817124,104,106,104,104,104,84.69971814,0.5404512801,84.32992347,0.3697946705
s4g_global_thin_primary,psf_2arcsec_control,1,1,-0.04360240292,0.9940861768,0.04276900208,103,103,107,103,105,3.319709237,0.3060584896,24.27795771,20.95824847
s4g_global_thin_primary,psf_2arcsec_control,1,2,0.09141524559,0.9870170014,0.03990817124,104,106,104,104,104,84.69971814,0.5404512801,84.32992347,0.3697946705
s4g_global_thin_primary,psf_2arcsec_control,1.3,1,-0.04841412196,0.9940861768,0.04276900208,103,103,107,103,105,3.319709237,0.3060584896,24.27795771,20.95824847
s4g_global_thin_primary,psf_2arcsec_control,1.3,2,0.09607708388,0.9870170014,0.03990817124,104,106,104,104,104,84.69971814,0.5404512801,84.32992347,0.3697946705
s4g_global_thin_primary,psf_4arcsec_control,0.7,1,-0.03645418,0.9939417516,0.04282512452,103,103,107,103,105,3.306149671,0.3064184659,24.35940829,21.05325862
s4g_global_thin_primary,psf_4arcsec_control,0.7,2,0.0843445943,0.9868647727,0.04002043975,104,106,104,104,104,84.70712162,0.5397285161,84.32378724,0.3833343807
s4g_global_thin_primary,psf_4arcsec_control,1,1,-0.04416313921,0.9939417516,0.04282512452,103,103,107,103,105,3.306149671,0.3064184659,24.35940829,21.05325862
s4g_global_thin_primary,psf_4arcsec_control,1,2,0.09178011576,0.9868647727,0.04002043975,104,106,104,104,104,84.70712162,0.5397285161,84.32378724,0.3833343807
s4g_global_thin_primary,psf_4arcsec_control,1.3,1,-0.04898434887,0.9939417516,0.04282512452,103,103,107,103,105,3.306149671,0.3064184659,24.35940829,21.05325862
s4g_global_thin_primary,psf_4arcsec_control,1.3,2,0.09644566297,0.9868647727,0.04002043975,104,106,104,104,104,84.70712162,0.5397285161,84.32378724,0.3833343807
s4g_global_pa_minus_1sigma,psf_0arcsec_primary,0.7,1,-0.01548599103,0.9807332143,0.04262038503,104,106,104,106,106,7.445348239,0.2617498952,27.26467165,19.81932341
s4g_global_pa_minus_1sigma,psf_0arcsec_primary,0.7,2,0.09018188931,0.9808838377,0.03219871804,104,104,106,105,107,85.98345109,0.5298734478,88.90170475,2.91825366
s4g_global_pa_minus_1sigma,psf_0arcsec_primary,1,1,-0.02206932047,0.9807332143,0.04262038503,104,106,104,106,106,7.445348239,0.2617498952,27.26467165,19.81932341
s4g_global_pa_minus_1sigma,psf_0arcsec_primary,1,2,0.09662792693,0.9808838377,0.03219871804,104,104,106,105,107,85.98345109,0.5298734478,88.90170475,2.91825366
s4g_global_pa_minus_1sigma,psf_0arcsec_primary,1.3,1,-0.02622957896,0.9807332143,0.04262038503,104,106,104,106,106,7.445348239,0.2617498952,27.26467165,19.81932341
s4g_global_pa_minus_1sigma,psf_0arcsec_primary,1.3,2,0.1007859206,0.9808838377,0.03219871804,104,104,106,105,107,85.98345109,0.5298734478,88.90170475,2.91825366
