performance_class,n_galaxies,mean_body_minus_newton_km_s,mean_body_minus_tpg_km_s,mean_body_minus_mond_km_s,channel_complete_n,median_inclination_deg,median_distance_frac_error,median_r_median,median_r_max,median_mean_gas,median_mean_bulge,median_mean_log_sbdisk,median_peak_log_sb,median_scale_radius_proxy_kpc,median_tail_cutoff_radius_proxy_kpc,median_thickness_h_over_rs_proxy,median_bar_m2_proxy,median_lopsided_m1_proxy,median_asymmetry_3p6,median_theta1,median_foreground_lens_geometry_weight,median_foreground_angular_weight,median_stellar_crowding_angular_weight
body_failure,7,13.20491475902324,0.5200354289113577,-2.04992907016399,4,50.0,0.138888888889,2.885,5.32,0.2065996906946769,0.0,1.092640501154487,1.750970984437319,1.7193087008343264,5.381506560761,0.1729698608126046,,,0.395000010728836,,0.0,0.0,1.288014505977882
partial_success,28,-23.875737702806372,10.449057615135317,10.19273817433528,12,61.5,0.2246176445175,5.545,12.8,0.21263742795858553,0.0,1.1773089909082755,2.409523235207793,3.3045292014302747,15.374770767111293,0.17568684258136347,,,0.5700000077486038,-0.5,0.0,0.0,1.288371033021463
strong_success,9,-29.264774158054518,-3.7294427928428906,-3.2370088966972386,5,56.0,0.138888888889,3.935,9.41,0.1850275089777395,0.0,1.2021139934622245,2.1013689632492514,2.3450536352800957,9.845938541237322,0.1632623790399827,,,0.4900000095367431,1.100000023841858,0.0,0.0,1.5840405679354326
