galaxy,r,vobs,errv,vn,v_v6,v_mond,v_K_exponential_disk,mixed_kernel,mixed_attenuation,v_mixed_population,mixed_formula_id,mixed_case_status,mixed_case_caveat,construction_used_vobs,scoring_used_vobs,claim_boundary
NGC4013,5.49,198.0,10.0,160.10672977735825,193.76211597911944,197.47638698193927,191.80368826958824,0.0,0.0,191.80368826958824,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,6.17,195.0,5.0,164.22333147272346,200.50158514555804,204.2874906511374,198.32853834825613,0.0,0.0,198.32853834825613,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,6.92,194.0,4.0,166.28152191389157,205.5400356321617,209.32801015818936,203.12773712277055,0.0,0.0,203.12773712277055,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,7.69,195.0,3.0,166.75022479744968,209.0779704538197,212.81051655041065,206.42370377605764,0.0,0.0,206.42370377605764,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,8.36,195.0,3.0,165.5469037161372,210.59636344323175,214.2240530294019,207.72850830674633,0.0,0.0,207.72850830674633,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,9.12,195.0,3.0,162.65998592155356,210.8277887587793,214.2827639583525,207.71347802333844,0.0,0.0,207.71347802333844,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,9.88,192.0,7.0,157.09293873373176,208.51382680035871,211.70998287138536,205.1281224025808,0.0,0.0,205.1281224025808,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,10.56,188.0,8.0,149.88698652651604,204.28531305430064,207.1938359584078,200.62679480125385,0.07866209869355331,0.017027659114789245,198.91135864666657,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,11.31,186.0,7.0,142.82472363004942,200.2125416781364,202.8697712552352,196.26751667383303,0.12803659629149108,0.027715552369925168,193.52857417970023,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
NGC4013,12.08,186.0,6.0,136.64702814185165,196.7834014689962,199.26624437577357,192.56604006123354,0.12137378534193663,0.02627328124470033,190.01953158254796,NGC4013_EXPDISK_WVO_MIXED_FREEZE_V1,RETROSPECTIVE_REFERENCE_FROZEN_PROTOCOL_SCORED,not_new_prospective_endpoint_validation,False,True,mixed_readout_population_endpoint_preliminary_control
