tracer,annulus,r_lo_arcsec,r_hi_arcsec,n_plus,n_minus,z_plus,z_minus,log_g_spec,sigma_log_g_spec
CO,0,5.0,15.0,18,17,0.0029006118291414313,0.0023173515904656517,0.002605541922015168,8.276743263051399e-06
CO,4,45.0,55.0,30,27,0.0030367940804322457,0.0021785340799093202,0.00260417842533559,2.8329412184195293e-06
CO,5,55.0,65.0,92,60,0.0030421050161772477,0.0021797692825018464,0.0026074421048808073,1.3943048088733856e-06
Halpha,0,5.0,15.0,18,17,0.002867369428393477,0.002282425645779891,0.0025715456175666018,1.1126005796564432e-05
Halpha,4,45.0,55.0,30,27,0.003040107762320266,0.0022003625818993503,0.0026167206543116247,4.886137867132656e-06
Halpha,5,55.0,65.0,92,60,0.0030231278015152747,0.0021691071611422952,0.0025926626920859484,1.903260114101245e-06
