galaxy,endpoint_opened,geometry_pass,phangs_morphology_validated,phangs_co_bar_class,phangs_spiral_class,s4g_model_components,s4g_stellar_bar_component,m0_body_nuisance,radial_m1_catalog_match,a1_inner,a1_outer,m1_clean_source_certified,m2_body_nuisance,m2_clean_source_certified,retained_low_order_test_directions,untouched_endpoint_eligible,decision_uses_velocity_contrast,decision_uses_rotation_residual
IC5332,True,True,False,,,B;D,False,True,True,0.1620000004768371,0.3650000095367431,False,False,False,,False,False,False
NGC0628,False,False,True,A,G,B;D,False,True,False,,,False,True,False,,False,False,False
NGC1087,False,True,True,B,,D;BAR,True,True,False,,,False,True,False,,False,False,False
NGC1300,False,True,True,C,G,B;D;BAR,True,True,False,,,False,True,False,,False,False,False
NGC1365,False,True,True,C,G,B;D;BAR;N,True,True,False,,,False,True,False,,False,False,False
NGC1385,False,True,True,A,F,D;BAR,True,True,False,,,False,True,False,,False,False,False
NGC1433,False,True,True,C,,B;D;BAR,True,True,False,,,False,True,False,,False,False,False
NGC1512,False,True,True,C,,B;D;BAR,True,True,False,,,False,True,False,,False,False,False
NGC1566,False,True,True,C,G,D;BAR;N,True,True,False,,,False,True,False,,False,False,False
NGC1672,False,True,True,C,G,B;D;BAR,True,True,True,0.1930000036954879,0.4760000109672546,False,True,False,,False,False,False
NGC2835,False,True,False,,,,False,True,False,,,False,False,False,,False,False,False
NGC3351,True,True,True,C,F,B;D;BAR,True,True,False,,,False,True,False,,False,False,False
NGC3627,True,True,True,C,G,B;D;BAR,True,True,False,,,False,True,False,,False,False,False
NGC4254,True,True,True,A,M,B;D,False,True,False,,,False,False,True,m2,False,False,False
NGC4303,False,False,True,C,M,B;D,False,True,True,0.2150000035762787,0.2469999939203262,False,True,False,,False,False,False
NGC4321,True,True,True,C,G,B;D,False,True,False,,,False,True,False,,False,False,False
NGC4535,True,True,True,C,G,B;D;BAR,True,True,False,,,False,True,False,,False,False,False
NGC5068,False,True,True,A,F,D;BAR;N,True,True,True,0.2230000048875808,0.2790000140666961,False,True,False,,False,False,False
NGC7496,False,True,True,C,F,D;BAR;N,True,True,False,,,False,True,False,,False,False,False
