galaxy,role,zone,r_min_r25,r_max_r25,samples,occupied_sectors,source_m1_cos,source_m1_sin,source_m1_amplitude
NGC4298,disturbed,0,0.2,0.4,5,5,0.18005922835867005,0.095633343234534,0.20388001877411593
NGC4298,disturbed,1,0.4,0.6,8,8,0.2280063192344593,0.02246022870721769,0.22910989390339886
NGC4298,disturbed,2,0.6,0.8,12,10,0.6620671068990016,0.053018430376299094,0.6641865761946567
NGC4298,disturbed,3,0.8,1.0,4,3,-0.3181812071250369,0.09589752204615329,0.3323185449266081
NGC4424,disturbed,0,0.2,0.4,1,1,0.9930616333106818,0.11759503580645721,1.0000000000000004
NGC4424,disturbed,1,0.4,0.6,1,1,-0.9744140405131162,-0.22476048952363367,1.0
NGC4424,disturbed,2,0.6,0.8,1,1,-0.14490655315835366,0.9894453450553828,1.0
NGC4424,disturbed,3,0.8,1.0,1,1,-0.055405981651451726,-0.9984639088105485,1.0
NGC4654,disturbed,0,0.2,0.4,12,11,-0.05088958421482484,0.08892824508093387,0.10245966306177465
NGC4654,disturbed,1,0.4,0.6,18,12,-0.34664899278130945,0.04579344671920051,0.3496606411346873
NGC4654,disturbed,2,0.6,0.8,27,12,-0.12741201541898128,0.06582815618560382,0.14341257901566018
NGC4654,disturbed,3,0.8,1.0,24,9,0.5849941439897954,0.31947984318397477,0.6665474617033739
NGC4450,quiet,0,0.2,0.4,10,7,-0.06502618336715998,0.029235183692970658,0.07129586586094071
NGC4450,quiet,1,0.4,0.6,12,8,-0.06684990002729549,0.00929395115151044,0.06749286378326277
NGC4450,quiet,2,0.6,0.8,6,5,-0.06517204954648935,-0.5223152025982335,0.5263654309577366
NGC4450,quiet,3,0.8,1.0,0,0,0.0,0.0,0.0
NGC4579,quiet,0,0.2,0.4,6,6,0.08645192286806705,0.0965901017208503,0.12962863386625048
NGC4579,quiet,1,0.4,0.6,8,8,-0.08862284686643913,-0.24643384337219382,0.26188479937923714
NGC4579,quiet,2,0.6,0.8,11,10,-0.16878612738058996,-0.2976426963210378,0.34216944847457414
NGC4579,quiet,3,0.8,1.0,2,2,-1.2152012925558136,0.2221407933824934,1.235338299217637
NGC4689,quiet,0,0.2,0.4,13,12,-0.007303169030416174,-0.12047842474285178,0.12069957376232043
NGC4689,quiet,1,0.4,0.6,19,12,0.13255053818821655,-0.15880772345865066,0.20685632261090092
NGC4689,quiet,2,0.6,0.8,13,6,0.000433533847180197,-0.855798996831873,0.8557991066424625
NGC4689,quiet,3,0.8,1.0,0,0,0.0,0.0,0.0
