channel,s4g_name,normalized_name,asymmetry,asymmetry_error
3.6um,NGC1326B,NGC1326B,0.65,0.01
3.6um,NGC1332,NGC1332,0.2,0.05
3.6um,NGC1337,NGC1337,0.14,0.01
3.6um,NGC1338,NGC1338,0.29,0.05
3.6um,NGC1339,NGC1339,0.16,0.09
3.6um,NGC0134,NGC134,0.58,0.01
3.6um,NGC1341,NGC1341,0.23,0.11
3.6um,NGC1345,NGC1345,0.14,0.04
3.6um,NGC1347,NGC1347,0.26,0.02
3.6um,NGC1350,NGC1350,0.79,0.0
3.6um,NGC1351A,NGC1351A,0.41,0.2
3.6um,NGC1353,NGC1353,0.28,0.03
3.6um,NGC1357,NGC1357,0.54,0.01
3.6um,NGC1359,NGC1359,0.23,0.03
3.6um,NGC1365,NGC1365,0.93,0.0
3.6um,NGC1366,NGC1366,0.2,0.08
3.6um,NGC1367,NGC1367,0.33,0.03
3.6um,NGC1385,NGC1385,0.72,0.01
3.6um,NGC1386,NGC1386,0.2,0.05
3.6um,NGC1389,NGC1389,0.56,0.02
3.6um,NGC1390,NGC1390,0.12,0.02
3.6um,NGC1398,NGC1398,0.18,0.03
3.6um,NGC0014,NGC14,0.14,0.02
3.6um,NGC1406,NGC1406,0.48,0.01
3.6um,NGC1411,NGC1411,0.35,0.05
3.6um,NGC1414,NGC1414,0.11,0.01
3.6um,NGC1415,NGC1415,0.27,0.05
3.6um,NGC1421,NGC1421,0.23,0.02
3.6um,NGC1422,NGC1422,0.3,0.02
3.6um,NGC1425,NGC1425,0.46,0.01
3.6um,NGC1427A,NGC1427A,0.3,0.01
3.6um,NGC1433,NGC1433,0.95,0.0
3.6um,NGC1436,NGC1436,0.75,0.02
3.6um,NGC1437B,NGC1437B,0.91,0.01
3.6um,NGC1438,NGC1438,0.17,0.02
3.6um,NGC1448,NGC1448,0.93,0.0
3.6um,NGC1452,NGC1452,0.3,0.02
3.6um,NGC1461,NGC1461,0.75,0.01
3.6um,NGC1473,NGC1473,0.31,0.08
3.6um,NGC1476,NGC1476,0.48,0.08
3.6um,NGC0148,NGC148,0.23,0.14
3.6um,NGC1482,NGC1482,0.71,0.04
3.6um,NGC1483,NGC1483,0.23,0.1
3.6um,NGC1484,NGC1484,0.84,0.04
3.6um,NGC1487,NGC1487,0.75,0.02
3.6um,NGC1493,NGC1493,0.4,0.01
3.6um,NGC1494,NGC1494,0.76,0.0
3.6um,NGC1495,NGC1495,0.38,0.09
3.6um,NGC0150,NGC150,0.25,0.02
3.6um,NGC1507,NGC1507,0.33,0.0
3.6um,NGC1510,NGC1510,0.33,0.09
3.6um,NGC1511,NGC1511,0.31,0.03
3.6um,NGC1511A,NGC1511A,0.58,0.08
3.6um,NGC1511B,NGC1511B,0.59,0.05
3.6um,NGC1512,NGC1512,0.58,0.01
3.6um,NGC1515,NGC1515,0.87,0.0
3.6um,NGC1518,NGC1518,0.24,0.01
3.6um,NGC1519,NGC1519,0.24,0.03
3.6um,NGC1532,NGC1532,0.83,0.0
3.6um,NGC1533,NGC1533,0.89,0.01
3.6um,NGC1546,NGC1546,0.3,0.07
3.6um,NGC1553,NGC1553,0.19,0.05
3.6um,NGC1556,NGC1556,0.32,0.18
3.6um,NGC1559,NGC1559,0.35,0.02
3.6um,NGC1566,NGC1566,0.91,0.01
3.6um,NGC0157,NGC157,0.42,0.03
3.6um,NGC1592,NGC1592,0.19,0.04
3.6um,NGC1596,NGC1596,0.81,0.01
3.6um,NGC1602,NGC1602,0.49,0.04
3.6um,NGC1637,NGC1637,0.75,0.01
3.6um,NGC1640,NGC1640,0.67,0.02
3.6um,NGC1672,NGC1672,0.99,0.0
3.6um,NGC1679,NGC1679,0.75,0.01
3.6um,NGC1688,NGC1688,0.36,0.04
3.6um,NGC1703,NGC1703,0.64,0.04
3.6um,NGC1705,NGC1705,0.45,0.04
3.6um,NGC1744,NGC1744,0.39,0.01
3.6um,NGC0178,NGC178,0.22,0.01
3.6um,NGC1792,NGC1792,0.71,0.02
3.6um,NGC1800,NGC1800,0.31,0.05
3.6um,NGC1808,NGC1808,1.0,0.0
3.6um,NGC1809,NGC1809,0.56,0.01
3.6um,NGC1824,NGC1824,0.56,0.15
3.6um,NGC1827,NGC1827,0.89,0.01
3.6um,NGC1853,NGC1853,0.32,0.04
3.6um,NGC1879,NGC1879,0.35,0.02
3.6um,NGC1892,NGC1892,0.62,0.02
3.6um,NGC0210,NGC210,0.72,0.01
3.6um,NGC2101,NGC2101,0.44,0.06
3.6um,NGC2104,NGC2104,0.34,0.03
3.6um,NGC0216,NGC216,0.23,0.05
3.6um,NGC2320,NGC2320,0.18,0.1
3.6um,NGC0024,NGC24,0.22,0.01
3.6um,NGC0244,NGC244,0.18,0.06
3.6um,NGC2460,NGC2460,0.17,0.09
3.6um,NGC0247,NGC247,0.49,0.01
3.6um,NGC2500,NGC2500,0.38,0.02
3.6um,NGC0253,NGC253,0.85,0.0
3.6um,NGC2537,NGC2537,0.29,0.05
3.6um,NGC0254,NGC254,0.26,0.12
3.6um,NGC2541,NGC2541,0.3,0.03
3.6um,NGC2543,NGC2543,0.22,0.03
3.6um,NGC0255,NGC255,0.16,0.02
3.6um,NGC2550,NGC2550,0.34,0.19
3.6um,NGC2551,NGC2551,0.16,0.13
3.6um,NGC2552,NGC2552,0.64,0.02
3.6um,NGC2591,NGC2591,0.99,0.04
3.6um,NGC2608,NGC2608,0.25,0.04
3.6um,NGC2633,NGC2633,0.29,0.1
3.6um,NGC2634A,NGC2634A,0.47,0.05
3.6um,NGC2648,NGC2648,0.34,0.02
3.6um,NGC2654,NGC2654,0.22,0.04
3.6um,NGC2655,NGC2655,0.87,0.0
3.6um,NGC2681,NGC2681,0.81,0.04
3.6um,NGC2683,NGC2683,0.46,0.01
3.6um,NGC2684,NGC2684,0.26,0.07
3.6um,NGC2685,NGC2685,0.7,0.01
3.6um,NGC2701,NGC2701,0.34,0.05
3.6um,NGC2710,NGC2710,0.29,0.05
3.6um,NGC2712,NGC2712,0.64,0.03
3.6um,NGC2715,NGC2715,0.28,0.03
3.6um,NGC2726,NGC2726,0.26,0.08
3.6um,NGC2731,NGC2731,0.26,0.07
3.6um,NGC2732,NGC2732,0.26,0.14
3.6um,NGC2735,NGC2735,0.22,0.08
3.6um,NGC0274,NGC274,0.32,0.07
3.6um,NGC2742,NGC2742,0.83,0.01
3.6um,NGC2743,NGC2743,0.12,0.03
3.6um,NGC2748,NGC2748,0.2,0.07
3.6um,NGC0275,NGC275,0.3,0.02
3.6um,NGC2750,NGC2750,0.31,0.03
3.6um,NGC2764,NGC2764,0.18,0.07
3.6um,NGC2768,NGC2768,0.97,0.0
3.6um,NGC2770,NGC2770,0.19,0.06
3.6um,NGC2775,NGC2775,0.95,0.0
3.6um,NGC2776,NGC2776,0.28,0.02
3.6um,NGC2780,NGC2780,0.13,0.06
3.6um,NGC2782,NGC2782,0.9,0.01
3.6um,NGC2787,NGC2787,0.15,0.08
3.6um,NGC2793,NGC2793,0.17,0.04
3.6um,NGC2798,NGC2798,0.43,0.07
3.6um,NGC2799,NGC2799,0.38,0.06
3.6um,NGC2805,NGC2805,0.66,0.03
3.6um,NGC2814,NGC2814,0.41,0.15
3.6um,NGC2820,NGC2820,0.9,0.02
3.6um,NGC2841,NGC2841,0.92,0.0
3.6um,NGC2844,NGC2844,0.31,0.1
3.6um,NGC2854,NGC2854,0.15,0.08
3.6um,NGC2859,NGC2859,0.8,0.01
3.6um,NGC2882,NGC2882,0.14,0.07
3.6um,NGC0289,NGC289,0.24,0.05
3.6um,NGC2893,NGC2893,0.26,0.11
3.6um,NGC2894,NGC2894,0.23,0.08
3.6um,NGC2903,NGC2903,0.56,0.01
3.6um,NGC2906,NGC2906,0.11,0.07
3.6um,NGC2919,NGC2919,0.15,0.07
3.6um,NGC2938,NGC2938,0.42,0.1
3.6um,NGC2962,NGC2962,0.15,0.06
3.6um,NGC2964,NGC2964,0.75,0.02
3.6um,NGC2966,NGC2966,0.16,0.04
3.6um,NGC2967,NGC2967,0.14,0.03
3.6um,NGC2968,NGC2968,0.24,0.04
3.6um,NGC2974,NGC2974,0.7,0.01
3.6um,NGC2976,NGC2976,0.85,0.0
3.6um,NGC2978,NGC2978,0.26,0.11
3.6um,NGC0298,NGC298,0.16,0.02
3.6um,NGC2985,NGC2985,0.21,0.04
3.6um,NGC2986,NGC2986,0.88,0.0
3.6um,NGC0300,NGC300,0.61,0.01
3.6um,NGC3003,NGC3003,0.33,0.01
3.6um,NGC3018,NGC3018,0.39,0.05
3.6um,NGC3020,NGC3020,0.24,0.0
3.6um,NGC3021,NGC3021,0.18,0.03
3.6um,NGC3023,NGC3023,0.26,0.02
3.6um,NGC3024,NGC3024,0.13,0.04
3.6um,NGC3026,NGC3026,0.17,0.02
3.6um,NGC3027,NGC3027,0.87,0.03
3.6um,NGC3031,NGC3031,0.89,0.0
3.6um,NGC3032,NGC3032,0.28,0.1
3.6um,NGC3034,NGC3034,0.88,0.01
3.6um,NGC3041,NGC3041,0.23,0.02
3.6um,NGC3043,NGC3043,0.4,0.09
3.6um,NGC3044,NGC3044,0.22,0.05
3.6um,NGC3049,NGC3049,0.26,0.03
3.6um,NGC3055,NGC3055,0.24,0.04
3.6um,NGC3057,NGC3057,0.3,0.07
3.6um,NGC3061,NGC3061,0.29,0.09
3.6um,NGC3065,NGC3065,0.2,0.12
3.6um,NGC3066,NGC3066,0.26,0.16
3.6um,NGC3067,NGC3067,0.2,0.06
3.6um,NGC3073,NGC3073,0.24,0.08
3.6um,NGC3077,NGC3077,0.3,0.02
3.6um,NGC3079,NGC3079,0.33,0.05
3.6um,NGC3094,NGC3094,0.16,0.11
3.6um,NGC3098,NGC3098,0.41,0.05
3.6um,NGC3104,NGC3104,0.47,0.01
3.6um,NGC3115,NGC3115,1.0,0.0
3.6um,NGC3118,NGC3118,0.18,0.01
3.6um,NGC3147,NGC3147,0.92,0.01
3.6um,NGC3153,NGC3153,0.14,0.03
3.6um,NGC3155,NGC3155,0.25,0.12
3.6um,NGC3162,NGC3162,0.28,0.02
3.6um,NGC3165,NGC3165,0.19,0.04
3.6um,NGC3166,NGC3166,0.29,0.05
3.6um,NGC3169,NGC3169,0.59,0.01
3.6um,NGC3177,NGC3177,0.15,0.08
3.6um,NGC3182,NGC3182,0.2,0.06
3.6um,NGC3184,NGC3184,0.61,0.0
3.6um,NGC3185,NGC3185,0.16,0.04
3.6um,NGC3187,NGC3187,0.18,0.03
3.6um,NGC3190,NGC3190,0.26,0.09
3.6um,NGC3193,NGC3193,0.45,0.04
3.6um,NGC3198,NGC3198,0.84,0.01
3.6um,NGC3206,NGC3206,0.5,0.03
3.6um,NGC3213,NGC3213,0.09,0.03
3.6um,NGC3220,NGC3220,0.18,0.04
3.6um,NGC3225,NGC3225,0.38,0.05
3.6um,NGC3227,NGC3227,0.7,0.02
3.6um,NGC3239,NGC3239,0.71,0.01
3.6um,NGC3245A,NGC3245A,0.18,0.01
3.6um,NGC3246,NGC3246,0.14,0.03
3.6um,NGC3248,NGC3248,0.16,0.05
3.6um,NGC3252,NGC3252,0.43,0.07
3.6um,NGC3254,NGC3254,0.23,0.03
3.6um,NGC3259,NGC3259,0.28,0.1
3.6um,NGC3264,NGC3264,0.35,0.01
3.6um,NGC3266,NGC3266,0.09,0.2
3.6um,NGC3274,NGC3274,0.16,0.03
3.6um,NGC3277,NGC3277,0.13,0.07
3.6um,NGC3279,NGC3279,0.21,0.07
3.6um,NGC3287,NGC3287,0.14,0.02
3.6um,NGC3294,NGC3294,0.73,0.01
3.6um,NGC3299,NGC3299,0.11,0.02
3.6um,NGC3301,NGC3301,0.23,0.02
3.6um,NGC3306,NGC3306,0.17,0.09
3.6um,NGC3310,NGC3310,0.22,0.04
3.6um,NGC3319,NGC3319,0.82,0.01
3.6um,NGC3320,NGC3320,0.31,0.04
3.6um,NGC3321,NGC3321,0.18,0.02
3.6um,NGC3329,NGC3329,0.17,0.12
3.6um,NGC3338,NGC3338,0.11,0.05
3.6um,NGC3344,NGC3344,0.99,0.0
3.6um,NGC3346,NGC3346,0.52,0.01
3.6um,NGC3351,NGC3351,0.79,0.01
3.6um,NGC3353,NGC3353,0.36,0.06
3.6um,NGC3359,NGC3359,0.25,0.01
3.6um,NGC3361,NGC3361,0.16,0.05
3.6um,NGC3364,NGC3364,0.27,0.09
3.6um,NGC3365,NGC3365,0.31,0.01
3.6um,NGC3368,NGC3368,0.96,0.0
3.6um,NGC0337,NGC337,0.53,0.01
3.6um,NGC3370,NGC3370,0.3,0.04
3.6um,NGC3377A,NGC3377A,0.11,0.02
3.6um,NGC3380,NGC3380,0.13,0.04
3.6um,NGC3381,NGC3381,0.35,0.02
3.6um,NGC3384,NGC3384,0.81,0.0
3.6um,NGC3389,NGC3389,0.51,0.02
3.6um,NGC3395,NGC3395,0.33,0.04
3.6um,NGC3396,NGC3396,0.59,0.01
3.6um,NGC3403,NGC3403,0.91,0.07
3.6um,NGC3413,NGC3413,0.22,0.02
3.6um,NGC3414,NGC3414,0.56,0.03
3.6um,NGC3423,NGC3423,0.16,0.01
3.6um,NGC3424,NGC3424,0.41,0.06
3.6um,NGC3430,NGC3430,0.51,0.01
3.6um,NGC3432,NGC3432,0.39,0.01
3.6um,NGC3433,NGC3433,0.38,0.02
3.6um,NGC3437,NGC3437,0.21,0.08
3.6um,NGC3440,NGC3440,0.19,0.01
3.6um,NGC3443,NGC3443,0.16,0.02
3.6um,NGC3445,NGC3445,0.4,0.06
3.6um,NGC3447,NGC3447,0.58,0.01
3.6um,NGC3447A,NGC3447A,0.49,0.06
3.6um,NGC3448,NGC3448,0.79,0.01
3.6um,NGC3454,NGC3454,0.44,0.03
3.6um,NGC3455,NGC3455,0.19,0.01
3.6um,NGC3468,NGC3468,0.17,0.07
3.6um,NGC3471,NGC3471,0.18,0.08
3.6um,NGC3485,NGC3485,0.16,0.01
3.6um,NGC3486,NGC3486,0.85,0.01
3.6um,NGC3488,NGC3488,0.34,0.07
3.6um,NGC3489,NGC3489,0.7,0.04
3.6um,NGC3495,NGC3495,0.78,0.01
3.6um,NGC3501,NGC3501,0.72,0.01
3.6um,NGC3504,NGC3504,0.12,0.11
3.6um,NGC3507,NGC3507,0.6,0.02
3.6um,NGC3510,NGC3510,0.15,0.02
3.6um,NGC3511,NGC3511,0.33,0.02
3.6um,NGC3512,NGC3512,0.26,0.07
3.6um,NGC3513,NGC3513,0.64,0.01
3.6um,NGC3521,NGC3521,0.93,0.0
3.6um,NGC3522,NGC3522,0.15,0.07
3.6um,NGC3526,NGC3526,0.13,0.03
3.6um,NGC3547,NGC3547,0.11,0.02
3.6um,NGC3549,NGC3549,0.26,0.02
3.6um,NGC3556,NGC3556,0.75,0.02
3.6um,NGC3583,NGC3583,0.21,0.06
3.6um,NGC3589,NGC3589,0.22,0.01
3.6um,NGC3592,NGC3592,0.14,0.03
3.6um,NGC3593,NGC3593,0.82,0.03
3.6um,NGC3596,NGC3596,0.16,0.01
3.6um,NGC3599,NGC3599,0.35,0.04
3.6um,NGC0360,NGC360,0.86,0.05
3.6um,NGC3600,NGC3600,0.28,0.04
3.6um,NGC3608,NGC3608,0.5,0.01
3.6um,NGC3611,NGC3611,0.09,0.04
3.6um,NGC3614,NGC3614,0.3,0.04
3.6um,NGC3619,NGC3619,0.27,0.03
3.6um,NGC3622,NGC3622,0.29,0.11
3.6um,NGC3623,NGC3623,0.65,0.01
3.6um,NGC3625,NGC3625,0.46,0.08
3.6um,NGC3626,NGC3626,0.11,0.05
3.6um,NGC3627,NGC3627,0.95,0.0
3.6um,NGC3628,NGC3628,0.74,0.01
3.6um,NGC3629,NGC3629,0.18,0.02
3.6um,NGC3631,NGC3631,0.22,0.03
3.6um,NGC3633,NGC3633,0.2,0.06
3.6um,NGC3637,NGC3637,0.69,0.02
3.6um,NGC3642,NGC3642,0.31,0.02
3.6um,NGC3648,NGC3648,0.15,0.08
3.6um,NGC3652,NGC3652,0.38,0.03
3.6um,NGC3654,NGC3654,0.39,0.07
3.6um,NGC3655,NGC3655,0.14,0.05
3.6um,NGC3659,NGC3659,0.26,0.03
3.6um,NGC3664,NGC3664,0.19,0.02
3.6um,NGC3666,NGC3666,0.65,0.01
3.6um,NGC3669,NGC3669,0.43,0.05
3.6um,NGC3672,NGC3672,0.7,0.01
3.6um,NGC3673,NGC3673,0.26,0.04
3.6um,NGC3675,NGC3675,0.87,0.01
3.6um,NGC3681,NGC3681,0.16,0.04
3.6um,NGC3682,NGC3682,0.27,0.11
3.6um,NGC3683,NGC3683,0.23,0.16
3.6um,NGC3683A,NGC3683A,0.31,0.06
3.6um,NGC3684,NGC3684,0.11,0.04
3.6um,NGC3686,NGC3686,0.38,0.02
3.6um,NGC3687,NGC3687,0.12,0.06
3.6um,NGC3689,NGC3689,0.13,0.07
3.6um,NGC3691,NGC3691,0.09,0.01
3.6um,NGC3692,NGC3692,0.11,0.04
3.6um,NGC3701,NGC3701,0.11,0.03
3.6um,NGC3705,NGC3705,0.45,0.01
3.6um,NGC3712,NGC3712,0.15,0.02
3.6um,NGC3715,NGC3715,0.2,0.16
3.6um,NGC3718,NGC3718,0.87,0.01
3.6um,NGC3726,NGC3726,0.99,0.0
3.6um,NGC3729,NGC3729,0.89,0.0
3.6um,NGC3733,NGC3733,0.92,0.01
3.6um,NGC3735,NGC3735,0.79,0.01
3.6um,NGC3738,NGC3738,0.31,0.06
3.6um,NGC3752,NGC3752,0.4,0.15
3.6um,NGC3755,NGC3755,0.52,0.01
3.6um,NGC3756,NGC3756,0.2,0.04
3.6um,NGC3757,NGC3757,0.25,0.17
3.6um,NGC3769,NGC3769,0.8,0.0
3.6um,NGC3773,NGC3773,0.19,0.05
3.6um,NGC3779,NGC3779,0.14,0.01
3.6um,NGC3780,NGC3780,0.69,0.04
3.6um,NGC3782,NGC3782,0.2,0.07
3.6um,NGC3786,NGC3786,0.28,0.04
3.6um,NGC3788,NGC3788,0.29,0.08
3.6um,NGC3794,NGC3794,0.45,0.01
3.6um,NGC3795,NGC3795,0.48,0.04
3.6um,NGC3795A,NGC3795A,0.48,0.02
3.6um,NGC3810,NGC3810,0.12,0.04
3.6um,NGC3813,NGC3813,0.18,0.04
3.6um,NGC3835,NGC3835,0.24,0.06
3.6um,NGC3846A,NGC3846A,0.45,0.01
3.6um,NGC3850,NGC3850,0.38,0.03
3.6um,NGC3870,NGC3870,0.27,0.17
3.6um,NGC3876,NGC3876,0.13,0.05
3.6um,NGC3877,NGC3877,0.84,0.0
3.6um,NGC3879,NGC3879,0.57,0.1
3.6um,NGC3885,NGC3885,0.75,0.02
3.6um,NGC3887,NGC3887,0.2,0.02
3.6um,NGC3888,NGC3888,0.25,0.1
3.6um,NGC3892,NGC3892,0.19,0.05
3.6um,NGC3893,NGC3893,0.71,0.02
3.6um,NGC3896,NGC3896,0.26,0.02
3.6um,NGC3898,NGC3898,0.19,0.06
3.6um,NGC3900,NGC3900,0.15,0.04
3.6um,NGC3901,NGC3901,0.25,0.07
3.6um,NGC3904,NGC3904,0.17,0.04
3.6um,NGC3906,NGC3906,0.17,0.02
3.6um,NGC3912,NGC3912,0.28,0.07
3.6um,NGC3913,NGC3913,0.36,0.03
3.6um,NGC3917,NGC3917,0.2,0.01
3.6um,NGC3922,NGC3922,0.31,0.04
3.6um,NGC3928,NGC3928,0.17,0.13
3.6um,NGC3930,NGC3930,0.19,0.03
3.6um,NGC3931,NGC3931,0.16,0.09
3.6um,NGC3936,NGC3936,0.26,0.02
3.6um,NGC3938,NGC3938,0.24,0.03
3.6um,NGC3941,NGC3941,0.7,0.02
3.6um,NGC3949,NGC3949,0.21,0.09
3.6um,NGC3952,NGC3952,0.14,0.02
3.6um,NGC3953,NGC3953,0.78,0.03
3.6um,NGC3955,NGC3955,0.46,0.01
3.6um,NGC3956,NGC3956,0.33,0.01
3.6um,NGC3962,NGC3962,0.18,0.04
3.6um,NGC3972,NGC3972,0.44,0.02
3.6um,NGC3976,NGC3976,0.45,0.02
3.6um,NGC3981,NGC3981,0.74,0.01
3.6um,NGC3982,NGC3982,0.2,0.07
3.6um,NGC3985,NGC3985,0.25,0.07
3.6um,NGC3992,NGC3992,0.43,0.01
3.6um,NGC3998,NGC3998,0.25,0.11
3.6um,NGC4010,NGC4010,0.76,0.01
3.6um,NGC4013,NGC4013,0.8,0.02
3.6um,NGC4020,NGC4020,0.17,0.02
3.6um,NGC4027,NGC4027,0.26,0.03
3.6um,NGC4030,NGC4030,0.11,0.02
3.6um,NGC4032,NGC4032,0.12,0.03
3.6um,NGC4034,NGC4034,0.45,0.05
3.6um,NGC4037,NGC4037,0.14,0.01
3.6um,NGC4038,NGC4038,0.33,0.01
3.6um,NGC4039,NGC4039,0.42,0.01
3.6um,NGC4041,NGC4041,0.18,0.06
3.6um,NGC4045,NGC4045,0.15,0.05
3.6um,NGC4049,NGC4049,0.14,0.02
3.6um,NGC4050,NGC4050,0.16,0.04
3.6um,NGC4051,NGC4051,0.32,0.05
3.6um,NGC0406,NGC406,0.52,0.08
3.6um,NGC4062,NGC4062,0.74,0.01
3.6um,NGC4064,NGC4064,0.32,0.05
3.6um,NGC4067,NGC4067,0.14,0.04
3.6um,NGC4068,NGC4068,0.3,0.02
3.6um,NGC4080,NGC4080,0.29,0.1
3.6um,NGC4081,NGC4081,0.25,0.12
3.6um,NGC4085,NGC4085,0.18,0.06
3.6um,NGC4088,NGC4088,0.3,0.01
3.6um,NGC4094,NGC4094,0.18,0.01
3.6um,NGC4096,NGC4096,0.31,0.02
3.6um,NGC4100,NGC4100,0.6,0.01
3.6um,NGC4102,NGC4102,0.25,0.09
3.6um,NGC4106,NGC4106,0.41,0.02
3.6um,NGC4108,NGC4108,0.19,0.19
3.6um,NGC4108B,NGC4108B,0.51,0.08
3.6um,NGC4111,NGC4111,0.13,0.16
3.6um,NGC4116,NGC4116,0.28,0.02
3.6um,NGC4117,NGC4117,0.22,0.11
3.6um,NGC4120,NGC4120,0.48,0.06
3.6um,NGC4123,NGC4123,0.19,0.04
3.6um,NGC4127,NGC4127,0.26,0.1
3.6um,NGC4129,NGC4129,0.41,0.03
3.6um,NGC4133,NGC4133,0.29,0.17
3.6um,NGC4136,NGC4136,0.28,0.02
3.6um,NGC4138,NGC4138,0.33,0.1
3.6um,NGC4141,NGC4141,0.5,0.08
3.6um,NGC4142,NGC4142,0.2,0.03
3.6um,NGC4144,NGC4144,0.94,0.0
3.6um,NGC4145,NGC4145,0.22,0.0
3.6um,NGC4151,NGC4151,0.85,0.02
3.6um,NGC4152,NGC4152,0.14,0.06
3.6um,NGC4157,NGC4157,1.0,1.12
3.6um,NGC4158,NGC4158,0.15,0.04
3.6um,NGC4159,NGC4159,0.39,0.12
3.6um,NGC4162,NGC4162,0.34,0.03
3.6um,NGC4163,NGC4163,0.21,0.01
3.6um,NGC4165,NGC4165,0.38,0.04
3.6um,NGC4173,NGC4173,0.6,0.05
3.6um,NGC4178,NGC4178,0.59,0.02
3.6um,NGC4180,NGC4180,0.17,0.07
3.6um,NGC4183,NGC4183,0.83,0.01
3.6um,NGC4189,NGC4189,0.23,0.02
3.6um,NGC4190,NGC4190,0.17,0.01
3.6um,NGC4192,NGC4192,0.83,0.01
3.6um,NGC4193,NGC4193,0.21,0.07
3.6um,NGC4194,NGC4194,0.62,0.07
3.6um,NGC4197,NGC4197,0.2,0.02
3.6um,NGC4203,NGC4203,0.64,0.02
3.6um,NGC4204,NGC4204,0.18,0.01
3.6um,NGC4205,NGC4205,0.36,0.06
3.6um,NGC4206,NGC4206,0.73,0.02
3.6um,NGC4207,NGC4207,0.2,0.11
3.6um,NGC4210,NGC4210,0.28,0.05
3.6um,NGC4212,NGC4212,0.14,0.04
3.6um,NGC4214,NGC4214,0.99,3.98
3.6um,NGC4216,NGC4216,0.93,0.01
3.6um,NGC4217,NGC4217,0.36,0.03
3.6um,NGC4220,NGC4220,0.95,0.0
3.6um,NGC4222,NGC4222,0.41,0.02
3.6um,NGC4224,NGC4224,0.18,0.04
3.6um,NGC4234,NGC4234,0.19,0.02
3.6um,NGC4235,NGC4235,0.66,0.02
3.6um,NGC4236,NGC4236,1.0,0.0
3.6um,NGC4237,NGC4237,0.19,0.04
3.6um,NGC4238,NGC4238,0.48,0.07
3.6um,NGC4242,NGC4242,0.92,0.01
3.6um,NGC4244,NGC4244,0.82,0.0
3.6um,NGC4245,NGC4245,0.2,0.08
3.6um,NGC4248,NGC4248,0.2,0.03
3.6um,NGC4250,NGC4250,0.16,0.13
3.6um,NGC4252,NGC4252,0.22,0.03
3.6um,NGC4254,NGC4254,0.57,0.02
3.6um,NGC4256,NGC4256,0.33,0.04
3.6um,NGC4258,NGC4258,0.97,0.0
3.6um,NGC4260,NGC4260,0.13,0.05
3.6um,NGC4262,NGC4262,0.17,0.11
3.6um,NGC4267,NGC4267,0.48,0.05
3.6um,NGC4268,NGC4268,0.14,0.04
3.6um,NGC4273,NGC4273,0.25,0.04
3.6um,NGC4274,NGC4274,0.83,0.02
3.6um,NGC4276,NGC4276,0.16,0.04
3.6um,NGC4278,NGC4278,0.65,0.04
3.6um,NGC0428,NGC428,0.36,0.01
3.6um,NGC4283,NGC4283,0.24,0.08
3.6um,NGC4286,NGC4286,0.12,0.03
3.6um,NGC4287,NGC4287,0.16,0.05
3.6um,NGC4288,NGC4288,0.23,0.04
3.6um,NGC4289,NGC4289,0.24,0.01
3.6um,NGC4293,NGC4293,0.63,0.02
3.6um,NGC4294,NGC4294,0.2,0.03
3.6um,NGC4298,NGC4298,0.33,0.02
3.6um,NGC4299,NGC4299,0.23,0.02
3.6um,NGC4302,NGC4302,0.29,0.03
3.6um,NGC4303,NGC4303,0.79,0.01
3.6um,NGC4303A,NGC4303A,0.14,0.04
3.6um,NGC4307,NGC4307,0.2,0.06
3.6um,NGC4309,NGC4309,0.17,0.04
3.6um,NGC4310,NGC4310,0.16,0.04
3.6um,NGC4312,NGC4312,0.35,0.01
3.6um,NGC4313,NGC4313,0.15,0.04
3.6um,NGC4314,NGC4314,0.94,0.0
3.6um,NGC4316,NGC4316,0.27,0.08
3.6um,NGC4319,NGC4319,0.23,0.06
3.6um,NGC4321,NGC4321,0.44,0.02
3.6um,NGC4324,NGC4324,0.18,0.04
3.6um,NGC4330,NGC4330,0.23,0.03
3.6um,NGC4331,NGC4331,0.64,0.04
3.6um,NGC4336,NGC4336,0.14,0.03
3.6um,NGC4343,NGC4343,0.19,0.08
3.6um,NGC4344,NGC4344,0.14,0.06
3.6um,NGC4346,NGC4346,0.88,0.0
3.6um,NGC4348,NGC4348,0.47,0.02
3.6um,NGC4351,NGC4351,0.15,0.05
3.6um,NGC4353,NGC4353,0.15,0.05
3.6um,NGC4355,NGC4355,0.3,0.07
3.6um,NGC4356,NGC4356,0.17,0.03
3.6um,NGC4359,NGC4359,0.14,0.03
3.6um,NGC4369,NGC4369,0.19,0.11
3.6um,NGC4370,NGC4370,0.2,0.04
3.6um,NGC4371,NGC4371,0.15,0.02
3.6um,NGC4374,NGC4374,0.94,0.0
3.6um,NGC4376,NGC4376,0.13,0.05
3.6um,NGC4378,NGC4378,0.18,0.07
3.6um,NGC4380,NGC4380,0.58,0.01
3.6um,NGC4383,NGC4383,0.2,0.08
3.6um,NGC4384,NGC4384,0.23,0.09
3.6um,NGC4385,NGC4385,0.27,0.02
3.6um,NGC4388,NGC4388,0.18,0.03
3.6um,NGC4389,NGC4389,0.19,0.03
3.6um,NGC4390,NGC4390,0.15,0.04
3.6um,NGC4393,NGC4393,0.19,0.02
3.6um,NGC4394,NGC4394,0.44,0.03
3.6um,NGC4395,NGC4395,0.41,0.01
3.6um,NGC4396,NGC4396,0.23,0.01
3.6um,NGC4402,NGC4402,0.57,0.03
