channel,s4g_name,normalized_name,asymmetry,asymmetry_error
3.6um,ESO407-007,ESO40700G7,0.29,0.13
3.6um,ESO407-009,ESO40700G9,0.45,0.01
3.6um,ESO407-014,ESO40701G4,0.33,0.02
3.6um,ESO407-018,ESO40701G8,0.22,0.02
3.6um,ESO408-012,ESO40801G2,0.43,0.02
3.6um,ESO409-015,ESO40901G5,0.43,0.03
3.6um,ESO410-012,ESO41001G2,0.25,0.02
3.6um,ESO410-018,ESO41001G8,0.41,0.01
3.6um,ESO411-013,ESO41101G3,0.66,0.01
3.6um,ESO411-026,ESO41102G6,0.62,0.02
3.6um,ESO418-008,ESO41800G8,0.29,0.03
3.6um,ESO418-009,ESO41800G9,0.32,0.06
3.6um,ESO419-013,ESO41901G3,0.1,0.02
3.6um,ESO420-006,ESO42000G6,0.15,0.02
3.6um,ESO420-009,ESO42000G9,0.25,0.12
3.6um,ESO421-019,ESO42101G9,0.55,0.02
3.6um,ESO422-005,ESO42200G5,0.36,0.02
3.6um,ESO422-033,ESO42203G3,0.48,0.03
3.6um,ESO422-041,ESO42204G1,0.63,0.03
3.6um,ESO423-002,ESO42300G2,0.68,0.01
3.6um,ESO438-017,ESO43801G7,0.42,0.08
3.6um,ESO440-004,ESO44000G4,0.53,0.01
3.6um,ESO440-011,ESO44001G1,0.5,0.03
3.6um,ESO440-027,ESO44002G7,0.21,0.02
3.6um,ESO440-037,ESO44003G7,0.21,0.05
3.6um,ESO440-044,ESO44004G4,0.25,0.03
3.6um,ESO440-046,ESO44004G6,0.25,0.02
3.6um,ESO440-049,ESO44004G9,0.4,0.09
3.6um,ESO441-011,ESO44101G1,0.68,0.02
3.6um,ESO441-014,ESO44101G4,0.62,0.04
3.6um,ESO441-017,ESO44101G7,0.39,0.08
3.6um,ESO442-013,ESO44201G3,0.38,0.03
3.6um,ESO443-021,ESO44302G1,0.17,0.11
3.6um,ESO443-042,ESO44304G2,0.81,0.02
3.6um,ESO443-069,ESO44306G9,0.22,0.02
3.6um,ESO443-079,ESO44307G9,0.17,0.01
3.6um,ESO443-080,ESO44308G0,0.19,0.02
3.6um,ESO443-085,ESO44308G5,0.23,0.02
3.6um,ESO444-033,ESO44403G3,0.36,0.02
3.6um,ESO444-037,ESO44403G7,0.22,0.02
3.6um,ESO444-078,ESO44407G8,0.51,0.01
3.6um,ESO445-089,ESO44508G9,0.27,0.02
3.6um,ESO462-031,ESO46203G1,0.27,0.02
3.6um,ESO466-014,ESO46601G4,0.33,0.06
3.6um,ESO466-036,ESO46603G6,0.28,0.08
3.6um,ESO467-051,ESO46705G1,0.45,0.01
3.6um,ESO469-008,ESO46900G8,0.16,0.03
3.6um,ESO469-015,ESO46901G5,0.47,0.08
3.6um,ESO471-006,ESO47100G6,0.67,0.01
3.6um,ESO476-010,ESO47601G0,0.42,0.01
3.6um,ESO477-016,ESO47701G6,0.27,0.03
3.6um,ESO479-004,ESO47900G4,0.65,0.01
3.6um,ESO479-025,ESO47902G5,0.34,0.03
3.6um,ESO480-020,ESO48002G0,0.56,0.03
3.6um,ESO480-025,ESO48002G5,0.48,0.01
