ungc_name,ungc_distance_mpc,theta1,simbad_name,ned_name
UGC12894,8.47,-1.5,UGC12894,UGC12894
WLM,0.97,0.0,WLM GALAXY,WLM GALAXY
And XVIII,1.36,0.4,And XVIII,And XVIII
ESO409-015,7.7,-1.7,ESO409-015,ESO409-015
AGC748778,5.4,-1.6,AGC748778,AGC748778
And XX,0.8,2.4,And XX,And XX
UGC00064,9.6,-1.7,UGC00064,UGC00064
ESO349-031,3.21,0.0,ESO349-031,ESO349-031
NGC0024,9.9,-1.0,NGC0024,NGC0024
NGC0045,9.2,-0.9,NGC0045,NGC0045
NGC0055,2.13,0.1,NGC0055,NGC0055
NGC0059,5.3,-0.5,NGC0059,NGC0059
ESO410-005,1.92,0.0,ESO410-005,ESO410-005
And XIX,0.93,1.9,And XIX,And XIX
IC0010,0.66,1.6,IC0010,IC0010
And XXVI,0.76,2.8,And XXVI,And XXVI
Sc22,4.21,1.1,[CFC97] Sc 22,[CFC97] Sc 22
Cetus,0.78,0.3,CETUS DWARF GALAXY,CETUS DWARF GALAXY
ESO294-010,1.92,0.4,ESO294-010,ESO294-010
UGC00288,6.73,-1.9,UGC00288,UGC00288
And XXV,0.81,2.9,And XXV,And XXV
ESO473-024,9.9,-1.1,ESO473-024,ESO473-024
NGC0147,0.76,2.8,NGC0147,NGC0147
And III,0.75,3.2,And III,And III
And XXX,0.68,2.3,And XXX,And XXX
And XVII,0.74,3.6,And XVII,And XVII
And XXVII,0.83,3.0,And XXVII,And XXVII
NGC0185,0.61,2.0,NGC0185,NGC0185
NGC0205,0.82,3.6,NGC0205,NGC0205
And IV,6.31,-1.9,And IV,And IV
MESSIER032,0.49,1.4,MESSIER032,MESSIER032
MESSIER031,0.77,1.8,MESSIER031,MESSIER031
DDO226,4.92,0.1,DDO226,DDO226
And I,0.73,3.4,And I,And I
And XI,0.73,2.7,And XI,And XI
NGC0247,3.65,1.2,NGC0247,NGC0247
And XII,0.83,2.6,And XII,And XII
NGC0253,3.94,-0.4,NGC0253,NGC0253
KDG002,3.4,0.5,KDG002,KDG002
DDO006,3.34,0.6,DDO006,DDO006
ESO540-032,3.42,0.7,ESO540-032,ESO540-032
Bol520,0.63,2.0,Bol520,Bol520
And XIV,0.73,2.2,And XIV,And XIV
And XIII,0.84,2.4,And XIII,And XIII
SMC,0.06,3.3,SMC,SMC
And IX,0.79,4.0,And IX,And IX
NGC0300,2.15,0.1,NGC0300,NGC0300
And XVI,0.52,1.5,And XVI,And XVI
Sculptor,0.09,2.7,SCULPTOR DWARF GALAXY,SCULPTOR DWARF GALAXY
LGS 3,0.65,1.5,LGS 3,LGS 3
IC1613,0.73,0.7,IC1613,IC1613
And X,0.63,2.2,And X,And X
UGC00685,4.51,-1.4,UGC00685,UGC00685
KKH5,4.27,-1.0,[KKH2001] 5,[KKH2001] 5
AM0106-382,8.2,-1.7,AM0106-382,AM0106-382
NGC0404,3.05,-0.8,NGC0404,NGC0404
And V,0.81,2.6,And V,And V
And XV,0.76,2.9,And XV,And XV
And II,0.65,2.0,And II,And II
And XXIV,0.6,1.9,And XXIV,And XXIV
And XXII,0.79,2.1,And XXII,And XXII
UGC01056,7.3,1.1,UGC01056,UGC01056
And XXIII,0.73,2.4,And XXIII,And XXIII
